ENABLE,release_key,id,mst_attack_id,sort_order,attack_delay,attack_type,range_start_type,range_start_parameter,range_end_type,range_end_parameter,max_target_count,target,target_type,target_colors,target_roles,target_mst_series_ids,target_mst_character_ids,damage_type,hit_type,hit_parameter1,hit_parameter2,hit_effect_id,is_hit_stop,probability,power_parameter_type,power_parameter,effect_type,effective_count,effective_duration,effect_parameter,effect_value
e,202601010,chara_jig_00401_Normal_00000,chara_jig_00401_Normal_00000,1,0,Direct,Distance,0,Distance,0.32,1,Foe,All,All,All,,,Damage,Normal,0,0,zangeki_1,1,100,Percentage,100,None,0,0,0,
e,202601010,chara_jig_00401_Special_00001,chara_jig_00401_Special_00001,1,0,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,Damage,Drain,5,100,zangeki_1,1,100,Percentage,98,Weakening,-1,150,25,
e,202601010,chara_jig_00401_Special_00002,chara_jig_00401_Special_00002,1,0,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,Damage,Drain,8,100,zangeki_1,1,100,Percentage,110,Weakening,-1,175,27,
e,202601010,chara_jig_00401_Special_00003,chara_jig_00401_Special_00003,1,0,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,Damage,Drain,11,100,zangeki_1,1,100,Percentage,119,Weakening,-1,200,34,
e,202601010,chara_jig_00401_Special_00004,chara_jig_00401_Special_00004,1,0,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,Damage,Drain,13,100,zangeki_1,1,100,Percentage,126,Weakening,-1,225,40,
e,202601010,chara_jig_00401_Special_00005,chara_jig_00401_Special_00005,1,0,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,Damage,Drain,15,100,zangeki_1,1,100,Percentage,130,Weakening,-1,275,50,
e,202601010,chara_jig_00501_Normal_00000,chara_jig_00501_Normal_00000,1,0,Direct,Distance,0,Distance,0.33,1,Foe,All,All,All,,,Damage,Normal,0,0,zangeki_1,1,100,Percentage,100,None,0,0,0,
e,202601010,chara_jig_00501_Special_00001a,chara_jig_00501_Special_00001,1,0,Direct,Koma,0,Koma,1,100,Friend,Character,Green,All,,,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,300,10,
e,202601010,chara_jig_00501_Special_00001b,chara_jig_00501_Special_00001,2,0,Direct,Koma,0,Koma,1,100,Friend,Character,Green,All,,,None,Normal,0,0,,,100,Percentage,0,DamageCut,-1,300,10,
e,202601010,chara_jig_00501_Special_00001c,chara_jig_00501_Special_00001,3,0,Direct,Koma,0,Koma,1,100,Friend,Character,Colorless,All,,,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,300,10,
