ENABLE,id,release_key,group_id,resource_type,resource_id,resource_amount,sort_order,備考
e,mission_reward_463,202601010,event_jig_00001_daily_bonus_01,Item,ticket_glo_00003,2,1,"地獄楽 いいジャン祭 特別ログインボーナス"
e,mission_reward_464,202601010,event_jig_00001_daily_bonus_02,Coin,,5000,1,"地獄楽 いいジャン祭 特別ログインボーナス"
e,mission_reward_465,202601010,event_jig_00001_daily_bonus_03,FreeDiamond,,40,1,"地獄楽 いいジャン祭 特別ログインボーナス"
e,mission_reward_466,202601010,event_jig_00001_daily_bonus_04,Item,memoryfragment_glo_00001,5,1,"地獄楽 いいジャン祭 特別ログインボーナス"
e,mission_reward_467,202601010,event_jig_00001_daily_bonus_05,Item,memoryfragment_glo_00002,4,1,"地獄楽 いいジャン祭 特別ログインボーナス"
e,mission_reward_468,202601010,event_jig_00001_daily_bonus_06,Item,memory_glo_00005,300,1,"地獄楽 いいジャン祭 特別ログインボーナス"
e,mission_reward_469,202601010,event_jig_00001_daily_bonus_07,Item,ticket_glo_00002,2,1,"地獄楽 いいジャン祭 特別ログインボーナス"
e,mission_reward_470,202601010,event_jig_00001_daily_bonus_08,Coin,,5000,1,"地獄楽 いいジャン祭 特別ログインボーナス"
e,mission_reward_471,202601010,event_jig_00001_daily_bonus_09,FreeDiamond,,40,1,"地獄楽 いいジャン祭 特別ログインボーナス"
e,mission_reward_472,202601010,event_jig_00001_daily_bonus_10,Item,memoryfragment_glo_00001,10,1,"地獄楽 いいジャン祭 特別ログインボーナス"
e,mission_reward_473,202601010,event_jig_00001_daily_bonus_11,Item,memory_glo_00002,300,1,"地獄楽 いいジャン祭 特別ログインボーナス"
e,mission_reward_474,202601010,event_jig_00001_daily_bonus_12,FreeDiamond,,20,1,"地獄楽 いいジャン祭 特別ログインボーナス"
e,mission_reward_475,202601010,event_jig_00001_daily_bonus_13,Item,memory_glo_00005,300,1,"地獄楽 いいジャン祭 特別ログインボーナス"
e,mission_reward_476,202601010,event_jig_00001_daily_bonus_14,Coin,,5000,1,"地獄楽 いいジャン祭 特別ログインボーナス"
e,mission_reward_477,202601010,event_jig_00001_daily_bonus_15,Item,memory_glo_00002,300,1,"地獄楽 いいジャン祭 特別ログインボーナス"
e,mission_reward_478,202601010,event_jig_00001_daily_bonus_16,Item,ticket_glo_00002,1,1,"地獄楽 いいジャン祭 特別ログインボーナス"
e,mission_reward_479,202601010,event_jig_00001_daily_bonus_17,Item,ticket_glo_00003,1,1,"地獄楽 いいジャン祭 特別ログインボーナス"
e,mission_reward_480,202601010,jig_00001_event_reward_01,Item,memory_chara_jig_00701,200,1,jigいいジャン祭_ミッション
e,mission_reward_481,202601010,jig_00001_event_reward_02,Item,memory_chara_jig_00701,300,1,jigいいジャン祭_ミッション
e,mission_reward_482,202601010,jig_00001_event_reward_03,Item,memory_chara_jig_00701,350,1,jigいいジャン祭_ミッション
e,mission_reward_483,202601010,jig_00001_event_reward_04,Item,ticket_glo_00003,1,1,jigいいジャン祭_ミッション
e,mission_reward_484,202601010,jig_00001_event_reward_05,Item,piece_jig_00701,10,1,jigいいジャン祭_ミッション
e,mission_reward_485,202601010,jig_00001_event_reward_06,Item,piece_jig_00701,20,1,jigいいジャン祭_ミッション
e,mission_reward_486,202601010,jig_00001_event_reward_07,Item,piece_jig_00701,20,1,jigいいジャン祭_ミッション
e,mission_reward_487,202601010,jig_00001_event_reward_08,Item,piece_jig_00701,20,1,jigいいジャン祭_ミッション
e,mission_reward_488,202601010,jig_00001_event_reward_09,Item,piece_jig_00701,30,1,jigいいジャン祭_ミッション
e,mission_reward_489,202601010,jig_00001_event_reward_10,Item,memoryfragment_glo_00003,1,1,jigいいジャン祭_ミッション
e,mission_reward_490,202601010,jig_00001_event_reward_11,FreeDiamond,,50,1,jigいいジャン祭_ミッション
e,mission_reward_491,202601010,jig_00001_event_reward_12,Item,memory_chara_jig_00601,200,1,jigいいジャン祭_ミッション
e,mission_reward_492,202601010,jig_00001_event_reward_13,Item,memory_chara_jig_00601,300,1,jigいいジャン祭_ミッション
