ENABLE,release_key,id,mst_pack_id,language,name
e,202602010,event_item_pack_14_ja,event_item_pack_14,ja,"【お一人様1回まで購入可】\n「ヨル」バレンタインキャラパック"
e,202602010,event_item_pack_15_ja,event_item_pack_15,ja,"【お一人様1回まで購入可】\n「姫様」バレンタインキャラパック"
e,202602010,event_item_pack_16_ja,event_item_pack_16,ja,"【お一人様1回まで購入可】\n「天乃 リリサ」バレンタインキャラパック"
e,202602010,event_item_pack_17_ja,event_item_pack_17,ja,"【お一人様1回まで購入可】\n「橘 美花莉」バレンタインキャラパック"
e,202602010,event_item_pack_18_ja,event_item_pack_18,ja,"【お一人様1回まで購入可】\n「羽前 京香」バレンタインキャラパック"
e,202602010,event_item_pack_19_ja,event_item_pack_19,ja,"【お一人様1回まで購入可】\n「桜木 カナ」バレンタインキャラパック"
e,202602010,event_item_pack_20_ja,event_item_pack_20,ja,"【お一人様1回まで購入可】\n「小舟 潮」バレンタインキャラパック"
e,202602010,event_item_pack_21_ja,event_item_pack_21,ja,"【お一人様1回まで購入可】\nいいジャン!スタミナドリンクパック"
e,202602010,event_item_pack_22_ja,event_item_pack_22,ja,"【お一人様1回まで購入可】\nスタミナブースト応援パック"
e,202602010,event_item_pack_23_ja,event_item_pack_23,ja,"【お一人様1回まで購入可】\n即戦力!キャラ強化パック"
