ENABLE,id,type,group_type,rarity,asset_key,effect_value,sort_order,start_date,end_date,release_key,item_type,destination_opr_product_id
e,memory_glo_00001,RankUpMaterial,Etc,UR,memory_glo_00001,Colorless,1,2024-01-01 00:00:00,2037-12-31 23:59:59,202509010,RankUpMaterial,""
e,memory_glo_00002,RankUpMaterial,Etc,UR,memory_glo_00002,Red,2,2024-01-01 00:00:00,2037-12-31 23:59:59,202509010,RankUpMaterial,""
e,memory_glo_00003,RankUpMaterial,Etc,UR,memory_glo_00003,Blue,3,2024-01-01 00:00:00,2037-12-31 23:59:59,202509010,RankUpMaterial,""
e,memory_glo_00004,RankUpMaterial,Etc,UR,memory_glo_00004,Yellow,4,2024-01-01 00:00:00,2037-12-31 23:59:59,202509010,RankUpMaterial,""
e,memory_glo_00005,RankUpMaterial,Etc,UR,memory_glo_00005,Green,5,2024-01-01 00:00:00,2037-12-31 23:59:59,202509010,RankUpMaterial,""
e,memory_chara_kai_00501,RankUpMaterial,Etc,SR,memory_chara_kai_00501,chara_kai_00501,1000,2024-01-01 00:00:00,2037-12-31 23:59:59,202509010,RankUpMaterial,""
e,memory_chara_kai_00601,RankUpMaterial,Etc,SR,memory_chara_kai_00601,chara_kai_00601,1001,2024-01-01 00:00:00,2037-12-31 23:59:59,202509010,RankUpMaterial,""
e,memory_chara_spy_00301,RankUpMaterial,Etc,SR,memory_chara_spy_00301,chara_spy_00301,1002,2025-10-06 15:00:00,2037-12-31 23:59:59,202510010,RankUpMaterial,""
e,memory_chara_spy_00401,RankUpMaterial,Etc,SR,memory_chara_spy_00401,chara_spy_00401,1003,2025-10-06 15:00:00,2037-12-31 23:59:59,202510010,RankUpMaterial,""
e,memory_chara_dan_00201,RankUpMaterial,Etc,SR,memory_chara_dan_00201,chara_dan_00201,1004,2025-10-22 15:00:00,2037-12-31 23:59:59,202510020,RankUpMaterial,""
e,memory_chara_dan_00301,RankUpMaterial,Etc,SR,memory_chara_dan_00301,chara_dan_00301,1005,2025-10-22 15:00:00,2037-12-31 23:59:59,202510020,RankUpMaterial,""
e,memory_chara_mag_00401,RankUpMaterial,Etc,SR,memory_chara_mag_00401,chara_mag_00401,1006,2025-11-06 15:00:00,2037-12-31 23:59:59,202511010,RankUpMaterial,""
e,memory_chara_mag_00501,RankUpMaterial,Etc,SR,memory_chara_mag_00501,chara_mag_00501,1007,2025-11-06 15:00:00,2037-12-31 23:59:59,202511010,RankUpMaterial,""
e,memory_chara_yuw_00501,RankUpMaterial,Etc,SR,memory_chara_yuw_00501,chara_yuw_00501,1008,2025-11-25 15:00:00,2037-12-31 23:59:59,202511020,RankUpMaterial,""
e,memory_chara_yuw_00601,RankUpMaterial,Etc,SR,memory_chara_yuw_00601,chara_yuw_00601,1009,2025-11-25 15:00:00,2037-12-31 23:59:59,202511020,RankUpMaterial,""
e,memory_chara_sur_00701,RankUpMaterial,Etc,SR,memory_chara_sur_00701,chara_sur_00701,1010,2025-12-08 12:00:00,2037-12-31 23:59:59,202512010,RankUpMaterial,""
e,memory_chara_sur_00801,RankUpMaterial,Etc,SR,memory_chara_sur_00801,chara_sur_00801,1011,2025-12-08 15:00:00,2037-12-31 23:59:59,202512010,RankUpMaterial,""
e,memory_chara_osh_00601,RankUpMaterial,Etc,SR,memory_chara_osh_00601,chara_osh_00601,1012,2026-01-01 00:00:00,2037-12-31 23:59:59,202512020,RankUpMaterial,""
e,memory_chara_jig_00601,RankUpMaterial,Etc,SR,memory_chara_jig_00601,chara_jig_00601,1013,2026-01-16 15:00:00,2037-12-31 23:59:59,202601010,RankUpMaterial,""
e,memory_chara_jig_00701,RankUpMaterial,Etc,SR,memory_chara_jig_00701,chara_jig_00701,1014,2026-01-16 15:00:00,2037-12-31 23:59:59,202601010,RankUpMaterial,""
e,memoryfragment_glo_00001,RankUpMemoryFragment,Etc,SR,memoryfragment_glo_00001,Colorless,20,2024-01-01 00:00:00,2037-12-31 23:59:59,202509010,RankUpMemoryFragment,""
e,memoryfragment_glo_00002,RankUpMemoryFragment,Etc,SSR,memoryfragment_glo_00002,Colorless,19,2024-01-01 00:00:00,2037-12-31 23:59:59,202509010,RankUpMemoryFragment,""
e,memoryfragment_glo_00003,RankUpMemoryFragment,Etc,UR,memoryfragment_glo_00003,Colorless,18,2024-01-01 00:00:00,2037-12-31 23:59:59,202509010,RankUpMemoryFragment,""
e,box_glo_00001,RandomFragmentBox,Consumable,R,box_glo_00001,"",1,2024-01-01 00:00:00,2037-12-31 23:59:59,202509010,RandomFragmentBox,""
e,box_glo_00002,RandomFragmentBox,Consumable,SR,box_glo_00002,"",1,2024-01-01 00:00:00,2037-12-31 23:59:59,202509010,RandomFragmentBox,""
e,box_glo_00003,RandomFragmentBox,Consumable,SSR,box_glo_00003,"",1,2024-01-01 00:00:00,2037-12-31 23:59:59,202509010,RandomFragmentBox,""
e,box_glo_00004,RandomFragmentBox,Consumable,UR,box_glo_00004,"",1,2024-01-01 00:00:00,2037-12-31 23:59:59,202509010,RandomFragmentBox,""
e,box_glo_00005,SelectionFragmentBox,Consumable,R,box_glo_00005,"",1,2024-01-01 00:00:00,2037-12-31 23:59:59,202509010,SelectionFragmentBox,""
e,box_glo_00006,SelectionFragmentBox,Consumable,SR,box_glo_00006,"",1,2024-01-01 00:00:00,2037-12-31 23:59:59,202509010,SelectionFragmentBox,""
e,box_glo_00007,SelectionFragmentBox,Consumable,SSR,box_glo_00007,"",1,2024-01-01 00:00:00,2037-12-31 23:59:59,202509010,SelectionFragmentBox,""
e,box_glo_00008,SelectionFragmentBox,Consumable,UR,box_glo_00008,"",1,2024-01-01 00:00:00,2037-12-31 23:59:59,202509010,SelectionFragmentBox,""
e,piece_spy_00001,CharacterFragment,Etc,UR,piece_spy_00001,"",1,2024-01-01 00:00:00,2037-12-31 23:59:59,202509010,CharacterFragment,""
