ENABLE,release_key,id,mst_unit_id,unit_grade,attack_kind,killer_colors,killer_percentage,action_frames,attack_delay,next_attack_interval,asset_key
e,202602015,chara_you_00001_Normal_00000,chara_you_00001,0,Normal,,,67,23,75,
e,202602015,chara_you_00001_Special_00001,chara_you_00001,1,Special,Green,195,89,0,0,
e,202602015,chara_you_00001_Special_00002,chara_you_00001,2,Special,Green,202,89,0,0,
e,202602015,chara_you_00001_Special_00003,chara_you_00001,3,Special,Green,214,89,0,0,
e,202602015,chara_you_00001_Special_00004,chara_you_00001,4,Special,Green,218,89,0,0,
e,202602015,chara_you_00001_Special_00005,chara_you_00001,5,Special,Green,225,89,0,0,
e,202602015,chara_you_00101_Normal_00000,chara_you_00101,0,Normal,,,82,33,65,
e,202602015,chara_you_00101_Special_00001,chara_you_00101,1,Special,,,179,0,0,
e,202602015,chara_you_00101_Special_00002,chara_you_00101,2,Special,,,179,0,0,
e,202602015,chara_you_00101_Special_00003,chara_you_00101,3,Special,,,179,0,0,
e,202602015,chara_you_00101_Special_00004,chara_you_00101,4,Special,,,179,0,0,
e,202602015,chara_you_00101_Special_00005,chara_you_00101,5,Special,,,179,0,0,
e,202602015,chara_you_00201_Normal_00000,chara_you_00201,0,Normal,,,84,32,75,
e,202602015,chara_you_00201_Special_00001,chara_you_00201,1,Special,,,159,0,0,
e,202602015,chara_you_00201_Special_00002,chara_you_00201,2,Special,,,159,0,0,
e,202602015,chara_you_00201_Special_00003,chara_you_00201,3,Special,,,159,0,0,
e,202602015,chara_you_00201_Special_00004,chara_you_00201,4,Special,,,159,0,0,
e,202602015,chara_you_00201_Special_00005,chara_you_00201,5,Special,,,159,0,0,
e,202602015,chara_you_00301_Normal_00000,chara_you_00301,0,Normal,,,89,35,50,
e,202602015,chara_you_00301_Special_00001,chara_you_00301,1,Special,Red,150,184,110,0,
e,202602015,chara_you_00301_Special_00002,chara_you_00301,2,Special,Red,155,184,110,0,
e,202602015,chara_you_00301_Special_00003,chara_you_00301,3,Special,Red,163,184,110,0,
e,202602015,chara_you_00301_Special_00004,chara_you_00301,4,Special,Red,165,184,110,0,
e,202602015,chara_you_00301_Special_00005,chara_you_00301,5,Special,Red,170,184,110,0,
e,202602015,c_you_00001_you1_1d1c_Normal_Colorless_Normal_00000,c_you_00001_you1_1d1c_Normal_Colorless,0,Normal,,,67,23,60,
e,202602015,c_you_00001_you1_1d1c_Normal_Colorless_Special_00001,c_you_00001_you1_1d1c_Normal_Colorless,0,Special,,,89,0,0,
e,202602015,c_you_00001_you1_charaget02_Boss_Red_Normal_00000,c_you_00001_you1_charaget02_Boss_Red,0,Normal,,,67,23,25,
e,202602015,c_you_00001_you1_charaget02_Boss_Red_Special_00001,c_you_00001_you1_charaget02_Boss_Red,0,Special,,,89,0,0,
e,202602015,c_you_00001_you1_charaget02_Boss_Red_Appearance_00002,c_you_00001_you1_charaget02_Boss_Red,0,Appearance,,,50,0,0,
e,202602015,c_you_00201_you1_charaget02_Boss_Red_Normal_00000,c_you_00201_you1_charaget02_Boss_Red,0,Normal,,,84,32,30,
e,202602015,c_you_00201_you1_charaget02_Boss_Red_Special_00001,c_you_00201_you1_charaget02_Boss_Red,0,Special,,,159,0,0,
e,202602015,c_you_00201_you1_charaget02_Boss_Red_Appearance_00002,c_you_00201_you1_charaget02_Boss_Red,0,Appearance,,,50,0,0,
e,202602015,c_you_00301_you1_charaget02_Boss_Red_Normal_00000,c_you_00301_you1_charaget02_Boss_Red,0,Normal,,,89,35,60,
e,202602015,c_you_00301_you1_charaget02_Boss_Red_Special_00001,c_you_00301_you1_charaget02_Boss_Red,0,Special,,,184,110,0,
e,202602015,c_you_00301_you1_charaget02_Boss_Red_Appearance_00002,c_you_00301_you1_charaget02_Boss_Red,0,Appearance,,,50,0,0,
e,202602015,c_you_00301_you1_charaget02_Normal_Red_Normal_00000,c_you_00301_you1_charaget02_Normal_Red,0,Normal,,,89,35,60,
e,202602015,e_you_00001_you1_charaget02_Normal_Red_Normal_00000,e_you_00001_you1_charaget02_Normal_Red,0,Normal,,,64,25,50,
e,202602015,e_you_00101_you1_charaget02_Normal_Red_Normal_00000,e_you_00101_you1_charaget02_Normal_Red,0,Normal,,,64,28,70,
e,202602015,c_you_00001_you1_charaget01_Boss_Colorless_Normal_00000,c_you_00001_you1_charaget01_Boss_Colorless,0,Normal,,,67,23,10,
e,202602015,c_you_00001_you1_charaget01_Boss_Colorless_Special_00001,c_you_00001_you1_charaget01_Boss_Colorless,0,Special,,,89,0,0,
e,202602015,c_you_00001_you1_charaget01_Boss_Colorless_Appearance_00002,c_you_00001_you1_charaget01_Boss_Colorless,0,Appearance,,,50,0,0,
e,202602015,c_you_00201_you1_charaget01_Boss_Yellow_Normal_00000,c_you_00201_you1_charaget01_Boss_Yellow,0,Normal,,,83,32,10,
e,202602015,c_you_00201_you1_charaget01_Boss_Yellow_Special_00001,c_you_00201_you1_charaget01_Boss_Yellow,0,Special,,,158,0,0,
e,202602015,c_you_00201_you1_charaget01_Boss_Yellow_Appearance_00002,c_you_00201_you1_charaget01_Boss_Yellow,0,Appearance,,,50,0,0,
e,202602015,e_you_00001_you1_charaget01_Normal_Colorless_Normal_00000,e_you_00001_you1_charaget01_Normal_Colorless,0,Normal,,,89,35,20,
e,202602015,e_you_00101_you1_charaget01_Normal_Yellow_Normal_00000,e_you_00101_you1_charaget01_Normal_Yellow,0,Normal,,,70,28,20,
e,202602015,c_you_00201_you1_challenge_Boss_Green_Normal_00000,c_you_00201_you1_challenge_Boss_Green,0,Normal,,,84,32,40,
e,202602015,c_you_00201_you1_challenge_Boss_Green_Special_00001,c_you_00201_you1_challenge_Boss_Green,0,Special,,,159,0,0,
e,202602015,c_you_00201_you1_challenge_Boss_Green_Appearance_00002,c_you_00201_you1_challenge_Boss_Green,0,Appearance,,,50,0,0,
e,202602015,c_you_00301_you1_challenge_Boss_Green_Normal_00000,c_you_00301_you1_challenge_Boss_Green,0,Normal,,,89,35,40,
e,202602015,c_you_00301_you1_challenge_Boss_Green_Special_00001,c_you_00301_you1_challenge_Boss_Green,0,Special,,,184,110,0,
e,202602015,c_you_00301_you1_challenge_Boss_Green_Appearance_00002,c_you_00301_you1_challenge_Boss_Green,0,Appearance,,,50,0,0,
e,202602015,c_you_00101_you1_challenge_Boss_Blue_Normal_00000,c_you_00101_you1_challenge_Boss_Blue,0,Normal,,,82,33,30,
e,202602015,c_you_00101_you1_challenge_Boss_Blue_Special_00001,c_you_00101_you1_challenge_Boss_Blue,0,Special,,,179,0,0,
e,202602015,c_you_00301_you1_challenge_Normal_Red_Normal_00000,c_you_00301_you1_challenge_Normal_Red,0,Normal,,,89,35,140,
e,202602015,c_you_00201_you1_challenge_Normal_Green_Normal_00000,c_you_00201_you1_challenge_Normal_Green,0,Normal,,,84,32,75,
e,202602015,c_you_00001_you1_challenge_Boss_Green_Normal_00000,c_you_00001_you1_challenge_Boss_Green,0,Normal,,,67,23,20,
e,202602015,c_you_00001_you1_challenge_Boss_Green_Special_00001,c_you_00001_you1_challenge_Boss_Green,0,Special,,,89,0,0,
e,202602015,c_you_00001_you1_challenge_Boss_Green_Appearance_00002,c_you_00001_you1_challenge_Boss_Green,0,Appearance,,,50,0,0,
e,202602015,e_glo_00001_you1_challenge_Normal_Green_Normal_00000,e_glo_00001_you1_challenge_Normal_Green,0,Normal,,,50,25,50,
e,202602015,e_glo_00001_you1_challenge_Normal_Blue_Normal_00000,e_glo_00001_you1_challenge_Normal_Blue,0,Normal,,,50,25,50,
e,202602015,e_glo_00001_you1_challenge_Normal_Red_Normal_00000,e_glo_00001_you1_challenge_Normal_Red,0,Normal,,,50,25,50,
e,202602015,c_you_00201_you1_savage01_Boss_Green_Normal_00000,c_you_00201_you1_savage01_Boss_Green,0,Normal,,,83,32,10,
e,202602015,c_you_00201_you1_savage01_Boss_Green_Special_00001,c_you_00201_you1_savage01_Boss_Green,0,Special,,,158,0,0,
e,202602015,c_you_00201_you1_savage01_Boss_Green_Appearance_00002,c_you_00201_you1_savage01_Boss_Green,0,Appearance,,,50,0,0,
e,202602015,c_you_00301_you1_savage01_Boss_Blue_Normal_00000,c_you_00301_you1_savage01_Boss_Blue,0,Normal,,,89,35,30,
e,202602015,c_you_00301_you1_savage01_Boss_Blue_Special_00001,c_you_00301_you1_savage01_Boss_Blue,0,Special,,,184,110,0,
e,202602015,c_you_00301_you1_savage01_Boss_Blue_Appearance_00002,c_you_00301_you1_savage01_Boss_Blue,0,Appearance,,,50,0,0,
e,202602015,c_you_00301_you1_savage01_Boss_Green_Normal_00000,c_you_00301_you1_savage01_Boss_Green,0,Normal,,,89,35,30,
e,202602015,c_you_00301_you1_savage01_Boss_Green_Special_00001,c_you_00301_you1_savage01_Boss_Green,0,Special,,,184,110,0,
e,202602015,c_you_00301_you1_savage01_Boss_Green_Appearance_00002,c_you_00301_you1_savage01_Boss_Green,0,Appearance,,,50,0,0,
e,202602015,c_you_00001_you1_savage01_Boss_Red_Normal_00000,c_you_00001_you1_savage01_Boss_Red,0,Normal,,,67,23,10,
e,202602015,c_you_00001_you1_savage01_Boss_Red_Special_00001,c_you_00001_you1_savage01_Boss_Red,0,Special,,,89,0,0,
e,202602015,c_you_00001_you1_savage01_Boss_Red_Appearance_00002,c_you_00001_you1_savage01_Boss_Red,0,Appearance,,,50,0,0,
e,202602015,c_you_00101_you1_savage01_Boss_Blue_Normal_00000,c_you_00101_you1_savage01_Boss_Blue,0,Normal,,,82,33,30,
e,202602015,c_you_00101_you1_savage01_Boss_Blue_Special_00001,c_you_00101_you1_savage01_Boss_Blue,0,Special,,,179,0,0,
e,202602015,c_you_00101_you1_savage01_Boss_Blue_Appearance_00002,c_you_00101_you1_savage01_Boss_Blue,0,Appearance,,,50,0,0,
e,202602015,c_you_00101_you1_savage01_Boss_Green_Normal_00000,c_you_00101_you1_savage01_Boss_Green,0,Normal,,,82,33,30,
e,202602015,c_you_00101_you1_savage01_Boss_Green_Special_00001,c_you_00101_you1_savage01_Boss_Green,0,Special,,,179,0,0,
e,202602015,c_you_00101_you1_savage01_Boss_Green_Appearance_00002,c_you_00101_you1_savage01_Boss_Green,0,Appearance,,,50,0,0,
e,202602015,e_you_00001_you1_savage01_Normal_Colorless_Normal_00000,e_you_00001_you1_savage01_Normal_Colorless,0,Normal,,,89,35,20,
e,202602015,e_you_00001_you1_savage01_02_Normal_Colorless_Normal_00000,e_you_00001_you1_savage01_02_Normal_Colorless,0,Normal,,,89,35,20,
e,202602015,e_you_00101_you1_savage01_Normal_Colorless_Normal_00000,e_you_00101_you1_savage01_Normal_Colorless,0,Normal,,,70,28,20,
e,202602015,e_you_00001_you1_savage01_Normal_Green_Normal_00000,e_you_00001_you1_savage01_Normal_Green,0,Normal,,,89,35,20,
e,202602015,e_you_00101_you1_savage01_Normal_Green_Normal_00000,e_you_00101_you1_savage01_Normal_Green,0,Normal,,,70,28,20,
e,202602015,e_you_00001_you1_advent_Normal_Green_Normal_00000,e_you_00001_you1_advent_Normal_Green,0,Normal,,,89,35,20,
e,202602015,e_you_00101_you1_advent_Normal_Green_Normal_00000,e_you_00101_you1_advent_Normal_Green,0,Normal,,,70,28,20,
e,202602015,c_you_00001_you1_advent_Normal_Colorless_Normal_00000,c_you_00001_you1_advent_Normal_Colorless,0,Normal,,,67,23,75,
e,202602015,c_you_00001_you1_advent_Normal_Colorless_Special_00001,c_you_00001_you1_advent_Normal_Colorless,0,Special,,,89,0,0,
e,202602015,c_you_00201_you1_advent_Normal_Green_Normal_00000,c_you_00201_you1_advent_Normal_Green,0,Normal,,,84,32,75,
e,202602015,c_you_00201_you1_advent_Normal_Green_Special_00001,c_you_00201_you1_advent_Normal_Green,0,Special,,,159,0,0,
e,202602015,c_you_00301_you1_advent_Normal_Colorless_Normal_00000,c_you_00301_you1_advent_Normal_Colorless,0,Normal,,,89,35,50,
e,202602015,c_you_00301_you1_advent_Normal_Colorless_Special_00001,c_you_00301_you1_advent_Normal_Colorless,0,Special,,,184,110,0,
e,202602015,e_you_00001_you1_advent_Boss_Colorless_Normal_00000,e_you_00001_you1_advent_Boss_Colorless,0,Normal,,,89,35,20,
e,202602015,e_you_00001_you1_advent_Boss_Colorless_Appearance_00001,e_you_00001_you1_advent_Boss_Colorless,0,Appearance,,,50,0,0,
e,202602015,e_you_00101_you1_advent_Boss_Colorless_Normal_00000,e_you_00101_you1_advent_Boss_Colorless,0,Normal,,,70,28,20,
e,202602015,e_you_00101_you1_advent_Boss_Colorless_Appearance_00001,e_you_00101_you1_advent_Boss_Colorless,0,Appearance,,,50,0,0,
e,202602015,c_you_00001_you1_advent_Boss_Green_Normal_00000,c_you_00001_you1_advent_Boss_Green,0,Normal,,,67,23,75,
e,202602015,c_you_00001_you1_advent_Boss_Green_Appearance_00001,c_you_00001_you1_advent_Boss_Green,0,Appearance,,,50,0,0,
e,202602015,c_you_00001_you1_advent_Boss_Green_Special_00002,c_you_00001_you1_advent_Boss_Green,0,Special,,,89,0,0,
e,202602015,c_you_00201_you1_advent_Boss_Green_Normal_00000,c_you_00201_you1_advent_Boss_Green,0,Normal,,,84,32,75,
e,202602015,c_you_00201_you1_advent_Boss_Green_Appearance_00001,c_you_00201_you1_advent_Boss_Green,0,Appearance,,,50,0,0,
e,202602015,c_you_00201_you1_advent_Boss_Green_Special_00002,c_you_00201_you1_advent_Boss_Green,0,Special,,,159,0,0,
e,202602015,c_you_00301_you1_advent_Boss_Green_Normal_00000,c_you_00301_you1_advent_Boss_Green,0,Normal,,,89,35,50,
e,202602015,c_you_00301_you1_advent_Boss_Green_Appearance_00001,c_you_00301_you1_advent_Boss_Green,0,Appearance,,,50,0,0,
e,202602015,c_you_00301_you1_advent_Boss_Green_Special_00002,c_you_00301_you1_advent_Boss_Green,0,Special,,,184,110,0,
e,202602015,c_you_00101_you1_advent_Boss_Green_Normal_00000,c_you_00101_you1_advent_Boss_Green,0,Normal,,,82,33,65,
e,202602015,c_you_00101_you1_advent_Boss_Green_Appearance_00001,c_you_00101_you1_advent_Boss_Green,0,Appearance,,,50,0,0,
e,202602015,c_you_00101_you1_advent_Boss_Green_Special_00002,c_you_00101_you1_advent_Boss_Green,0,Special,,,179,0,0,
