ENABLE,id,mst_auto_player_sequence_id,mst_auto_player_sequence_set_id,bgm_asset_key,boss_bgm_asset_key,loop_background_asset_key,player_outpost_asset_key,mst_page_id,mst_enemy_outpost_id,mst_defense_target_id,boss_mst_enemy_stage_parameter_id,boss_count,normal_enemy_hp_coef,normal_enemy_attack_coef,normal_enemy_speed_coef,boss_enemy_hp_coef,boss_enemy_attack_coef,boss_enemy_speed_coef,release_key
e,event_you1_1day_00001,event_you1_1day_00001,event_you1_1day_00001,SSE_SBG_003_001,,,,event_you1_1day_00001,event_you1_1day_00001,,1,,1,1,1,1,1,1,202602015
e,raid_you1_00001,raid_you1_00001,raid_you1_00001,SSE_SBG_003_008,,,,raid_you1_00001,raid_you1_00001,,,,1,1,1,1,1,1,202602015
e,event_you1_charaget01_00001,event_you1_charaget01_00001,event_you1_charaget01_00001,SSE_SBG_003_001,SSE_SBG_003_004,,,event_you1_charaget01_00001,event_you1_charaget01_00001,,1,,1,1,1,1,1,1,202602015
e,event_you1_charaget01_00002,event_you1_charaget01_00002,event_you1_charaget01_00002,SSE_SBG_003_001,SSE_SBG_003_004,,,event_you1_charaget01_00002,event_you1_charaget01_00002,,1,,1,1,1,1,1,1,202602015
e,event_you1_charaget01_00003,event_you1_charaget01_00003,event_you1_charaget01_00003,SSE_SBG_003_001,SSE_SBG_003_004,,,event_you1_charaget01_00003,event_you1_charaget01_00003,,1,,1,1,1,1,1,1,202602015
e,event_you1_charaget01_00004,event_you1_charaget01_00004,event_you1_charaget01_00004,SSE_SBG_003_001,SSE_SBG_003_004,,,event_you1_charaget01_00004,event_you1_charaget01_00004,,1,,1,1,1,1,1,1,202602015
e,event_you1_charaget01_00005,event_you1_charaget01_00005,event_you1_charaget01_00005,SSE_SBG_003_001,SSE_SBG_003_004,,,event_you1_charaget01_00005,event_you1_charaget01_00005,,1,,1,1,1,1,1,1,202602015
e,event_you1_charaget01_00006,event_you1_charaget01_00006,event_you1_charaget01_00006,SSE_SBG_003_001,SSE_SBG_003_004,,,event_you1_charaget01_00006,event_you1_charaget01_00006,,1,,1,1,1,1,1,1,202602015
e,event_you1_charaget02_00001,event_you1_charaget02_00001,event_you1_charaget02_00001,SSE_SBG_003_002,,,,event_you1_charaget02_00001,event_you1_charaget02_00001,,1,,1,1,1,1,1,1,202602015
e,event_you1_charaget02_00002,event_you1_charaget02_00002,event_you1_charaget02_00002,SSE_SBG_003_002,,,,event_you1_charaget02_00002,event_you1_charaget02_00002,,1,,1,1,1,1,1,1,202602015
e,event_you1_charaget02_00003,event_you1_charaget02_00003,event_you1_charaget02_00003,SSE_SBG_003_002,,,,event_you1_charaget02_00003,event_you1_charaget02_00003,,1,,1,1,1,1,1,1,202602015
e,event_you1_charaget02_00004,event_you1_charaget02_00004,event_you1_charaget02_00004,SSE_SBG_003_001,SSE_SBG_003_004,,,event_you1_charaget02_00004,event_you1_charaget02_00004,,1,,1,1,1,1,1,1,202602015
e,event_you1_charaget02_00005,event_you1_charaget02_00005,event_you1_charaget02_00005,SSE_SBG_003_001,SSE_SBG_003_004,,,event_you1_charaget02_00005,event_you1_charaget02_00005,,1,,1,1,1,1,1,1,202602015
e,event_you1_charaget02_00006,event_you1_charaget02_00006,event_you1_charaget02_00006,SSE_SBG_003_001,SSE_SBG_003_004,,,event_you1_charaget02_00006,event_you1_charaget02_00006,,1,,1,1,1,1,1,1,202602015
e,event_you1_challenge_00001,event_you1_challenge_00001,event_you1_challenge_00001,SSE_SBG_003_001,SSE_SBG_003_004,,,event_you1_challenge_00001,event_you1_challenge_00001,,1,,1,1,1,1,1,1,202602015
e,event_you1_challenge_00002,event_you1_challenge_00002,event_you1_challenge_00002,SSE_SBG_003_001,SSE_SBG_003_004,,,event_you1_challenge_00002,event_you1_challenge_00002,,1,,1,1,1,1,1,1,202602015
e,event_you1_challenge_00003,event_you1_challenge_00003,event_you1_challenge_00003,SSE_SBG_003_001,SSE_SBG_003_004,,,event_you1_challenge_00003,event_you1_challenge_00003,,1,,1,1,1,1,1,1,202602015
e,event_you1_challenge_00004,event_you1_challenge_00004,event_you1_challenge_00004,SSE_SBG_003_001,SSE_SBG_003_004,,,event_you1_challenge_00004,event_you1_challenge_00004,,1,,1,1,1,1,1,1,202602015
e,event_you1_savage_00001,event_you1_savage_00001,event_you1_savage_00001,SSE_SBG_003_007,,,,event_you1_savage_00001,event_you1_savage_00001,,1,,1,1,1,1,1,1,202602015
e,event_you1_savage_00002,event_you1_savage_00002,event_you1_savage_00002,SSE_SBG_003_007,,,,event_you1_savage_00002,event_you1_savage_00002,,1,,1,1,1,1,1,1,202602015
e,event_you1_savage_00003,event_you1_savage_00003,event_you1_savage_00003,SSE_SBG_003_007,,,,event_you1_savage_00003,event_you1_savage_00003,,1,,1,1,1,1,1,1,202602015
