ENABLE,id,mst_page_id,row,height,koma_line_layout_asset_key,koma1_asset_key,koma1_width,koma1_back_ground_offset,koma1_effect_type,koma1_effect_parameter1,koma1_effect_parameter2,koma1_effect_target_side,koma1_effect_target_colors,koma1_effect_target_roles,koma2_asset_key,koma2_width,koma2_back_ground_offset,koma2_effect_type,koma2_effect_parameter1,koma2_effect_parameter2,koma2_effect_target_side,koma2_effect_target_colors,koma2_effect_target_roles,koma3_asset_key,koma3_width,koma3_back_ground_offset,koma3_effect_type,koma3_effect_parameter1,koma3_effect_parameter2,koma3_effect_target_side,koma3_effect_target_colors,koma3_effect_target_roles,koma4_asset_key,koma4_width,koma4_back_ground_offset,koma4_effect_type,koma4_effect_parameter1,koma4_effect_parameter2,koma4_effect_target_side,koma4_effect_target_colors,koma4_effect_target_roles,release_key
e,pvp_kim_01_1,pvp_kim_01,1,0.55,4,kim_00001,0.75,-1,None,0,0,All,All,All,kim_00001,0.25,-1,Gust,200,0.3,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202602020
e,pvp_kim_01_2,pvp_kim_01,2,0.55,9,kim_00001,0.25,-1,None,0,0,All,All,All,kim_00001,0.5,-1,Gust,200,0.3,All,All,All,kim_00001,0.25,-1,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,202602020
e,pvp_kim_01_3,pvp_kim_01,3,0.55,5,kim_00001,0.25,-1,Gust,200,0.3,All,All,All,kim_00001,0.75,-1,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202602020
e,pvp_kim_02_1,pvp_kim_02,1,0.55,8,kim_00001,0.5,-1,None,0,0,All,All,All,kim_00001,0.25,-1,AttackPowerDown,30,0,All,All,All,kim_00001,0.25,-1,AttackPowerDown,30,0,All,All,All,,,__NULL__,None,,,__NULL__,,,202602020
e,pvp_kim_02_2,pvp_kim_02,2,0.55,12,kim_00001,0.25,-1,AttackPowerDown,30,0,All,All,All,kim_00001,0.25,-1,None,0,0,All,All,All,kim_00001,0.25,-1,None,0,0,All,All,All,kim_00001,0.25,-1,AttackPowerDown,30,0,All,All,All,202602020
e,pvp_kim_02_3,pvp_kim_02,3,0.55,10,kim_00001,0.25,-1,AttackPowerDown,30,0,All,All,All,kim_00001,0.25,-1,AttackPowerDown,30,0,All,All,All,kim_00001,0.5,-1,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,202602020
e,event_kim1_savage_00001_1,event_kim1_savage_00001,1,0.55,12,glo_00011,0.25,-1,None,0,0,All,All,All,glo_00011,0.25,-1,None,0,0,All,All,All,glo_00011,0.25,-1,AttackPowerDown,50,0,Player,All,All,glo_00011,0.25,-1,AttackPowerDown,50,0,Player,All,All,202602020
e,event_kim1_savage_00001_2,event_kim1_savage_00001,2,0.55,7,glo_00011,0.33,0.3,AttackPowerDown,50,0,Player,All,All,glo_00011,0.34,0.3,None,0,0,All,All,All,glo_00011,0.33,0.3,AttackPowerDown,50,0,Player,All,All,,,__NULL__,None,,,__NULL__,,,202602020
e,event_kim1_savage_00001_3,event_kim1_savage_00001,3,0.55,8,glo_00011,0.5,0.7,AttackPowerDown,50,0,Player,All,All,glo_00011,0.25,0.7,None,0,0,All,All,All,glo_00011,0.25,0.7,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,202602020
e,event_kim1_savage_00002_1,event_kim1_savage_00002,1,0.55,8,glo_00011,0.5,-1,None,0,0,All,All,All,glo_00011,0.25,-1,None,0,0,All,All,All,glo_00011,0.25,-1,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,202602020
e,event_kim1_savage_00002_2,event_kim1_savage_00002,2,0.55,7,glo_00011,0.33,-0.2,None,0,0,All,All,All,glo_00011,0.34,-0.2,None,0,0,All,All,All,glo_00011,0.33,-0.2,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,202602020
e,event_kim1_savage_00002_3,event_kim1_savage_00002,3,0.55,8,glo_00011,0.5,0.3,None,0,0,All,All,All,glo_00011,0.25,0.3,None,0,0,All,All,All,glo_00011,0.25,0.3,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,202602020
e,event_kim1_savage_00002_4,event_kim1_savage_00002,4,0.55,7,glo_00011,0.33,0.7,None,0,0,All,All,All,glo_00011,0.34,0.7,None,0,0,All,All,All,glo_00011,0.33,0.7,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,202602020
e,event_kim1_savage_00003_1,event_kim1_savage_00003,1,0.55,12,kim_00001,0.25,-1,None,0,0,All,All,All,kim_00001,0.25,-1,None,0,0,All,All,All,kim_00001,0.25,-1,AttackPowerDown,50,0,Player,All,All,kim_00001,0.25,-1,AttackPowerDown,50,0,Player,All,All,202602020
e,event_kim1_savage_00003_2,event_kim1_savage_00003,2,0.55,7,kim_00001,0.33,0.3,AttackPowerDown,50,0,Player,All,All,kim_00001,0.34,0.3,None,0,0,All,All,All,kim_00001,0.33,0.3,AttackPowerDown,50,0,Player,All,All,,,__NULL__,None,,,__NULL__,,,202602020
e,event_kim1_savage_00003_3,event_kim1_savage_00003,3,0.55,8,kim_00001,0.5,0.7,AttackPowerDown,50,0,Player,All,All,kim_00001,0.25,0.7,None,0,0,All,All,All,kim_00001,0.25,0.7,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,202602020
e,event_kim1_1day_00001_1,event_kim1_1day_00001,1,0.55,2,glo_00011,0.6,0.3,None,0,0,All,All,All,glo_00011,0.4,0.3,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202602020
e,event_kim1_1day_00001_2,event_kim1_1day_00001,2,0.55,3,glo_00011,0.4,0.3,None,0,0,All,All,All,glo_00011,0.6,0.3,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202602020
e,event_kim1_charaget01_00001_1,event_kim1_charaget01_00001,1,0.55,3,glo_00029,0.4,1,None,0,0,All,All,All,glo_00029,0.6,0.7,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202602020
e,event_kim1_charaget01_00001_2,event_kim1_charaget01_00001,2,0.55,1,glo_00029,1,0.7,None,0,0,All,All,All,,,__NULL__,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202602020
e,event_kim1_charaget01_00002_1,event_kim1_charaget01_00002,1,0.55,3,glo_00013,0.4,0.3,None,0,0,All,All,All,glo_00013,0.6,-1,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202602020
e,event_kim1_charaget01_00002_2,event_kim1_charaget01_00002,2,0.55,2,glo_00013,0.6,0.5,None,0,0,All,All,All,glo_00013,0.4,0.5,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202602020
e,event_kim1_charaget01_00003_1,event_kim1_charaget01_00003,1,0.55,3,glo_00014,0.4,0.3,None,0,0,All,All,All,glo_00014,0.6,-1,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202602020
e,event_kim1_charaget01_00003_2,event_kim1_charaget01_00003,2,0.55,4,glo_00014,0.75,-1,None,0,0,All,All,All,glo_00014,0.25,-1,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202602020
e,event_kim1_charaget01_00003_3,event_kim1_charaget01_00003,3,0.55,2,glo_00014,0.6,0.5,None,0,0,All,All,All,glo_00014,0.4,0.5,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202602020
e,event_kim1_charaget01_00004_1,event_kim1_charaget01_00004,1,0.55,12,glo_00014,0.25,-1,None,0,0,All,All,All,glo_00014,0.25,-1,None,0,0,All,All,All,glo_00014,0.25,-1,None,,,__NULL__,,,glo_00014,0.25,-1,None,,,__NULL__,,,202602020
e,event_kim1_charaget01_00004_2,event_kim1_charaget01_00004,2,0.55,3,glo_00014,0.4,0.3,None,0,0,All,All,All,glo_00014,0.6,-1,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202602020
e,event_kim1_charaget01_00004_3,event_kim1_charaget01_00004,3,0.55,7,glo_00014,0.33,0.2,None,0,0,All,All,All,glo_00014,0.34,0.25,None,0,0,All,All,All,glo_00014,0.33,-0.31,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202602020
e,event_kim1_charaget02_00001_1,event_kim1_charaget02_00001,1,0.55,2,glo_00011,0.6,0.3,None,0,0,All,All,All,glo_00011,0.4,0.3,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202602020
e,event_kim1_charaget02_00001_2,event_kim1_charaget02_00001,2,0.55,4,glo_00011,0.75,-1,None,0,0,All,All,All,glo_00011,0.25,-1,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202602020
e,event_kim1_charaget02_00002_1,event_kim1_charaget02_00002,1,0.55,4,glo_00011,0.75,-1,None,0,0,All,All,All,glo_00011,0.25,-1,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202602020
e,event_kim1_charaget02_00002_2,event_kim1_charaget02_00002,2,0.55,3,glo_00011,0.4,0.3,None,0,0,All,All,All,glo_00011,0.6,-1,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202602020
e,event_kim1_charaget02_00003_1,event_kim1_charaget02_00003,1,0.55,3,glo_00011,0.4,0.3,None,0,0,All,All,All,glo_00011,0.6,-1,Gust,250,0.3,Player,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202602020
e,event_kim1_charaget02_00003_2,event_kim1_charaget02_00003,2,0.55,4,glo_00011,0.75,-1,None,0,0,All,All,All,glo_00011,0.25,-1,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202602020
e,event_kim1_charaget02_00004_1,event_kim1_charaget02_00004,1,0.55,2,glo_00011,0.6,0.5,None,0,0,All,All,All,glo_00011,0.4,0.5,Gust,250,0.3,Player,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202602020
e,event_kim1_charaget02_00004_2,event_kim1_charaget02_00004,2,0.55,9,glo_00011,0.25,0.2,None,0,0,All,All,All,glo_00011,0.5,-0.15,Gust,250,0.3,Player,All,All,glo_00011,0.25,-1.4,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,202602020
e,event_kim1_charaget02_00005_1,event_kim1_charaget02_00005,1,0.55,3,kim_00002,0.4,-1,Gust,250,0.3,Player,All,All,kim_00002,0.6,-1,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202602020
e,event_kim1_charaget02_00005_2,event_kim1_charaget02_00005,2,0.55,1,kim_00002,1,0.7,Gust,250,0.3,Player,All,All,,,__NULL__,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202602020
e,event_kim1_charaget02_00005_3,event_kim1_charaget02_00005,3,0.55,2,kim_00002,0.6,0.5,None,0,0,All,All,All,kim_00002,0.4,0.5,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202602020
e,event_kim1_charaget02_00006_1,event_kim1_charaget02_00006,1,0.55,4,kim_00001,0.75,-1,Gust,250,0.3,Player,All,All,kim_00001,0.25,-1,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202602020
e,event_kim1_charaget02_00006_2,event_kim1_charaget02_00006,2,0.55,3,kim_00001,0.4,-1,None,0,0,All,All,All,kim_00001,0.6,-1,Gust,250,0.3,Player,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202602020
e,event_kim1_charaget02_00006_3,event_kim1_charaget02_00006,3,0.55,7,kim_00001,0.33,0.25,None,0,0,All,All,All,kim_00001,0.34,0.25,None,0,0,All,All,All,kim_00001,0.33,-0.31,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202602020
