ENABLE,id,language,user_level,result_tips,release_key
e,1,ja,1,キャラのレベルを強化しよう!\nコインが足りない場合は、\nコイン獲得クエストを遊んでみよう!,202509010
e,2,ja,5,キャラのレベルを強化しよう!\nコインが足りない場合は、\nコイン獲得クエストを遊んでみよう!,202509010
e,3,ja,10,キャラのレベルを強化しよう!\nコインが足りない場合は、\nコイン獲得クエストを遊んでみよう!,202509010
e,4,ja,15,キャラのレベルを強化しよう!\nコインが足りない場合は、\nコイン獲得クエストを遊んでみよう!,202509010
e,5,ja,20,キャラをランクアップをしてみよう!\n探索で各種カラーメモリーを\n獲得しよう!,202509010
e,6,ja,30,キャラをランクアップをしてみよう!\n探索で各種カラーメモリーを\n獲得しよう!,202509010
e,7,ja,40,ゲートを強化してみよう!\nコインが足りない場合は、\nコイン獲得クエストを遊んでみよう!,202509010
e,8,ja,50,ゲートを強化してみよう!\nコインが足りない場合は、\nコイン獲得クエストを遊んでみよう!,202509010
e,9,ja,60,ゲートを強化してみよう!\nコインが足りない場合は、\nコイン獲得クエストを遊んでみよう!,202509010
e,10,ja,70,ガシャで同じキャラが出た場合は、キャラのかけらになるぞ!\nキャラのかけらは、キャラをグレードアップするためのアイテムだ!\n手に入れたら強化してみよう!,202509010
e,11,ja,80,ガシャで同じキャラが出た場合は、キャラのかけらになるぞ!\nキャラのかけらは、キャラをグレードアップするためのアイテムだ!\n手に入れたら強化してみよう!,202509010
e,12,ja,90,ガシャで同じキャラが出た場合は、キャラのかけらになるぞ!\nキャラのかけらは、キャラをグレードアップするためのアイテムだ!\n手に入れたら強化してみよう!,202509010
e,13,ja,100,ガシャで同じキャラが出た場合は、キャラのかけらになるぞ!\nキャラのかけらは、キャラをグレードアップするためのアイテムだ!\n手に入れたら強化してみよう!,202509010
e,14,ja,110,ガシャで同じキャラが出た場合は、キャラのかけらになるぞ!\nキャラのかけらは、キャラをグレードアップするためのアイテムだ!\n手に入れたら強化してみよう!,202509010
e,15,ja,120,ガシャで同じキャラが出た場合は、キャラのかけらになるぞ!\nキャラのかけらは、キャラをグレードアップするためのアイテムだ!\n手に入れたら強化してみよう!,202509010
e,16,ja,130,ガシャで同じキャラが出た場合は、キャラのかけらになるぞ!\nキャラのかけらは、キャラをグレードアップするためのアイテムだ!\n手に入れたら強化してみよう!,202509010
e,17,ja,140,ガシャで同じキャラが出た場合は、キャラのかけらになるぞ!\nキャラのかけらは、キャラをグレードアップするためのアイテムだ!\n手に入れたら強化してみよう!,202509010
e,18,ja,150,ガシャで同じキャラが出た場合は、キャラのかけらになるぞ!\nキャラのかけらは、キャラをグレードアップするためのアイテムだ!\n手に入れたら強化してみよう!,202509010
