ENABLE,release_key,id,mst_enemy_character_id,character_unit_kind,role_type,color,sort_order,hp,damage_knock_back_count,move_speed,well_distance,attack_power,attack_combo_cycle,mst_unit_ability_id1,drop_battle_point,mstTransformationEnemyStageParameterId,transformationConditionType,transformationConditionValue
e,202603010,c_hut_00001_hut1_1d1c_Normal_Colorless,chara_hut_00001,Normal,Defense,Colorless,1,10000,1,35,0.21,100,5,,200,,None,
e,202603010,e_hut_00001_hut1_1d1c_Normal_Colorless,enemy_hut_00001,Normal,Attack,Colorless,2,10000,2,34,0.3,100,0,,200,,None,
e,202603010,c_hut_00001_hut1_charaget01_Normal_Colorless,chara_hut_00001,Normal,Defense,Colorless,1,10000,1,35,0.21,100,5,,200,,None,
e,202603010,e_glo_00001_hut1_charaget01_Normal_Blue,enemy_glo_00001,Normal,Attack,Blue,2,1000,3,40,0.2,100,1,,50,,None,
e,202603010,c_hut_00101_hut1_charaget01_Boss_Colorless,chara_hut_00101,Boss,Support,Colorless,3,10000,2,35,0.42,100,6,,200,,None,
e,202603010,c_hut_00201_hut1_charaget01_Boss_Colorless,chara_hut_00201,Boss,Technical,Colorless,4,10000,2,35,0.5,100,5,,200,,None,
e,202603010,c_hut_00301_hut1_charaget01_Boss_Colorless,chara_hut_00301,Boss,Attack,Colorless,5,10000,2,35,0.42,100,6,,200,,None,
e,202603010,c_hut_00101_hut1_charaget02_Normal_Yellow,chara_hut_00101,Normal,Support,Yellow,1,1000,2,35,0.42,100,6,,200,,None,
e,202603010,e_glo_00001_hut1_charaget02_Normal_Colorless,enemy_glo_00001,Normal,Attack,Colorless,2,1000,3,40,0.2,100,1,,50,,None,
e,202603010,c_hut_00001_hut1_charaget02_Boss_Yellow,chara_hut_00001,Boss,Defense,Yellow,3,10000,1,35,0.21,100,5,,200,,None,
e,202603010,c_hut_00201_hut1_charaget02_Normal_Yellow,chara_hut_00201,Normal,Technical,Yellow,4,1000,2,35,0.5,100,5,,200,,None,
e,202603010,c_hut_00301_hut1_charaget02_Normal_Yellow,chara_hut_00301,Normal,Attack,Yellow,5,1000,2,35,0.42,100,6,,200,,None,
e,202603010,c_hut_00001_hut1_challenge1_Boss_Green,chara_hut_00001,Boss,Defense,Green,1,10000,1,35,0.21,100,5,,200,,None,
e,202603010,c_hut_00001_hut1_challenge2_Boss_Blue,chara_hut_00001,Boss,Defense,Blue,1,10000,1,35,0.21,100,5,,200,,None,
e,202603010,c_hut_00101_hut1_challenge2_Normal_Blue,chara_hut_00101,Normal,Support,Blue,2,10000,2,35,0.42,100,6,,200,,None,
e,202603010,c_hut_00001_hut1_challeng3_Boss_Red,chara_hut_00001,Boss,Defense,Red,1,10000,1,35,0.21,100,5,,200,,None,
e,202603010,c_hut_00101_hut1_challeng3_Normal_Red,chara_hut_00101,Normal,Support,Red,2,10000,2,35,0.42,100,6,,200,,None,
e,202603010,c_hut_00201_hut1_challeng3_Normal_Red,chara_hut_00201,Normal,Technical,Red,3,10000,2,35,0.5,100,5,,200,,None,
