ENABLE,id,group_id,tradable_count,display_order,release_key
e,event_hut_00001_01_lineup_00001,event_hut_00001_01_lineup,1,1,202603010
e,event_hut_00001_01_lineup_00002,event_hut_00001_01_lineup,5,2,202603010
e,event_hut_00001_01_lineup_00003,event_hut_00001_01_lineup,10,3,202603010
e,event_hut_00001_01_lineup_00004,event_hut_00001_01_lineup,5,4,202603010
e,event_hut_00001_01_lineup_00005,event_hut_00001_01_lineup,10,5,202603010
e,event_hut_00001_01_lineup_00006,event_hut_00001_01_lineup,13,6,202603010
e,event_hut_00001_01_lineup_00007,event_hut_00001_01_lineup,13,7,202603010
e,event_hut_00001_01_lineup_00008,event_hut_00001_01_lineup,1,8,202603010
e,event_hut_00001_01_lineup_00009,event_hut_00001_01_lineup,10,9,202603010
e,event_hut_00001_01_lineup_00010,event_hut_00001_01_lineup,3,10,202603010
e,event_hut_00001_01_lineup_00011,event_hut_00001_01_lineup,3,11,202603010
e,event_hut_00001_01_lineup_00012,event_hut_00001_01_lineup,80,12,202603010
e,event_hut_00001_01_lineup_00013,event_hut_00001_01_lineup,30,13,202603010
e,event_hut_00001_01_lineup_00014,event_hut_00001_01_lineup,10,14,202603010
e,event_hut_00001_01_lineup_00015,event_hut_00001_01_lineup,10,15,202603010
e,event_hut_00001_01_lineup_00016,event_hut_00001_01_lineup,10,16,202603010
e,event_hut_00001_01_lineup_00017,event_hut_00001_01_lineup,10,17,202603010
e,event_hut_00001_01_lineup_00018,event_hut_00001_01_lineup,10,18,202603010
e,event_hut_00001_01_lineup_00019,event_hut_00001_01_lineup,10,19,202603010
e,event_hut_00001_01_lineup_00020,event_hut_00001_01_lineup,2000,20,202603010
