ENABLE,id,sequence_set_id,sequence_group_id,sequence_element_id,priority_sequence_element_id,condition_type,condition_value,action_type,action_value,action_value2,summon_count,summon_interval,summon_animation_type,summon_position,move_start_condition_type,move_start_condition_value,move_stop_condition_type,move_stop_condition_value,move_restart_condition_type,move_restart_condition_value,move_loop_count,is_summon_unit_outpost_damage_invalidation,last_boss_trigger,aura_type,death_type,enemy_hp_coef,enemy_attack_coef,enemy_speed_coef,override_drop_battle_point,defeated_score,action_delay,deactivation_condition_type,deactivation_condition_value,release_key
e,event_l05anniv_1day_00001_1,event_l05anniv_1day_00001,,1,,ElapsedTime,600,SummonEnemy,c_kai_00701_glo2_1d1c_Normal_Colorless,,1,0,None,,None,,None,,None,,,,,Default,Normal,0.4,0.1,1,,0,,None,,202603025
e,event_l05anniv_1day_00001_2,event_l05anniv_1day_00001,,2,,ElapsedTime,500,SummonEnemy,c_gom_00701_glo2_1d1c_Normal_Colorless,,1,0,None,,None,,None,,None,,,,,Default,Normal,0.4,0.1,1,,0,,None,,202603025
e,event_l05anniv_1day_00001_3,event_l05anniv_1day_00001,,3,,ElapsedTime,350,SummonEnemy,e_glo_00001_glo2_1d1c_Normal_Colorless,,1,0,None,,None,,None,,None,,,,,Default,Normal,0.1,0.1,1,,0,,None,,202603025
e,event_l05anniv_1day_00001_4,event_l05anniv_1day_00001,,4,,ElapsedTime,300,SummonEnemy,e_glo_00001_glo2_1d1c_Normal_Colorless,,1,0,None,,None,,None,,None,,,,,Default,Normal,0.1,0.1,1,,0,,None,,202603025
e,event_l05anniv_1day_00001_5,event_l05anniv_1day_00001,,5,,ElapsedTime,250,SummonEnemy,e_glo_00001_glo2_1d1c_Normal_Colorless,,1,0,None,,None,,None,,None,,,,,Default,Normal,0.1,0.1,1,,0,,None,,202603025
e,event_l05anniv_1day_00001_6,event_l05anniv_1day_00001,,6,,ElapsedTime,200,SummonEnemy,e_glo_00001_glo2_1d1c_Normal_Colorless,,1,0,None,,None,,None,,None,,,,,Default,Normal,0.1,0.1,1,,0,,None,,202603025
e,event_l05anniv_1day_00001_7,event_l05anniv_1day_00001,,7,,ElapsedTime,100,SummonEnemy,e_glo_00001_glo2_1d1c_Normal_Colorless,,1,0,None,,None,,None,,None,,,,,Default,Normal,0.1,0.1,1,,0,,None,,202603025
e,raid_l05anniv_00001_1,raid_l05anniv_00001,,1,,ElapsedTime,100,SummonEnemy,e_gom_00701_l05anniv_advent_Normal_Colorless,,5,500,None,,None,,None,,None,,,,,Default,Normal,8,1.5,1,50,10,,None,,202603025
e,raid_l05anniv_00001_2,raid_l05anniv_00001,,2,,InitialSummon,0,SummonEnemy,e_gom_00501_l05anniv_advent_Normal_Colorless,,1,1000,None,1.1,Damage,1,None,,None,,,,,Default,Normal,12,0.5,1,50,15,,None,,202603025
e,raid_l05anniv_00001_3,raid_l05anniv_00001,,3,,InitialSummon,0,SummonEnemy,c_gom_00201_l05anniv_advent_Normal_Blue,,1,0,None,1.6,ElapsedTime,250,None,,None,,,,,Default,Normal,10,2.5,1,250,50,,None,,202603025
e,raid_l05anniv_00001_4,raid_l05anniv_00001,,4,,InitialSummon,0,SummonEnemy,c_kai_00401_l05anniv_advent_Normal_Blue,,1,0,None,1.8,ElapsedTime,300,None,,None,,,,,Default,Normal,10,2.5,1,250,50,,None,,202603025
e,raid_l05anniv_00001_5,raid_l05anniv_00001,,groupchange_1,,FriendUnitDead,4,SwitchSequenceGroup,w1,,,,None,,None,,None,,None,,,,,Default,Normal,,,1,,,50,None,,202603025
e,raid_l05anniv_00001_6,raid_l05anniv_00001,w1,5,,ElapsedTimeSinceSequenceGroupActivated,150,SummonEnemy,c_kai_00101_l05anniv_advent_Normal_Blue,,1,0,None,,None,,None,,None,,,,,Default,Normal,3,1.5,1,100,30,,None,,202603025
e,raid_l05anniv_00001_7,raid_l05anniv_00001,w1,6,,FriendUnitDead,5,SummonEnemy,c_kai_00101_l05anniv_advent_Normal_Blue,,1,0,None,,None,,None,,None,,,,,Default,Normal,3,1.5,1,100,30,50,None,,202603025
e,raid_l05anniv_00001_8,raid_l05anniv_00001,w1,7,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,c_gom_00701_l05anniv_advent_Boss_Blue,,1,0,None,,None,,None,,None,,,,,AdventBoss1,Normal,8,2.5,1,250,100,,None,,202603025
e,raid_l05anniv_00001_9,raid_l05anniv_00001,w1,8,,ElapsedTimeSinceSequenceGroupActivated,500,SummonEnemy,e_gom_00402_l05anniv_advent_Normal_Colorless,,6,100,None,,None,,None,,None,,,,,Default,Normal,6,1.5,1,50,5,,None,,202603025
e,raid_l05anniv_00001_10,raid_l05anniv_00001,w1,9,,ElapsedTimeSinceSequenceGroupActivated,950,SummonEnemy,e_gom_00801_l05anniv_advent_Normal_Colorless,,10,800,None,,None,,None,,None,,,,,Default,Normal,15,0.5,1,50,10,,None,,202603025
e,raid_l05anniv_00001_11,raid_l05anniv_00001,w1,groupchange_2,,FriendUnitDead,7,SwitchSequenceGroup,w2,,,,None,,None,,None,,None,,,,,Default,Normal,,,1,,,50,None,,202603025
e,raid_l05anniv_00001_12,raid_l05anniv_00001,w2,10,,ElapsedTimeSinceSequenceGroupActivated,300,SummonEnemy,c_kai_00301_l05anniv_advent_Boss_Blue,,1,0,None,,None,,None,,None,,,,,AdventBoss1,Normal,15,3,1,200,150,,None,,202603025
e,raid_l05anniv_00001_13,raid_l05anniv_00001,w2,11,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,c_gom_00101_l05anniv_advent_Boss_Colorless,,1,0,None,,None,,None,,None,,,,,Default,Normal,4,4,1,75,50,,None,,202603025
e,raid_l05anniv_00001_14,raid_l05anniv_00001,w2,12,,FriendUnitDead,10,SummonEnemy,c_gom_00101_l05anniv_advent_Boss_Colorless,,1,0,None,,None,,None,,None,,,,,Default,Normal,4,4,1,75,50,50,None,,202603025
e,raid_l05anniv_00001_15,raid_l05anniv_00001,w2,13,,ElapsedTimeSinceSequenceGroupActivated,50,SummonEnemy,e_kai_00101_l05anniv_advent_Normal_Colorless,,2,50,None,,None,,None,,None,,,,,Default,Normal,15,3.5,1,50,10,,None,,202603025
e,raid_l05anniv_00001_16,raid_l05anniv_00001,w2,14,,FriendUnitDead,13,SummonEnemy,e_kai_00101_l05anniv_advent_Normal_Colorless,,3,50,None,,None,,None,,None,,,,,Default,Normal,15,3.5,1,50,10,300,None,,202603025
e,raid_l05anniv_00001_17,raid_l05anniv_00001,w2,15,,ElapsedTimeSinceSequenceGroupActivated,500,SummonEnemy,e_kai_00001_l05anniv_advent_Normal_Colorless,,5,250,None,,None,,None,,None,,,,,Default,Normal,20,5,1,50,10,,None,,202603025
e,raid_l05anniv_00001_18,raid_l05anniv_00001,w2,groupchange_3,,FriendUnitDead,10,SwitchSequenceGroup,w3,,,,None,,None,,None,,None,,,,,Default,Normal,,,1,,,50,None,,202603025
e,raid_l05anniv_00001_19,raid_l05anniv_00001,w3,16,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,c_gom_00001_l05anniv_advent_Boss_Blue,,1,0,None,,None,,None,,None,,,,,AdventBoss2,Normal,35,4,1,150,150,,None,,202603025
e,raid_l05anniv_00001_20,raid_l05anniv_00001,w3,17,,ElapsedTimeSinceSequenceGroupActivated,250,SummonEnemy,c_kai_00002_l05anniv_advent_Boss_Colorless,,1,0,None,,None,,None,,None,,,,,Boss,Normal,15,7,1,150,150,,None,,202603025
e,raid_l05anniv_00001_21,raid_l05anniv_00001,w3,18,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,e_gom_00402_l05anniv_advent_Normal_Colorless,,4,50,Fall,2.3,None,,None,,None,,,,,Default,Normal,30,2.5,1,50,10,,None,,202603025
e,raid_l05anniv_00001_22,raid_l05anniv_00001,w3,19,,FriendUnitDead,17,SummonEnemy,e_gom_00402_l05anniv_advent_Normal_Colorless,,4,50,None,,None,,None,,None,,,,,Default,Normal,30,2.5,1,50,10,,None,,202603025
e,raid_l05anniv_00001_23,raid_l05anniv_00001,w3,20,,ElapsedTimeSinceSequenceGroupActivated,500,SummonEnemy,e_kai_00001_l05anniv_advent_Normal_Colorless,,10,300,None,,None,,None,,None,,,,,Default,Normal,50,5,1,50,10,,None,,202603025
e,raid_l05anniv_00001_24,raid_l05anniv_00001,w3,groupchange_4,,FriendUnitDead,16,SwitchSequenceGroup,w4,,,,None,,None,,None,,None,,,,,Default,Normal,,,1,,,50,None,,202603025
e,raid_l05anniv_00001_25,raid_l05anniv_00001,w4,21,,ElapsedTimeSinceSequenceGroupActivated,250,SummonEnemy,c_kai_00701_l05anniv_advent_Boss_Blue,,1,0,None,,None,,None,,None,,,,,AdventBoss2,Normal,75,15,1,150,250,,None,,202603025
e,raid_l05anniv_00001_26,raid_l05anniv_00001,w4,22,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,e_kai_00201_l05anniv_advent_Boss_Blue,,1,0,None,,None,,None,,None,,,,,Boss,Normal,50,25,1,100,200,,None,,202603025
e,raid_l05anniv_00001_27,raid_l05anniv_00001,w4,23,,ElapsedTimeSinceSequenceGroupActivated,100,SummonEnemy,e_kai_00101_l05anniv_advent_Normal_Colorless,,4,100,None,,None,,None,,None,,,,,Default,Normal,150,10,1,50,10,,None,,202603025
e,raid_l05anniv_00001_28,raid_l05anniv_00001,w4,24,,ElapsedTimeSinceSequenceGroupActivated,500,SummonEnemy,e_kai_00001_l05anniv_advent_Normal_Colorless,,3,300,None,,None,,None,,None,,,,,Default,Normal,170,12,1,50,10,,None,,202603025
e,raid_l05anniv_00001_29,raid_l05anniv_00001,w4,25,,FriendUnitDead,23,SummonEnemy,e_kai_00301_l05anniv_advent_Normal_Blue,,5,300,None,,None,,None,,None,,,,,Default,Normal,160,14,1,50,10,,None,,202603025
e,raid_l05anniv_00001_30,raid_l05anniv_00001,w4,26,,EnterTargetKomaIndex,7,SummonEnemy,e_kai_00101_l05anniv_advent_Normal_Colorless,,5,50,None,,None,,None,,None,,,,,Default,Normal,150,12,1,50,10,,None,,202603025
e,raid_l05anniv_00001_31,raid_l05anniv_00001,w4,groupchange_5,,FriendUnitDead,21,SwitchSequenceGroup,w5,,,,None,,None,,None,,None,,,,,Default,Normal,,,1,,,50,None,,202603025
e,raid_l05anniv_00001_32,raid_l05anniv_00001,w5,27,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,c_kai_00701_l05anniv_advent_Boss_Blue,,1,0,None,,None,,None,,None,,,,,AdventBoss3,Normal,120,25,1,100,400,,None,,202603025
e,raid_l05anniv_00001_33,raid_l05anniv_00001,w5,28,,ElapsedTimeSinceSequenceGroupActivated,300,SummonEnemy,c_gom_00001_l05anniv_advent_Boss_Blue,,1,0,None,,None,,None,,None,,,,,Boss,Normal,100,20,1,50,200,,None,,202603025
e,raid_l05anniv_00001_34,raid_l05anniv_00001,w5,29,,ElapsedTimeSinceSequenceGroupActivated,350,SummonEnemy,e_kai_00301_l05anniv_advent_Normal_Blue,,2,600,None,,None,,None,,None,,,,,Default,Normal,500,15,1,50,50,,None,,202603025
e,raid_l05anniv_00001_35,raid_l05anniv_00001,w5,30,,ElapsedTimeSinceSequenceGroupActivated,250,SummonEnemy,e_gom_00701_l05anniv_advent_Normal_Colorless,,5,500,None,,None,,None,,None,,,,,Default,Normal,150,20,1,50,50,,None,,202603025
e,raid_l05anniv_00001_36,raid_l05anniv_00001,w5,31,,ElapsedTimeSinceSequenceGroupActivated,500,SummonEnemy,e_gom_00801_l05anniv_advent_Normal_Colorless,,10,300,None,,None,,None,,None,,,,,Default,Normal,150,20,1,25,5,,None,,202603025
e,raid_l05anniv_00001_37,raid_l05anniv_00001,w5,32,,FriendUnitDead,29,SummonEnemy,e_kai_00101_l05anniv_advent_Normal_Colorless,,3,50,None,,None,,None,,None,,,,,Default,Normal,150,20,1,25,10,,None,,202603025
e,raid_l05anniv_00001_38,raid_l05anniv_00001,w5,groupchange_6,,FriendUnitDead,27,SwitchSequenceGroup,w6,,,,None,,None,,None,,None,,,,,Default,Normal,,,1,,,50,None,,202603025
e,raid_l05anniv_00001_39,raid_l05anniv_00001,w6,33,,ElapsedTimeSinceSequenceGroupActivated,0,SummonEnemy,c_kai_00701_l05anniv_advent_Boss_Blue,,1,0,None,,None,,None,,None,,,,,AdventBoss3,Normal,140,25,1,100,500,,None,,202603025
e,raid_l05anniv_00001_40,raid_l05anniv_00001,w6,34,,FriendUnitDead,35,SummonEnemy,c_kai_00201_l05anniv_advent_Boss_Blue,,1,0,None,,None,,None,,None,,,,,Boss,Normal,100,35,1,75,300,50,None,,202603025
e,raid_l05anniv_00001_41,raid_l05anniv_00001,w6,35,,ElapsedTimeSinceSequenceGroupActivated,250,SummonEnemy,c_gom_00701_l05anniv_advent_Normal_Blue,,1,0,None,,None,,None,,None,,,,,Default,Normal,60,20,1,75,150,,None,,202603025
e,raid_l05anniv_00001_42,raid_l05anniv_00001,w6,36,,ElapsedTimeSinceSequenceGroupActivated,500,SummonEnemy,e_kai_00101_l05anniv_advent_Normal_Colorless,,4,100,None,,None,,None,,None,,,,,Default,Normal,200,20,1,25,10,,None,,202603025
e,raid_l05anniv_00001_43,raid_l05anniv_00001,w6,37,,ElapsedTimeSinceSequenceGroupActivated,1000,SummonEnemy,e_gom_00501_l05anniv_advent_Normal_Colorless,,15,250,None,,None,,None,,None,,,,,Default,Normal,300,15,1,25,10,,None,,202603025
e,raid_l05anniv_00001_44,raid_l05anniv_00001,w6,38,,FriendUnitDead,36,SummonEnemy,e_kai_00001_l05anniv_advent_Normal_Colorless,,3,50,None,,None,,None,,None,,,,,Default,Normal,200,20,1,25,10,,None,,202603025
e,raid_l05anniv_00001_45,raid_l05anniv_00001,w6,39,,FriendUnitDead,37,SummonEnemy,e_gom_00402_l05anniv_advent_Normal_Colorless,,4,50,None,,None,,None,,None,,,,,Default,Normal,200,20,1,25,10,250,None,,202603025
e,raid_l05anniv_00001_46,raid_l05anniv_00001,w6,groupchange_7,,FriendUnitDead,34,SwitchSequenceGroup,w1,,,,None,,None,,None,,None,,,,,Default,Normal,,,1,,,500,None,,202603025
e,event_l05anniv_charaget01_00001_1,event_l05anniv_charaget01_00001,,1,,OutpostHpPercentage,99,SummonEnemy,c_osh_00001_l05anniv_charaget01_Boss_Blue,,1,0,None,,None,,None,,None,,,,,Default,Normal,5,3.5,1,,0,,None,,202603025
e,event_l05anniv_charaget01_00001_2,event_l05anniv_charaget01_00001,,2,,ElapsedTime,500,SummonEnemy,e_glo_00002_l05anniv_charaget01_Normal_Blue,,10,1200,None,,None,,None,,None,,,,,Default,Normal,4,3,1,,0,,None,,202603025
e,event_l05anniv_charaget01_00001_3,event_l05anniv_charaget01_00001,,3,,OutpostHpPercentage,99,SummonEnemy,e_glo_00002_l05anniv_charaget01_Normal_Blue,,1,0,None,,None,,None,,None,,,,,Default,Normal,4,3,1,,0,50,None,,202603025
e,event_l05anniv_charaget01_00002_1,event_l05anniv_charaget01_00002,,1,,OutpostHpPercentage,99,SummonEnemy,c_osh_00001_l05anniv_charaget01_Boss_Blue,,1,0,None,,None,,None,,None,,,,,Default,Normal,6,4,1,,0,,None,,202603025
e,event_l05anniv_charaget01_00002_2,event_l05anniv_charaget01_00002,,2,,ElapsedTime,1250,SummonEnemy,c_osh_00201_l05anniv_charaget01_Normal_Blue,,1,0,None,,None,,None,,None,,,,,Default,Normal,20,6,1,,0,,None,,202603025
e,event_l05anniv_charaget01_00002_3,event_l05anniv_charaget01_00002,,3,,ElapsedTime,500,SummonEnemy,e_glo_00002_l05anniv_charaget01_Normal_Blue,,10,1200,None,,None,,None,,None,,,,,Default,Normal,5,3,1,,0,,None,,202603025
e,event_l05anniv_charaget01_00002_4,event_l05anniv_charaget01_00002,,4,,OutpostHpPercentage,99,SummonEnemy,e_glo_00002_l05anniv_charaget01_Normal_Blue,,1,0,None,,None,,None,,None,,,,,Default,Normal,5,3,1,,0,50,None,,202603025
e,event_l05anniv_charaget01_00003_1,event_l05anniv_charaget01_00003,,1,,OutpostHpPercentage,99,SummonEnemy,c_osh_00001_l05anniv_charaget01_Boss_Blue,,1,0,None,,None,,None,,None,,,,,Default,Normal,11,8,1,,0,,None,,202603025
e,event_l05anniv_charaget01_00003_2,event_l05anniv_charaget01_00003,,2,,ElapsedTime,1000,SummonEnemy,c_osh_00201_l05anniv_charaget01_Boss_Blue,,1,0,None,,None,,None,,None,,,,,Default,Normal,8,9,1,,0,,None,,202603025
e,event_l05anniv_charaget01_00003_3,event_l05anniv_charaget01_00003,,3,,ElapsedTime,500,SummonEnemy,e_glo_00002_l05anniv_charaget01_Normal_Blue,,99,900,None,,None,,None,,None,,,,,Default,Normal,13,7,1,,0,,None,,202603025
e,event_l05anniv_charaget01_00003_4,event_l05anniv_charaget01_00003,,4,,FriendUnitDead,2,SummonEnemy,c_osh_00201_l05anniv_charaget01_Normal_Blue,,1,0,None,,None,,None,,None,,,,,Default,Normal,25,7,1,,0,50,None,,202603025
e,event_l05anniv_charaget01_00003_5,event_l05anniv_charaget01_00003,,5,,OutpostHpPercentage,99,SummonEnemy,e_glo_00002_l05anniv_charaget01_Normal_Blue,,2,1500,None,,None,,None,,None,,,,,Default,Normal,13,7,1,,0,80,None,,202603025
e,event_l05anniv_charaget01_00003_6,event_l05anniv_charaget01_00003,,6,,OutpostHpPercentage,99,SummonEnemy,e_glo_00002_l05anniv_charaget01_Normal_Blue,,2,1500,None,,None,,None,,None,,,,,Default,Normal,13,7,1,,0,100,None,,202603025
e,event_l05anniv_challenge01_00001_1,event_l05anniv_challenge01_00001,,1,,ElapsedTime,2000,SummonEnemy,e_gom_01001_l05anniv_challenge01_Boss_Colorless,,1,0,None,,None,,None,,None,,,,,Boss,Normal,6,6,1,,0,,None,,202603025
e,event_l05anniv_challenge01_00001_2,event_l05anniv_challenge01_00001,,2,,ElapsedTime,300,SummonEnemy,e_gom_00502_l05anniv_challenge01_Boss_Colorless,,1,0,None,,None,,None,,None,,,,,Boss,Normal,12,5,1,,0,,None,,202603025
e,event_l05anniv_challenge01_00001_3,event_l05anniv_challenge01_00001,,3,,ElapsedTime,800,SummonEnemy,e_glo_00001_l05anniv_challenge01_Normal_Colorless,,6,500,None,,None,,None,,None,,,,,Default,Normal,8,3,1,,0,,None,,202603025
e,event_l05anniv_challenge01_00001_4,event_l05anniv_challenge01_00001,,4,,ElapsedTime,3000,SummonEnemy,e_glo_00001_l05anniv_challenge01_Normal_Colorless,,99,600,None,,None,,None,,None,,,,,Default,Normal,8,3,1,,0,,None,,202603025
e,event_l05anniv_challenge01_00002_1,event_l05anniv_challenge01_00002,,1,,ElapsedTime,100,SummonEnemy,e_glo_00001_l05anniv_challenge01_Normal_Colorless,,2,200,None,,None,,None,,None,,,,,Default,Normal,8,3.3,1,,0,,None,,202603025
e,event_l05anniv_challenge01_00002_2,event_l05anniv_challenge01_00002,,2,,ElapsedTime,500,SummonEnemy,e_glo_00001_l05anniv_challenge01_Normal_Colorless,,11,500,None,,None,,None,,None,,,,,Default,Normal,8,3.3,1,,0,,None,,202603025
e,event_l05anniv_challenge01_00002_3,event_l05anniv_challenge01_00002,,3,,ElapsedTime,2050,SummonEnemy,e_glo_00001_l05anniv_challenge01_Normal_Colorless,,7,500,None,,None,,None,,None,,,,,Default,Normal,8,3.3,1,,0,,None,,202603025
e,event_l05anniv_challenge01_00002_4,event_l05anniv_challenge01_00002,,4,,ElapsedTime,750,SummonEnemy,e_gom_01002_l05anniv_challenge01_Boss_Colorless,,1,0,None,,None,,None,,None,,,,,Boss,Normal,8,6.3,1,,0,,None,,202603025
e,event_l05anniv_challenge01_00002_5,event_l05anniv_challenge01_00002,,5,,ElapsedTime,3250,SummonEnemy,e_gom_01002_l05anniv_challenge01_Boss_Colorless,,5,3000,None,,None,,None,,None,,,,,Boss,Normal,8,6.3,1,,0,,None,,202603025
e,event_l05anniv_challenge01_00002_6,event_l05anniv_challenge01_00002,,6,,ElapsedTime,2500,SummonEnemy,e_gom_00501_l05anniv_challenge01_Boss_Colorless,,1,0,None,,None,,None,,None,,,,,Boss,Normal,14,5.5,1,,0,,None,,202603025
