ENABLE,id,mst_pack_id,resource_type,resource_id,resource_amount,is_bonus,display_order,release_key
e,318,event_item_pack_44,Item,stamina_item_glo_00001,10,,1,202603025
e,319,event_item_pack_45,Item,artwork_enhance_glo_00001,40,,1,202603025
e,320,event_item_pack_46,Item,memory_glo_00001,750,,1,202603025
e,321,event_item_pack_46,Item,memory_glo_00002,750,,2,202603025
e,322,event_item_pack_46,Item,memory_glo_00003,750,,3,202603025
e,323,event_item_pack_46,Item,memory_glo_00004,750,,4,202603025
e,324,event_item_pack_46,Item,memory_glo_00005,750,,5,202603025
e,325,event_item_pack_46,Item,ticket_glo_00004,1,,6,202603025
e,326,event_item_pack_46,Coin,,10000,1,7,202603025
e,327,event_item_pack_47,Item,memoryfragment_glo_00001,120,,1,202603025
e,328,event_item_pack_47,Item,memoryfragment_glo_00002,75,,2,202603025
e,329,event_item_pack_47,Item,memoryfragment_glo_00003,10,,3,202603025
e,330,event_item_pack_47,Item,ticket_glo_00004,2,,4,202603025
e,331,event_item_pack_47,Coin,,30000,1,5,202603025
e,332,event_item_pack_48,Item,ticket_glo_00203,1,,1,202603025
e,333,event_item_pack_48,Item,box_glo_00008,50,,2,202603025
e,334,event_item_pack_48,Item,ticket_glo_00004,5,,3,202603025
e,335,event_item_pack_48,Coin,,50000,1,4,202603025
e,336,event_item_pack_49,Item,memoryfragment_glo_00001,50,,4,202603025
e,337,event_item_pack_49,Item,memoryfragment_glo_00002,30,,3,202603025
e,338,event_item_pack_49,Item,memoryfragment_glo_00003,3,,2,202603025
e,339,event_item_pack_49,Item,ticket_glo_00003,10,,1,202603025
e,340,event_item_pack_50,Item,ticket_glo_00203,1,,1,202603025
e,341,event_item_pack_50,Item,box_glo_00008,200,,2,202603025
e,342,event_item_pack_50,Item,ticket_glo_00004,10,,3,202603025
e,343,event_item_pack_50,Item,ticket_glo_00003,10,,4,202603025
e,344,event_item_pack_50,Item,memoryfragment_glo_00001,120,,5,202603025
e,345,event_item_pack_50,Item,memoryfragment_glo_00002,75,,6,202603025
e,346,event_item_pack_50,Item,memoryfragment_glo_00003,10,,7,202603025
e,347,event_item_pack_50,Item,memory_glo_00001,1950,,8,202603025
e,348,event_item_pack_50,Item,memory_glo_00002,1950,,9,202603025
e,349,event_item_pack_50,Item,memory_glo_00003,1950,,10,202603025
e,350,event_item_pack_50,Item,memory_glo_00004,1950,,11,202603025
e,351,event_item_pack_50,Item,memory_glo_00005,1950,,12,202603025
e,352,event_item_pack_50,Coin,,150000,1,13,202603025
e,353,event_item_pack_51,Item,stamina_item_glo_00001,5,,1,202603025
e,354,event_item_pack_51,Item,ticket_glo_00003,1,,2,202603025
e,355,monthly_item_pack_5,Item,memoryfragment_glo_00001,50,,3,202603025
e,356,monthly_item_pack_5,Item,memoryfragment_glo_00002,30,,2,202603025
e,357,monthly_item_pack_5,Item,memoryfragment_glo_00003,3,,1,202603025
e,358,event_item_pack_52,Item,stamina_item_glo_00001,10,,1,202603025
e,359,event_item_pack_53,Item,stamina_item_glo_00001,20,,5,202603025
e,360,event_item_pack_53,Item,memoryfragment_glo_00001,50,,4,202603025
e,361,event_item_pack_53,Item,memoryfragment_glo_00002,30,,3,202603025
e,362,event_item_pack_53,Item,memoryfragment_glo_00003,3,,2,202603025
e,363,event_item_pack_53,Coin,,20000,1,1,202603025
e,364,event_item_pack_54,Item,memory_glo_00001,1500,,1,202603025
e,365,event_item_pack_54,Item,memory_glo_00002,1500,,2,202603025
e,366,event_item_pack_54,Item,memory_glo_00003,1500,,3,202603025
e,367,event_item_pack_54,Item,memory_glo_00004,1500,,4,202603025
e,368,event_item_pack_54,Item,memory_glo_00005,1500,,5,202603025
e,369,event_item_pack_54,Item,memoryfragment_glo_00001,50,,6,202603025
e,370,event_item_pack_54,Item,memoryfragment_glo_00002,30,,7,202603025
e,371,event_item_pack_54,Item,memoryfragment_glo_00003,3,,8,202603025
e,372,event_item_pack_54,Coin,,30000,1,9,202603025
e,377,event_item_pack_45,Item,artwork_enhance_glo_00002,30,,1,202603025
e,378,event_item_pack_45,Item,artwork_enhance_glo_00003,20,,1,202603025
