ENABLE,release_key,id,mst_enemy_character_id,character_unit_kind,role_type,color,sort_order,hp,damage_knock_back_count,move_speed,well_distance,attack_power,attack_combo_cycle,mst_unit_ability_id1,drop_battle_point,mstTransformationEnemyStageParameterId,transformationConditionType,transformationConditionValue
e,202604010,c_aya_00001_aya1_charaget02_Normal_Green,chara_aya_00001,Normal,Technical,Green,4,10000,3,50,0.37,100,0,"",200,"",None,""
e,202604010,c_aya_00101_aya1_charaget02_Boss_Green,chara_aya_00101,Boss,Defense,Green,5,10000,1,35,0.3,100,0,"",300,"",None,""
e,202604010,c_aya_00101_aya1_charaget02_Normal_Green,chara_aya_00101,Normal,Defense,Green,2,10000,1,35,0.3,100,0,"",200,"",None,""
e,202604010,c_aya_00201_aya1_charaget02_Boss_Green,chara_aya_00201,Boss,Support,Green,6,10000,2,50,0.4,100,0,"",300,"",None,""
e,202604010,c_aya_00201_aya1_charaget02_Normal_Green,chara_aya_00201,Normal,Support,Green,3,10000,2,50,0.4,100,0,"",200,"",None,""
e,202604010,c_aya_00301_aya1_charaget02_Normal_Green,chara_aya_00301,Normal,Attack,Green,7,10000,2,50,0.35,100,0,"",200,"",None,""
e,202509010,c_chi_00002_general_Boss_Yellow,chara_chi_00002,Boss,Technical,Yellow,809,400000,2,50,0.15,450,5,"",50,"",None,""
e,202509010,c_chi_00201_general_Boss_Yellow,chara_chi_00201,Boss,Attack,Yellow,805,500000,1,45,0.11,400,7,"",50,"",None,""
e,202509010,c_chi_00201_general_Normal_Colorless,chara_chi_00201,Normal,Attack,Yellow,806,100000,3,45,0.11,240,7,"",50,"",None,""
e,202509010,c_chi_00201_general_Normal_Yellow,chara_chi_00201,Normal,Attack,Yellow,807,100000,2,45,0.11,240,7,"",50,"",None,""
e,202509010,c_chi_00301_general_Normal_Yellow,chara_chi_00301,Normal,Attack,Yellow,808,250000,2,45,0.2,400,7,"",50,"",None,""
e,202510020,c_dan_00001_airaget_Normal_Red,chara_dan_00001,Normal,Defense,Red,2,20000,2,30,0.2,100,4,"",250,"",None,""
e,202509010,c_dan_00001_general_n_Normal_Red,chara_dan_00001,Normal,Defense,Red,8,10000,"",31,0.2,50,6,"",100,"",None,""
e,202509010,c_dan_00002_general_n_Boss_Red,chara_dan_00002,Boss,Attack,Red,9,10000,1,65,0.32,50,7,"",500,"",None,""
e,202510020,c_dan_00101_airaget_Boss_Red,chara_dan_00101,Boss,Attack,Red,10,20000,2,34,0.3,200,5,"",250,"",None,""
e,202510020,c_dan_00101_airaget_Normal_Red,chara_dan_00101,Normal,Attack,Red,9,20000,2,34,0.3,200,5,"",250,"",None,""
e,202509010,c_dan_00101_general_n_Boss_Red,chara_dan_00101,Boss,Attack,Red,10,10000,2,40,0.39,50,6,"",500,"",None,""
e,202510020,c_dan_00201_airaget_Boss_Colorless,chara_dan_00201,Boss,Attack,Colorless,14,20000,3,25,0.27,200,4,"",250,"",None,""
e,202510020,c_dan_00201_airaget_Boss_Red,chara_dan_00201,Boss,Attack,Red,16,20000,3,25,0.27,200,4,"",250,"",None,""
e,202509010,c_gom_00001_general_n_Boss_Yellow,chara_gom_00001,Boss,Defense,Yellow,45,10000,1,25,0.16,50,6,"",500,"",None,""
e,202509010,c_gom_00101_general_n_Boss_Yellow,chara_gom_00101,Boss,Technical,Yellow,32,10000,"",25,0.39,50,6,"",500,"",None,""
e,202509010,c_gom_00201_general_n_Boss_Yellow,chara_gom_00201,Boss,Attack,Yellow,30,10000,2,50,0.6,50,6,"",500,"",None,""
e,202603010,c_hut_00001_hut1_charaget02_Boss_Yellow,chara_hut_00001,Boss,Defense,Yellow,3,10000,1,35,0.21,100,5,"",200,"",None,""
e,202603010,c_hut_00101_hut1_charaget02_Normal_Yellow,chara_hut_00101,Normal,Support,Yellow,1,1000,2,35,0.42,100,6,"",200,"",None,""
e,202603010,c_hut_00201_hut1_charaget02_Normal_Yellow,chara_hut_00201,Normal,Technical,Yellow,4,1000,2,35,0.5,100,5,"",200,"",None,""
e,202603010,c_hut_00301_hut1_charaget02_Normal_Yellow,chara_hut_00301,Normal,Attack,Yellow,5,1000,2,35,0.42,100,6,"",200,"",None,""
e,202601010,c_jig_00001_jig1_charaget02_Boss_Red,chara_jig_00001,Boss,Technical,Red,7,10000,2,41,0.24,100,6,"",300,"",None,""
e,202509010,c_jig_00001_mainquest_Boss_Red,chara_jig_00001,Boss,Technical,Red,1,5000,2,41,0.24,100,5,"",400,"",None,""
e,202509010,c_jig_00101_mainquest_Boss_Green,chara_jig_00101,Boss,Attack,Green,102,5000,3,34,0.22,200,6,"",500,"",None,""
e,202509010,c_jig_00101_mainquest_Normal_Green,chara_jig_00101,Normal,Attack,Green,101,5000,3,34,0.22,200,6,"",300,"",None,""
e,202601010,c_jig_00401_jig1_charaget02_Boss_Red,chara_jig_00401,Boss,Technical,Red,5,10000,2,30,0.31,100,6,"",500,"",None,""
e,202601010,c_jig_00501_jig1_charaget02_Normal_Red,chara_jig_00501,Normal,Support,Red,6,10000,2,35,0.21,100,5,"",300,"",None,""
e,202601010,c_jig_00601_jig1_charaget02_Boss_Red,chara_jig_00601,Boss,Defense,Red,2,10000,1,35,0.22,100,7,"",500,"",None,""
e,202509010,c_kai_00001_general_Normal_Yellow,chara_kai_00001,Normal,Technical,Yellow,1511,150000,2,35,0.11,700,5,"",10,"",None,""
e,202509010,c_kai_00002_general_Boss_Yellow,chara_kai_00002,Boss,Support,Yellow,1512,700000,1,45,0.2,1700,5,"",10,"",None,""
e,202509010,c_kai_00002_isaoget_Boss_Blue,chara_kai_00002,Boss,Attack,Blue,106,100000,2,40,0.21,500,5,"",500,"",None,""
e,202509010,c_kai_00002_isaoget_Normal_Blue,chara_kai_00002,Normal,Attack,Blue,106,100000,2,35,0.21,500,5,"",500,"",None,""
e,202509010,c_kai_00301_general_Normal_Yellow,chara_kai_00301,Normal,Attack,Yellow,1513,300000,2,55,0.11,800,8,"",10,"",None,""
e,202509010,c_kai_00401_iharuget_Normal_Yellow,chara_kai_00401,Normal,Attack,Yellow,103,10000,3,35,0.24,100,5,"",300,"",None,""
e,202509010,c_kai_00501_isaoget_Normal_Blue,chara_kai_00501,Normal,Technical,Blue,102,100000,1,25,0.25,1000,4,"",400,"",None,""
e,202602020,c_kim_00001_kim1_charaget02_Boss_Red,chara_kim_00001,Boss,Defense,Red,5,10000,1,40,0.18,100,5,"",200,"",None,""
e,202602020,c_kim_00101_kim1_charaget02_Boss_Red,chara_kim_00101,Boss,Attack,Red,1,10000,2,30,0.23,100,5,"",200,"",None,""
e,202602020,c_kim_00201_kim1_charaget02_Boss_Red,chara_kim_00201,Boss,Technical,Red,2,10000,2,35,0.26,100,4,"",200,"",None,""
e,202602020,c_kim_00301_kim1_charaget02_Boss_Red,chara_kim_00301,Boss,Support,Red,3,10000,3,32,0.3,100,5,"",200,"",None,""
e,202509010,c_mag_00001_general_Boss_Blue,chara_mag_00001,Boss,Attack,Blue,1308,320000,2,45,0.4,1200,5,"",10,"",None,""
e,202509010,c_mag_00101_general_Normal_Blue,chara_mag_00101,Normal,Attack,Blue,1309,80000,2,55,0.3,1000,5,"",10,"",None,""
e,202511010,c_mag_00401_aknget_Boss_Green,chara_mag_00401,Boss,Technical,Green,6,50000,2,45,0.24,400,5,"",300,"",None,""
e,202512020,c_osh_00001_general_osh_n_Boss_Colorless,chara_osh_00001,Boss,Technical,Colorless,7,1000,2,20,0.3,100,6,"",100,"",None,""
e,202512020,c_osh_00001_general_osh_n_Boss_Green,chara_osh_00001,Boss,Technical,Green,8,1000,2,31,0.2,100,6,"",100,"",None,""
e,202512020,c_osh_00001_general_osh_n_Normal_Colorless,chara_osh_00001,Normal,Attack,Colorless,5,1000,3,31,0.3,100,5,"",50,"",None,""
e,202512020,c_osh_00601_osh1_boot_huku_Boss_Colorless,chara_osh_00601,Boss,Attack,Colorless,3,10000,2,45,0.22,300,2,"",500,"",None,""
e,202512020,c_osh_00601_osh1_boot_tan_Normal_Colorless,chara_osh_00601,Normal,Attack,Colorless,2,10000,2,25,0.22,300,1,"",500,"",None,""
e,202510010,c_spy_00101_damianget_Boss_Colorless,chara_spy_00101,Boss,Attack,Colorless,2,25000,1,30,0.35,400,5,"",500,"",None,""
e,202510010,c_spy_00101_damianget_Boss_Red,chara_spy_00101,Boss,Attack,Red,3,25000,1,30,0.35,400,5,"",500,"",None,""
e,202509010,c_spy_00101_general_n_Boss_Blue,chara_spy_00101,Boss,Attack,Blue,8,10000,1,31,0.5,50,7,"",500,"",None,""
e,202510010,c_spy_00201_damianget_Boss_Red,chara_spy_00201,Boss,Attack,Red,6,40000,2,40,0.22,500,5,"",500,"",None,""
e,202509010,c_spy_00201_general_n_Boss_Blue,chara_spy_00201,Boss,Attack,Blue,15,10000,1,45,0.25,50,6,"",500,"",None,""
e,202509010,c_spy_00201_general_n_Boss_Colorless,chara_spy_00201,Boss,Attack,Colorless,14,10000,1,45,0.25,50,6,"",500,"",None,""
e,202510010,c_spy_00401_frankyget_Boss_Red,chara_spy_00401,Boss,Technical,Red,11,40000,3,28,0.18,100,3,"",500,"",None,""
e,202509010,c_spy_00401_general_n_Boss_Blue,chara_spy_00401,Boss,Defense,Blue,11,10000,"",31,0.2,50,7,"",500,"",None,""
e,202509010,c_spy_00401_general_n_Boss_Colorless,chara_spy_00401,Boss,Defense,Colorless,10,10000,"",31,0.2,50,1,"",500,"",None,""
e,202509010,c_sum_00001_general_Normal_Red,chara_sum_00001,Normal,Technical,Red,1411,245000,2,45,0.11,500,5,"",10,"",None,""
e,202509010,c_sum_00101_general_Boss_Red,chara_sum_00101,Boss,Support,Red,1412,190000,2,40,0.3,600,7,"",10,"",None,""
e,202509010,c_sum_00201_general2_Normal_Colorless,chara_sum_00201,Normal,Attack,Colorless,1413,70000,3,50,0.11,500,7,"",10,"",None,""
e,202509010,c_sum_00201_general2_Normal_Red,chara_sum_00201,Normal,Attack,Red,1413,140000,3,50,0.11,700,5,"",10,"",None,""
e,202509010,c_sum_00201_general_Boss_Blue,chara_sum_00201,Boss,Attack,Blue,1403,400000,2,60,0.11,1400,4,"",10,"",None,""
e,202509010,c_sum_00201_general_Normal_Colorless,chara_sum_00201,Normal,Attack,Colorless,1401,70000,4,50,0.11,490,4,"",10,"",None,""
e,202509010,c_sum_00201_general_Normal_Yellow,chara_sum_00201,Normal,Attack,Yellow,1402,270000,2,50,0.11,1050,4,"",10,"",None,""
e,202509010,c_sur_00001_general_Normal_Blue,chara_sur_00001,Normal,Support,Blue,901,50000,2,45,0.2,500,7,"",10,"",None,""
e,202512010,c_sur_00101_aobaget_Boss_Red,chara_sur_00101,Boss,Attack,Red,33,10000,2,45,0.2,100,4,"",500,"",None,""
e,202512010,c_sur_00101_aobaget_Normal_Red,chara_sur_00101,Normal,Attack,Red,32,1000,1,45,0.2,100,4,"",100,"",None,""
e,202509010,c_sur_00101_general_Boss_Blue,chara_sur_00101,Boss,Attack,Blue,906,400000,2,45,0.2,700,7,"",10,"",None,""
e,202512010,c_sur_00201_aobaget_Boss_Red,chara_sur_00201,Boss,Technical,Red,35,10000,2,25,0.11,100,6,"",500,"",None,""
e,202512010,c_sur_00201_aobaget_Normal_Red,chara_sur_00201,Normal,Attack,Red,34,1000,2,35,0.11,100,4,"",100,"",None,""
e,202509010,c_sur_00201_general_Normal_Blue,chara_sur_00201,Normal,Attack,Blue,907,150000,2,35,0.2,500,5,"",10,"",None,""
e,202512010,c_sur_00301_aobaget_Boss_Blue,chara_sur_00301,Boss,Defense,Blue,38,10000,1,31,0.2,100,4,"",500,"",None,""
e,202509010,c_sur_00301_general_Normal_Blue,chara_sur_00301,Normal,Defense,Blue,908,300000,1,40,0.11,300,7,"",10,"",None,""
e,202512010,c_sur_00501_aobaget_Boss_Blue,chara_sur_00501,Boss,Attack,Blue,40,10000,4,25,0.45,100,10,"",100,"",None,""
e,202512010,c_sur_00501_aobaget_Normal_Blue,chara_sur_00501,Normal,Attack,Blue,39,1000,3,35,0.45,100,3,"",100,"",None,""
e,202512010,c_sur_00601_aobaget_Boss_Red,chara_sur_00601,Boss,Technical,Red,37,10000,4,35,0.2,100,3,"",500,"",None,""
e,202512010,c_sur_00601_aobaget_Normal_Red,chara_sur_00601,Normal,Technical,Red,36,1000,4,35,0.2,100,3,"",100,"",None,""
e,202512010,c_sur_00701_aobaget_Boss_Colorless,enemy_sur_00001,Boss,Attack,Colorless,31,10000,3,50,0.24,100,5,"",500,"",None,""
