series_id,mst_enemy_character_id,char_series_id,asset_key,name,is_phantomized
ALL,enemy_glo_00001,glo,enemy_glo_00001,ファントム,0
aya,chara_aya_00101,aya,chara_aya_00101,花奏 すず,1
aya,enemy_aya_00001,aya,enemy_aya_00001,シロガネ,0
chi,chara_chi_00002,chi,chara_chi_00002,悪魔が恐れる悪魔 チェンソーマン,1
chi,enemy_chi_00101,chi,enemy_chi_00101,ゾンビ,0
dan,chara_dan_00301,dan,chara_dan_00301,招き猫 ターボババア,1
dan,enemy_dan_00001,dan,enemy_dan_00001,セルポ星人,0
gom,chara_gom_00001,gom,chara_gom_00001,囚われの王女 姫様,1
gom,enemy_gom_00402,gom,enemy_gom_00402,たこ焼き,0
gom,enemy_gom_00501,gom,enemy_gom_00501,バタートースト,0
gom,enemy_gom_00701,gom,enemy_gom_00701,ラーメン,0
hut,chara_hut_00001,hut,chara_hut_00001,鳩野 ちひろ,1
hut,chara_hut_00101,hut,chara_hut_00101,幸山 厘,1
hut,chara_hut_00201,hut,chara_hut_00201,内田 桃,1
hut,chara_hut_00301,hut,chara_hut_00301,藤井 彩目,1
jig,chara_jig_00601,jig,chara_jig_00601,民谷 巌鉄斎,1
jig,enemy_jig_00001,jig,enemy_jig_00001,門神,0
jig,enemy_jig_00401,jig,enemy_jig_00401,極楽蝶,0
kai,chara_kai_00002,kai,chara_kai_00002,隠された英雄の姿 怪獣８号,1
kai,enemy_kai_00101,kai,enemy_kai_00101,怪獣 余獣,0
kim,chara_kim_00001,kim,chara_kim_00001,溢れる母性 花園 羽々里,1
kim,chara_kim_00101,kim,chara_kim_00101,花園 羽香里,1
kim,chara_kim_00201,kim,chara_kim_00201,院田 唐音,1
kim,chara_kim_00301,kim,chara_kim_00301,好本 静,1
mag,chara_mag_00001,mag,chara_mag_00001,新人魔法少女 桜木 カナ,1
mag,enemy_mag_00001,mag,enemy_mag_00001,冷却系怪異,0
mag,enemy_mag_00101,mag,enemy_mag_00101,つらら,0
osh,chara_osh_00201,osh,chara_osh_00201,星野 ルビー,1
osh,chara_osh_00301,osh,chara_osh_00301,MEMちょ,1
osh,chara_osh_00401,osh,chara_osh_00401,有馬 かな,1
osh,chara_osh_00501,osh,chara_osh_00501,黒川あかね,1
osh,chara_osh_00601,osh,chara_osh_00601,ぴえヨン,1
spy,chara_spy_00401,spy,chara_spy_00401,フランキー・フランクリン,1
spy,enemy_spy_00001,spy,enemy_spy_00001,密輸組織の残党,0
sum,chara_sum_00001,sum,chara_sum_00001,網代 慎平,1
sum,enemy_sum_00001,sum,enemy_sum_00001,影,0
sur,chara_sur_00801,sur,chara_sur_00801,無窮の鎖 和倉 優希,1
sur,enemy_sur_00101,sur,enemy_sur_00101,醜鬼,0
tak,chara_tak_00001,tak,chara_tak_00001,ハッピー星からの使者 タコピー,1
you,chara_you_00201,you,chara_you_00201,ダグ,1
you,enemy_you_00001,you,enemy_you_00001,不良系金髪イケメン,0
you,enemy_you_00101,you,enemy_you_00101,イケメンじゃない殺し屋,0
yuw,chara_yuw_00001,yuw,chara_yuw_00001,リリエルに捧ぐ愛 天乃 リリサ,1
yuw,chara_yuw_00101,yuw,chara_yuw_00101,コスプレに託す乙女心 橘 美花莉,1
yuw,chara_yuw_00301,yuw,chara_yuw_00301,勇気を纏うコスプレ 乃愛,1
yuw,chara_yuw_00401,yuw,chara_yuw_00401,伝えたいウチの想い 喜咲 アリア,1
yuw,chara_yuw_00601,yuw,chara_yuw_00601,奥村 正宗,1
