クエストタイプ,難易度,作品ID,インゲームID
event,Normal,aya,event_aya1_charaget02_00001
event,Normal,aya,event_aya1_charaget02_00002
event,Normal,aya,event_aya1_charaget02_00003
event,Normal,aya,event_aya1_charaget02_00004
event,Normal,aya,event_aya1_charaget02_00005
event,Normal,aya,event_aya1_charaget02_00006
normal,Normal,chi,normal_chi_00001
normal,Normal,chi,normal_chi_00002
normal,Normal,chi,normal_chi_00003
normal,Normal,chi,normal_chi_00004
normal,Normal,chi,normal_chi_00005
normal,Normal,chi,normal_chi_00006
event,Normal,dan,event_dan1_charaget02_00001
event,Normal,dan,event_dan1_charaget02_00002
event,Normal,dan,event_dan1_charaget02_00003
event,Normal,dan,event_dan1_charaget02_00004
event,Normal,dan,event_dan1_charaget02_00005
event,Normal,dan,event_dan1_charaget02_00006
event,Normal,dan,event_dan1_charaget02_00007
event,Normal,dan,event_dan1_charaget02_00008
normal,Normal,dan,normal_dan_00001
normal,Normal,dan,normal_dan_00002
normal,Normal,dan,normal_dan_00003
normal,Normal,dan,normal_dan_00004
normal,Normal,dan,normal_dan_00005
normal,Normal,dan,normal_dan_00006
normal,Normal,gom,normal_gom_00001
normal,Normal,gom,normal_gom_00002
normal,Normal,gom,normal_gom_00003
normal,Normal,gom,normal_gom_00004
normal,Normal,gom,normal_gom_00005
normal,Normal,gom,normal_gom_00006
event,Normal,hut,event_hut1_charaget02_00001
event,Normal,hut,event_hut1_charaget02_00002
event,Normal,hut,event_hut1_charaget02_00003
event,Normal,hut,event_hut1_charaget02_00004
event,Normal,hut,event_hut1_charaget02_00005
event,Normal,hut,event_hut1_charaget02_00006
event,Normal,jig,event_jig1_charaget02_00001
event,Normal,jig,event_jig1_charaget02_00002
event,Normal,jig,event_jig1_charaget02_00003
event,Normal,jig,event_jig1_charaget02_00004
event,Normal,jig,event_jig1_charaget02_00005
event,Normal,jig,event_jig1_charaget02_00006
normal,Normal,jig,normal_jig_00001
normal,Normal,jig,normal_jig_00002
normal,Normal,jig,normal_jig_00003
normal,Normal,jig,normal_jig_00004
normal,Normal,jig,normal_jig_00005
normal,Normal,jig,normal_jig_00006
event,Normal,kai,event_kai1_charaget02_00001
event,Normal,kai,event_kai1_charaget02_00002
event,Normal,kai,event_kai1_charaget02_00003
event,Normal,kai,event_kai1_charaget02_00004
event,Normal,kai,event_kai1_charaget02_00005
event,Normal,kai,event_kai1_charaget02_00006
event,Normal,kai,event_kai1_charaget02_00007
event,Normal,kai,event_kai1_charaget02_00008
normal,Normal,kai,normal_kai_00001
normal,Normal,kai,normal_kai_00002
normal,Normal,kai,normal_kai_00003
normal,Normal,kai,normal_kai_00004
normal,Normal,kai,normal_kai_00005
normal,Normal,kai,normal_kai_00006
event,Normal,kim,event_kim1_charaget02_00001
event,Normal,kim,event_kim1_charaget02_00002
event,Normal,kim,event_kim1_charaget02_00003
event,Normal,kim,event_kim1_charaget02_00004
event,Normal,kim,event_kim1_charaget02_00005
event,Normal,kim,event_kim1_charaget02_00006
event,Normal,mag,event_mag1_charaget02_00001
event,Normal,mag,event_mag1_charaget02_00002
event,Normal,mag,event_mag1_charaget02_00003
event,Normal,mag,event_mag1_charaget02_00004
event,Normal,mag,event_mag1_charaget02_00005
event,Normal,mag,event_mag1_charaget02_00006
event,Normal,mag,event_mag1_charaget02_00007
event,Normal,mag,event_mag1_charaget02_00008
normal,Normal,mag,normal_mag_00001
normal,Normal,mag,normal_mag_00002
normal,Normal,mag,normal_mag_00003
normal,Normal,mag,normal_mag_00004
normal,Normal,mag,normal_mag_00005
normal,Normal,mag,normal_mag_00006
event,Normal,osh,event_osh1_charaget02_00001
event,Normal,osh,event_osh1_charaget02_00002
event,Normal,osh,event_osh1_charaget02_00003
normal,Normal,osh,normal_osh_00001
normal,Normal,osh,normal_osh_00002
normal,Normal,osh,normal_osh_00003
event,Normal,spy,event_spy1_charaget02_00001
event,Normal,spy,event_spy1_charaget02_00002
event,Normal,spy,event_spy1_charaget02_00003
event,Normal,spy,event_spy1_charaget02_00004
event,Normal,spy,event_spy1_charaget02_00005
event,Normal,spy,event_spy1_charaget02_00006
event,Normal,spy,event_spy1_charaget02_00007
event,Normal,spy,event_spy1_charaget02_00008
normal,Normal,spy,normal_spy_00001
normal,Normal,spy,normal_spy_00002
normal,Normal,spy,normal_spy_00003
normal,Normal,spy,normal_spy_00004
normal,Normal,spy,normal_spy_00005
normal,Normal,spy,normal_spy_00006
normal,Normal,sum,normal_sum_00001
normal,Normal,sum,normal_sum_00002
normal,Normal,sum,normal_sum_00003
normal,Normal,sum,normal_sum_00004
normal,Normal,sum,normal_sum_00005
normal,Normal,sum,normal_sum_00006
event,Normal,sur,event_sur1_charaget02_00001
event,Normal,sur,event_sur1_charaget02_00002
event,Normal,sur,event_sur1_charaget02_00003
event,Normal,sur,event_sur1_charaget02_00004
event,Normal,sur,event_sur1_charaget02_00005
event,Normal,sur,event_sur1_charaget02_00006
event,Normal,sur,event_sur1_charaget02_00007
event,Normal,sur,event_sur1_charaget02_00008
normal,Normal,sur,normal_sur_00001
normal,Normal,sur,normal_sur_00002
normal,Normal,sur,normal_sur_00003
normal,Normal,sur,normal_sur_00004
normal,Normal,sur,normal_sur_00005
normal,Normal,sur,normal_sur_00006
normal,Normal,tak,normal_tak_00001
normal,Normal,tak,normal_tak_00002
normal,Normal,tak,normal_tak_00003
event,Normal,you,event_you1_charaget02_00001
event,Normal,you,event_you1_charaget02_00002
event,Normal,you,event_you1_charaget02_00003
event,Normal,you,event_you1_charaget02_00004
event,Normal,you,event_you1_charaget02_00005
event,Normal,you,event_you1_charaget02_00006
event,Normal,yuw,event_yuw1_charaget02_00001
event,Normal,yuw,event_yuw1_charaget02_00002
event,Normal,yuw,event_yuw1_charaget02_00003
event,Normal,yuw,event_yuw1_charaget02_00004
event,Normal,yuw,event_yuw1_charaget02_00005
event,Normal,yuw,event_yuw1_charaget02_00006
event,Normal,yuw,event_yuw1_charaget02_00007
event,Normal,yuw,event_yuw1_charaget02_00008
