作品ID,敵キャラID,MstEnemyStageParameterID,敵キャラ名,クエストタイプ,難易度,インゲームID,コンテンツタイプ,コンテンツID
aya,chara_aya_00101,c_aya_00101_aya1_challenge01_Boss_Green,花奏 すず,event,Normal,event_aya1_challenge_00002,stage,quest_event_aya1_challenge
aya,chara_aya_00101,c_aya_00101_aya1_challenge01_Normal_Green,花奏 すず,event,Normal,event_aya1_challenge_00002,stage,quest_event_aya1_challenge
aya,chara_aya_00101,c_aya_00101_aya1_charaget01_Normal_Green,花奏 すず,event,Normal,event_aya1_charaget01_00003,stage,quest_event_aya1_charaget01
aya,chara_aya_00101,c_aya_00101_aya1_charaget01_Normal_Green,花奏 すず,event,Normal,event_aya1_charaget01_00004,stage,quest_event_aya1_charaget01
aya,chara_aya_00101,c_aya_00101_aya1_charaget02_Boss_Green,花奏 すず,event,Normal,event_aya1_charaget02_00004,stage,quest_event_aya1_charaget02
aya,chara_aya_00101,c_aya_00101_aya1_charaget02_Normal_Green,花奏 すず,event,Normal,event_aya1_charaget02_00006,stage,quest_event_aya1_charaget02
aya,enemy_aya_00001,e_aya_00001_aya1_1d1c_Boss_Colorless,シロガネ,event,Normal,event_aya1_1day_00001,stage,quest_event_aya1_1day
aya,enemy_aya_00001,e_aya_00001_aya1_challenge01_Boss_Green,シロガネ,event,Normal,event_aya1_challenge_00001,stage,quest_event_aya1_challenge
aya,enemy_aya_00001,e_aya_00001_aya1_challenge01_Normal_Green,シロガネ,event,Normal,event_aya1_challenge_00001,stage,quest_event_aya1_challenge
aya,enemy_aya_00001,e_aya_00001_aya1_challenge01_Normal_Green,シロガネ,event,Normal,event_aya1_challenge_00003,stage,quest_event_aya1_challenge
aya,enemy_aya_00001,e_aya_00001_aya1_charaget01_Boss_Green,シロガネ,event,Normal,event_aya1_charaget01_00002,stage,quest_event_aya1_charaget01
aya,enemy_aya_00001,e_aya_00001_aya1_charaget01_Boss_Green,シロガネ,event,Normal,event_aya1_charaget01_00003,stage,quest_event_aya1_charaget01
aya,enemy_aya_00001,e_aya_00001_aya1_charaget01_Boss_Green,シロガネ,event,Normal,event_aya1_charaget01_00004,stage,quest_event_aya1_charaget01
aya,enemy_aya_00001,e_aya_00001_aya1_charaget01_Normal_Green,シロガネ,event,Normal,event_aya1_charaget01_00001,stage,quest_event_aya1_charaget01
aya,enemy_aya_00001,e_aya_00001_aya1_charaget01_Normal_Green,シロガネ,event,Normal,event_aya1_charaget01_00002,stage,quest_event_aya1_charaget01
aya,enemy_aya_00001,e_aya_00001_aya1_charaget01_Normal_Green,シロガネ,event,Normal,event_aya1_charaget01_00003,stage,quest_event_aya1_charaget01
aya,enemy_aya_00001,e_aya_00001_aya1_charaget01_Normal_Green,シロガネ,event,Normal,event_aya1_charaget01_00004,stage,quest_event_aya1_charaget01
aya,enemy_aya_00001,e_aya_00001_aya1_charaget02_Boss_Green,シロガネ,event,Normal,event_aya1_charaget02_00001,stage,quest_event_aya1_charaget02
aya,enemy_aya_00001,e_aya_00001_aya1_charaget02_Boss_Green,シロガネ,event,Normal,event_aya1_charaget02_00003,stage,quest_event_aya1_charaget02
aya,enemy_aya_00001,e_aya_00001_aya1_charaget02_Boss_Green,シロガネ,event,Normal,event_aya1_charaget02_00006,stage,quest_event_aya1_charaget02
aya,enemy_glo_00001,e_glo_00001_aya1_1d1c_Normal_Colorless,ファントム,event,Normal,event_aya1_1day_00001,stage,quest_event_aya1_1day
aya,enemy_glo_00001,e_glo_00001_aya1_challenge01_Normal_Colorless,ファントム,event,Normal,event_aya1_challenge_00001,stage,quest_event_aya1_challenge
aya,enemy_glo_00001,e_glo_00001_aya1_challenge01_Normal_Colorless,ファントム,event,Normal,event_aya1_challenge_00002,stage,quest_event_aya1_challenge
aya,enemy_glo_00001,e_glo_00001_aya1_challenge01_Normal_Colorless,ファントム,event,Normal,event_aya1_challenge_00003,stage,quest_event_aya1_challenge
aya,enemy_glo_00001,e_glo_00001_aya1_charaget01_Normal_Colorless,ファントム,event,Normal,event_aya1_charaget01_00001,stage,quest_event_aya1_charaget01
aya,enemy_glo_00001,e_glo_00001_aya1_charaget01_Normal_Colorless,ファントム,event,Normal,event_aya1_charaget01_00002,stage,quest_event_aya1_charaget01
aya,enemy_glo_00001,e_glo_00001_aya1_charaget01_Normal_Colorless,ファントム,event,Normal,event_aya1_charaget01_00003,stage,quest_event_aya1_charaget01
aya,enemy_glo_00001,e_glo_00001_aya1_charaget01_Normal_Colorless,ファントム,event,Normal,event_aya1_charaget01_00004,stage,quest_event_aya1_charaget01
aya,enemy_glo_00001,e_glo_00001_aya1_charaget02_Normal_Colorless,ファントム,event,Normal,event_aya1_charaget02_00001,stage,quest_event_aya1_charaget02
aya,enemy_glo_00001,e_glo_00001_aya1_charaget02_Normal_Colorless,ファントム,event,Normal,event_aya1_charaget02_00002,stage,quest_event_aya1_charaget02
aya,enemy_glo_00001,e_glo_00001_aya1_charaget02_Normal_Colorless,ファントム,event,Normal,event_aya1_charaget02_00003,stage,quest_event_aya1_charaget02
aya,enemy_glo_00001,e_glo_00001_dan1_advent_Normal_Colorless,ファントム,ScoreChallenge,"",raid_dan1_00001,advent_battle,quest_raid_dan1_00001
aya,enemy_glo_00001,e_glo_00001_dan1_advent_Normal_Yellow,ファントム,ScoreChallenge,"",raid_dan1_00001,advent_battle,quest_raid_dan1_00001
aya,enemy_glo_00001,e_glo_00001_event_spy1_artwork_Normal_Colorless,ファントム,event,Normal,event_mag1_charaget02_00006,stage,quest_event_mag1_charaget02
aya,enemy_glo_00001,e_glo_00001_general2_ori4_Normal_Colorless,ファントム,normal,Extra,veryhard_glo4_00001,stage,quest_main_glo4_veryhard_16
aya,enemy_glo_00001,e_glo_00001_general2_ori4_big_Normal_Colorless,ファントム,normal,Extra,veryhard_glo4_00001,stage,quest_main_glo4_veryhard_16
aya,enemy_glo_00001,e_glo_00001_general3_ori4_Normal_Colorless,ファントム,normal,Extra,veryhard_glo4_00002,stage,quest_main_glo4_veryhard_16
aya,enemy_glo_00001,e_glo_00001_general3_ori4_big_Normal_Colorless,ファントム,normal,Extra,veryhard_glo4_00002,stage,quest_main_glo4_veryhard_16
aya,enemy_glo_00001,e_glo_00001_general_Normal_Blue,ファントム,normal,Hard,hard_tak_00002,stage,quest_main_tak_hard_7
aya,enemy_glo_00001,e_glo_00001_general_Normal_Blue,ファントム,normal,Extra,veryhard_tak_00002,stage,quest_main_tak_veryhard_7
aya,enemy_glo_00001,e_glo_00001_general_Normal_Colorless,ファントム,normal,Normal,normal_glo2_00002,stage,quest_main_glo2_normal_8
aya,enemy_glo_00001,e_glo_00001_general_Normal_Colorless,ファントム,normal,Normal,normal_tak_00001,stage,quest_main_tak_normal_7
aya,enemy_glo_00001,e_glo_00001_general_Normal_Colorless,ファントム,normal,Normal,normal_tak_00002,stage,quest_main_tak_normal_7
aya,enemy_glo_00001,e_glo_00001_general_Normal_Colorless,ファントム,normal,Normal,normal_tak_00003,stage,quest_main_tak_normal_7
aya,enemy_glo_00001,e_glo_00001_general_Normal_Green,ファントム,normal,Hard,hard_tak_00003,stage,quest_main_tak_hard_7
aya,enemy_glo_00001,e_glo_00001_general_Normal_Green,ファントム,normal,Extra,veryhard_tak_00003,stage,quest_main_tak_veryhard_7
