,限界チャレンジ_その他設定,,,,,,,,
,,,,,,,,,
,▼基本情報,,,,,,,,
,開始日,4/13 11:00,,,,,,,
,終了日,無期限,,,,,,,
,終了日,無期限,,,,,,,
,,,,,,,,,
,▼背景,,,,▼BGM,,,,
,到達フロア数,背景ID_ノーマルフロア,背景ID_ボスフロア,,ノーマルブロックBGM,ボスブロックBGM,,背景ID,https://docs.google.com/spreadsheets/d/1oJmkDK37Qizzdaxn4KCwh1BMwdNWuHCx3AGH8BC9yu0/edit?gid=1869725751#gid=1869725751&range=A120
,0以上,koma_background_vd_00001,koma_background_vd_00002,,SSE_SBG_003_010,SSE_SBG_003_004,,BGM関連,https://docs.google.com/spreadsheets/d/1OVgANnEkSS9Dd3iKO7u5ZnWhJVOR3TMtpICDCcZLx48/edit?gid=1002293455#gid=10022934555
,20以上,koma_background_vd_00003,koma_background_vd_00004,,,,,,
,40以上,koma_background_vd_00005,koma_background_vd_00006,,,,,,
,,,,,,,,,
,,,,,,,,,
,◆敵ステータス変更フロア係数,,,,,,,,
,・限界チャレンジは一定数のフロアに到達すると敵のステータス（攻撃と体力）に係数がかかり、登場する敵が強くなります。,,,,,,,,
,▼フロアステータス係数,,▼基本ステータス数値（アタック）,,,,,▼参考値,
,到達フロア数,到達フロア報酬係数,攻撃_雑魚1体,体力_雑魚1体,攻撃_強敵1体,体力_強敵1体,,高難易度の強敵1体（アタック）の平均ステータス,
,0以上,1.00,500,3000,1500,50000,,体力：1000000~1500000,
,5以上,2.50,1250,7500,3750,125000,,攻撃：2000~3000,
,10以上,5.00,2500,15000,7500,250000,,高難易度の雑魚1体（アタック）の平均ステータス,
,20以上,7.50,3750,22500,11250,375000,,体力：50000~100000,
,30以上,10.00,5000,30000,15000,500000,,攻撃：1000~1500,
,40以上,12.50,6250,37500,18750,625000,,,
,50以上,15.00,7500,45000,22500,750000,,,
,105以上,30.00,15000,90000,45000,1500000,⇦無限城編を防ぐためにストッパー係数とする,,
,,,,,,,,,
,,,,,,,,,
,◆作品ブロック別登場キャラ,,,,,,,,
,"・限界チャレンジは、作品毎にブロックが用意され、ノーマルブロックとボスブロックで登場するキャラが異なります。
・レベルデザイン観点での調整方針としては、その作品毎のURキャラの対抗となるギミックやコマ効果を使用するものを基本とします。
・ノーマルブロックの登場する雑魚扱いの敵キャラは最低でも共通で15体以上は登場させるものとします。",,,,,,,,
,▼登場キャラ,,,,,,,,
,作品,ノーマルブロック,ボスブロック,ボスキャラのオーラの有無,,,,,
,SPY×FAMILY,"密輸組織の残党,ファントム",フランキー・フランクリン,有り（降臨ボスオーラ1）,,,,,
,ダンダダン,"セルポ星人,ファントム",招き猫 ターボババア,有り（降臨ボスオーラ1）,,,,,
,姫様“拷問”の時間です,"たこ焼き,バタートースト,ラーメン,ファントム",囚われの王女 姫様,有り（降臨ボスオーラ1）,,,,,
,チェンソーマン,"ゾンビ,ファントム",悪魔が恐れる悪魔 チェンソーマン,有り（降臨ボスオーラ1）,,,,,
,株式会社マジルミエ,"冷却系怪異,つらら,ファントム",新人魔法少女 桜木 カナ,有り（降臨ボスオーラ1）,,,,,
,怪獣８号,"怪獣 余獣,ファントム",隠された英雄の姿 怪獣８号,有り（降臨ボスオーラ1）,,,,,
,2.5次元の誘惑,"リリエルに捧ぐ愛 天乃 リリサ,コスプレに託す乙女心 橘 美花莉,勇気を纏うコスプレ 乃愛,伝えたいウチの想い 喜咲 アリア,ファントム",奥村 正宗,有り（降臨ボスオーラ1）,,,,,
,魔都精兵のスレイブ,"醜鬼,ファントム",無窮の鎖 和倉 優希,有り（降臨ボスオーラ1）,,,,,
,サマータイムレンダ,"影,ファントム",網代 慎平,有り（降臨ボスオーラ1）,,,,,
,地獄楽,"門神,極楽蝶,ファントム",民谷 巌鉄斎,有り（降臨ボスオーラ1）,,,,,
,タコピーの原罪,ファントム,ハッピー星からの使者 タコピー,有り（降臨ボスオーラ1）,,,,,
,【推しの子】,"星野 ルビー,MEMちょ,有馬 かな,黒川 あかね,ファントム",ぴえヨン,有り（降臨ボスオーラ1）,,,,,
,幼稚園WARS,"不良系金髪イケメン,イケメンじゃない殺し屋,ファントム",ダグ,有り（降臨ボスオーラ1）,,,,,
,100カノ,"花園 羽香里,院田 唐音,好本 静,ファントム",溢れる母性 花園 羽々里,有り（降臨ボスオーラ1）,,,,,
,ふつうの軽音部,"内田 桃,藤井 彩目,ひたむきギタリスト 鳩野 ちひろ,ファントム",幸山 厘,有り（降臨ボスオーラ1）,,,,,
,あやかしトライアングル,"シロガネ,ファントム",花奏 すず,有り（降臨ボスオーラ1）,,,,,
,,,,,,,,,
,,,,,,,,,
,◆ルーレットゲージを貯める為のエナジーに関して,,,,,,,,
,"・限界チャレンジは、敵毎に敵撃破時に獲得できるエナジー量が決まっています。エナジー量は進行したフロア数に応じて係数がかかるので、進行数が増えるほど、敵を撃破時に獲得できるエナジー量は増えます。
・ルーレットゲージは最大ルーレット1回分まで貯めることができ、1回分を超える場合のエナジーを獲得した場合、余剰分は消去されます。",,,,,,,,
,▼撃破時獲得エナジー,,,,,,,,
,敵カテゴリー,撃破時獲得エナジー量,,,,,,,
,normal_enemy_roulette_point（通常敵(雑魚)）,5,,,,,,,
,rare_enemy_roulette_point（レア敵(雑魚)）,50,,,,,,,
,boss_enemy_roulette_point（ボス(強敵)）,20,,,,,,,
,,,,,,,,,
,▼ルーレットゲージ上限値（全ユーザー共通）,,,,,,,,
,ルーレットゲージ上限値,,,,,,,,
,100,,,,,,,,
,,,,,,,,,
,▼到達フロア獲得エナジー係数,,,,,,,,
,到達フロア数,到達フロア報酬係数,通常敵(雑魚)撃破時獲得エナジー量,レア敵(雑魚)撃破時獲得エナジー量,ボス(強敵)撃破時獲得エナジー量,,,,
,0以上,1.00,5.0,50.0,20.0,,,,
,5以上,1.10,5.5,55.0,22.0,,,,
,10以上,1.20,6.0,60.0,24.0,,,,
,20以上,1.40,7.0,70.0,28.0,,,,
,30以上,1.60,8.0,80.0,32.0,,,,
,40以上,1.80,9.0,90.0,36.0,,,,
,50以上,2.00,10.0,100.0,40.0,,,,
,,,,,,,,,
,,,,,,,,,
,◆ノーマルブロック抽選,,,,,,,,
,"・限界チャレンジは、ボスブロックまでに辿り着くまでに、3パターンのノーマルブロックの組み合わせ抽選を行い、その後その組み合わせに対してどの作品のブロックを当てはめるかを抽選します。
そして、最終的にどの作品のボスブロックを当てはめるかを抽選し、1つのシーケンスが完成します。",,,,,,,,
,▼撃破時獲得エナジー,,,,,,,,
