ENABLE,id,mst_auto_player_sequence_id,mst_auto_player_sequence_set_id,bgm_asset_key,boss_bgm_asset_key,loop_background_asset_key,player_outpost_asset_key,mst_page_id,mst_enemy_outpost_id,mst_defense_target_id,boss_mst_enemy_stage_parameter_id,boss_count,normal_enemy_hp_coef,normal_enemy_attack_coef,normal_enemy_speed_coef,boss_enemy_hp_coef,boss_enemy_attack_coef,boss_enemy_speed_coef,release_key,result_tips.ja,description.ja
e,dungeon_chi_normal_00001,dungeon_chi_normal_00001,dungeon_chi_normal_00001,SSE_SBG_003_001,,glo_00016,,dungeon_chi_normal_00001,dungeon_chi_normal_00001,,,,1,1,1,1,1,1,999999999,黄属性の敵には緑属性のキャラが有利！無属性の敵も登場するぞ。,チェンソーマンの世界に登場するゾンビたちが迫り来る！序盤は無属性のゾンビが波状攻撃をしかけてくるが、後半には黄属性の高火力ゾンビが押し寄せてくるぞ。緑属性のキャラで属性有利を取りながら突破しよう！
e,dungeon_chi_boss_00001,dungeon_chi_boss_00001,dungeon_chi_boss_00001,SSE_SBG_003_001,,glo_00016,,dungeon_chi_boss_00001,dungeon_chi_boss_00001,,c_chi_00002_chi_dungeon_Boss_Yellow,1,1,1,1,1,1,1,999999999,黄属性のボスには緑属性のキャラが有利！ボスを倒すまで敵ゲートへのダメージは無効だぞ。まずボスの撃破を優先しよう！,悪魔が恐れる悪魔——チェンソーマンがボスとして立ちはだかる！高い攻撃力と独特の戦い方で味方を翻弄してくる。黄属性のボスには緑属性が有利。ゾンビの護衛を切り抜けながらボスを倒せ！
e,dungeon_dan_normal_00001,dungeon_dan_normal_00001,dungeon_dan_normal_00001,SSE_SBG_003_001,,dan_00007,,dungeon_dan_normal_00001,dungeon_dan_normal_00001,,,0,1,1,1,1,1,1,999999999,,赤属性の敵が登場するので青属性のキャラが有利に戦うことができるぞ！防御型と高速型の2種が入り混じる攻勢に備えよ！
e,dungeon_dan_boss_00001,dungeon_dan_boss_00001,dungeon_dan_boss_00001,SSE_SBG_003_001,,dan_00005,,dungeon_dan_boss_00001,dungeon_dan_boss_00001,,c_dan_00002_dan_dungeon_Boss_Blue,1,1,1,1,1,1,1,999999999,,ボスを倒すまでゲートにダメージが通らないぞ！青属性の敵には黄属性キャラが有利。強力なボスを優先して撃破せよ！
e,dungeon_gom_normal_00001,dungeon_gom_normal_00001,dungeon_gom_normal_00001,SSE_SBG_003_006,,gom_00001,gom_ally_0001,dungeon_gom_normal_00001,dungeon_gom_normal_00001,,,0,1,1,1,1,1,1,999999999,,姫様の世界に現れた食べ物の敵を撃破せよ！無属性の敵が続々と登場するぞ
e,dungeon_gom_boss_00001,dungeon_gom_boss_00001,dungeon_gom_boss_00001,SSE_SBG_003_006,,gom_00001,gom_ally_0001,dungeon_gom_boss_00001,dungeon_gom_boss_00001,,c_gom_00001_gom_dungeon_Boss_Yellow,1,1,1,1,1,1,1,999999999,黄属性のボスには緑属性のキャラが有利！ボスを倒すまで敵ゲートへのダメージは無効だぞ。まずボスの撃破を優先しよう！,囚われの王女 姫様が登場！ボスを倒さないと敵ゲートにダメージが入らないぞ。黄属性の敵には緑属性で属性有利に戦おう！
e,dungeon_hut_normal_00001,dungeon_hut_normal_00001,dungeon_hut_normal_00001,SSE_SBG_003_002,,,,dungeon_hut_normal_00001,dungeon_hut_normal_00001,,,,1,1,1,1,1,1,999999999,無属性の敵が登場するぞ！素早く迎撃して限界チャレンジを突破せよ！,無属性の敵が次々と現れる。キャラを上手に操作して敵を倒し、ゲートを守り抜こう！
e,dungeon_hut_boss_00001,dungeon_hut_boss_00001,dungeon_hut_boss_00001,SSE_SBG_003_002,,,,dungeon_hut_boss_00001,dungeon_hut_boss_00001,,c_hut_00001_dungeon_boss_Boss_Colorless,1,1,1,1,1,1,1,999999999,ひたむきギタリスト 鳩野 ちひろが行く手を阻む！ボスを倒すまで敵ゲートにダメージが入らないぞ！全キャラで挑め！,無属性の強敵が待ち構えている。ボスを撃破するまでゲートは守られる。全力で立ち向かおう！
e,dungeon_jig_normal_00001,dungeon_jig_normal_00001,dungeon_jig_normal_00001,SSE_SBG_003_003,,jig_00002,,dungeon_jig_normal_00001,dungeon_jig_normal_00001,,,0,1,1,1,1,1,1,999999999
e,dungeon_jig_boss_00001,dungeon_jig_boss_00001,dungeon_jig_boss_00001,SSE_SBG_003_003,,jig_00002,,dungeon_jig_boss_00001,dungeon_jig_boss_00001,,c_jig_00001_jig_dungeon_Boss_Red,1,1,1,1,1,1,1,999999999,青属性のキャラが赤属性の敵に有利だ！ボスを倒すまで敵ゲートへのダメージは無効だぞ。まずボスの撃破を優先しよう！,がらんの画眉丸が高速で迫ってくる！ボスを倒すまでゲートにダメージが入らないので、まずはボスの撃破を優先しよう！青属性のキャラが赤属性の敵に有利だ！
