ENABLE,id,release_key,criterion_type,criterion_value,criterion_count,unlock_criterion_type,unlock_criterion_value,unlock_criterion_count,group_key,mst_mission_reward_group_id,sort_order,destination_scene
e,achievement_202601010_1,202601010,SpecificUnitGradeUpCount,chara_jig_00701,2,__NULL__,,0,,achievement_202601010_1,1,UnitList
e,achievement_202601010_2,202601010,SpecificUnitGradeUpCount,chara_jig_00701,3,__NULL__,,0,,achievement_202601010_2,2,UnitList
e,achievement_202601010_3,202601010,SpecificUnitGradeUpCount,chara_jig_00701,4,__NULL__,,0,,achievement_202601010_3,3,UnitList
e,achievement_202601010_4,202601010,SpecificUnitGradeUpCount,chara_jig_00701,5,__NULL__,,0,,achievement_202601010_4,4,UnitList
e,achievement_202601010_5,202601010,SpecificUnitLevel,chara_jig_00701,20,__NULL__,,0,,achievement_202601010_5,5,UnitList
e,achievement_202601010_6,202601010,SpecificUnitLevel,chara_jig_00701,30,__NULL__,,0,,achievement_202601010_6,6,UnitList
e,achievement_202601010_7,202601010,SpecificUnitLevel,chara_jig_00701,40,__NULL__,,0,,achievement_202601010_7,7,UnitList
e,achievement_202601010_8,202601010,SpecificUnitLevel,chara_jig_00701,50,__NULL__,,0,,achievement_202601010_8,8,UnitList
e,achievement_202601010_9,202601010,SpecificUnitLevel,chara_jig_00701,60,__NULL__,,0,,achievement_202601010_9,9,UnitList
e,achievement_202601010_10,202601010,SpecificUnitLevel,chara_jig_00701,70,__NULL__,,0,,achievement_202601010_10,10,UnitList
e,achievement_202601010_11,202601010,SpecificUnitLevel,chara_jig_00701,80,__NULL__,,0,,achievement_202601010_11,11,UnitList
e,achievement_202601010_12,202601010,SpecificUnitGradeUpCount,chara_jig_00601,2,__NULL__,,0,,achievement_202601010_12,12,UnitList
e,achievement_202601010_13,202601010,SpecificUnitGradeUpCount,chara_jig_00601,3,__NULL__,,0,,achievement_202601010_13,13,UnitList
e,achievement_202601010_14,202601010,SpecificUnitGradeUpCount,chara_jig_00601,4,__NULL__,,0,,achievement_202601010_14,14,UnitList
e,achievement_202601010_15,202601010,SpecificUnitGradeUpCount,chara_jig_00601,5,__NULL__,,0,,achievement_202601010_15,15,UnitList
e,achievement_202601010_16,202601010,SpecificUnitLevel,chara_jig_00601,20,__NULL__,,0,,achievement_202601010_16,16,UnitList
e,achievement_202601010_17,202601010,SpecificUnitLevel,chara_jig_00601,30,__NULL__,,0,,achievement_202601010_17,17,UnitList
e,achievement_202601010_18,202601010,SpecificUnitLevel,chara_jig_00601,40,__NULL__,,0,,achievement_202601010_18,18,UnitList
e,achievement_202601010_19,202601010,SpecificUnitLevel,chara_jig_00601,50,__NULL__,,0,,achievement_202601010_19,19,UnitList
e,achievement_202601010_20,202601010,SpecificUnitLevel,chara_jig_00601,60,__NULL__,,0,,achievement_202601010_20,20,UnitList
e,achievement_202601010_21,202601010,SpecificUnitLevel,chara_jig_00601,70,__NULL__,,0,,achievement_202601010_21,21,UnitList
e,achievement_202601010_22,202601010,SpecificUnitLevel,chara_jig_00601,80,__NULL__,,0,,achievement_202601010_22,22,UnitList
e,achievement_202601010_23,202601010,SpecificQuestClear,quest_event_jig1_charaget01,1,__NULL__,,0,,achievement_202601010_23,23,QuestSelect
e,achievement_202601010_24,202601010,SpecificQuestClear,quest_event_jig1_charaget02,1,__NULL__,,0,,achievement_202601010_24,24,QuestSelect
e,achievement_202601010_25,202601010,SpecificQuestClear,quest_event_jig1_challenge01,1,__NULL__,,0,,achievement_202601010_25,25,QuestSelect
