対応テーブル,運営仕様書名,フォルダパス
MstEvent,20260116_地獄楽 いいジャン祭_仕様書（運営仕様書）,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/いいジャン祭（施策）/運営_仕様書/20260116_地獄楽 いいジャン祭_仕様書
MstEvent,GLOW_ID管理,domain/raw-data/google-drive/spread-sheet/GLOW/010_企画・仕様/GLOW_ID 管理
MstEventI18n,20260116_地獄楽 いいジャン祭_仕様書（運営仕様書）,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/いいジャン祭（施策）/運営_仕様書/20260116_地獄楽 いいジャン祭_仕様書
MstEventI18n,GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料
MstEventBonusUnit,【降臨バトル】まるで 悪夢を見ているようだ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【降臨バトル】まるで 悪夢を見ているようだ_地獄楽
MstEventDisplayUnit,【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと
MstEventDisplayUnit,【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る
MstEventDisplayUnit,【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち
MstEventDisplayUnit,【チャレンジ】死罪人と首切り役人,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【チャレンジ】死罪人と首切り役人設計
MstEventDisplayUnit,【高難度】手負いの獣は恐ろしいぞ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【高難度】手負いの獣は恐ろしいぞ
