ENABLE,id,hp,is_damage_invalidation,outpost_asset_key,artwork_asset_key,release_key
e,event_jig1_1day_00001,10000,"","","",202601010
e,event_jig1_charaget01_00001,5000,"","","",202601010
e,event_jig1_charaget01_00002,5000,"","","",202601010
e,event_jig1_charaget01_00003,8000,"","","",202601010
e,event_jig1_charaget01_00004,10000,"","","",202601010
e,event_jig1_charaget01_00005,12000,"","","",202601010
e,event_jig1_charaget01_00006,15000,"","","",202601010
e,event_jig1_challenge01_00001,20000,"","","",202601010
e,event_jig1_challenge01_00002,25000,"","","",202601010
e,event_jig1_challenge01_00003,30000,"","","",202601010
e,event_jig1_challenge01_00004,35000,"","","",202601010
e,event_jig1_savage_00001,50000,"","","",202601010
e,event_jig1_savage_00002,80000,"","","",202601010
e,event_jig1_savage_00003,100000,"","","",202601010
e,raid_jig1_00001,150000,"","",jig_0001,202601010
