ENABLE,id,mst_advent_battle_id,reward_category,condition_value,release_key
e,quest_raid_jig1_reward_group_00001_01,quest_raid_jig1_00001,MaxScore,5000,202601010
e,quest_raid_jig1_reward_group_00001_02,quest_raid_jig1_00001,MaxScore,10000,202601010
e,quest_raid_jig1_reward_group_00001_03,quest_raid_jig1_00001,MaxScore,15000,202601010
e,quest_raid_jig1_reward_group_00001_04,quest_raid_jig1_00001,MaxScore,20000,202601010
e,quest_raid_jig1_reward_group_00001_05,quest_raid_jig1_00001,MaxScore,30000,202601010
e,quest_raid_jig1_reward_group_00001_06,quest_raid_jig1_00001,MaxScore,40000,202601010
e,quest_raid_jig1_reward_group_00001_07,quest_raid_jig1_00001,MaxScore,50000,202601010
e,quest_raid_jig1_reward_group_00001_08,quest_raid_jig1_00001,MaxScore,75000,202601010
e,quest_raid_jig1_reward_group_00001_09,quest_raid_jig1_00001,MaxScore,100000,202601010
e,quest_raid_jig1_reward_group_00001_10,quest_raid_jig1_00001,MaxScore,150000,202601010
e,quest_raid_jig1_reward_group_00001_11,quest_raid_jig1_00001,MaxScore,200000,202601010
e,quest_raid_jig1_reward_group_00001_12,quest_raid_jig1_00001,MaxScore,300000,202601010
e,quest_raid_jig1_reward_group_00001_37,quest_raid_jig1_00001,Rank,quest_raid_jig1_00001_rank_01,202601010
e,quest_raid_jig1_reward_group_00001_38,quest_raid_jig1_00001,Rank,quest_raid_jig1_00001_rank_02,202601010
e,quest_raid_jig1_reward_group_00001_39,quest_raid_jig1_00001,Rank,quest_raid_jig1_00001_rank_03,202601010
e,quest_raid_jig1_reward_group_00001_40,quest_raid_jig1_00001,Rank,quest_raid_jig1_00001_rank_04,202601010
e,quest_raid_jig1_reward_group_00001_41,quest_raid_jig1_00001,Rank,quest_raid_jig1_00001_rank_05,202601010
e,quest_raid_jig1_reward_group_00001_42,quest_raid_jig1_00001,Rank,quest_raid_jig1_00001_rank_06,202601010
e,quest_raid_jig1_reward_group_00001_43,quest_raid_jig1_00001,Rank,quest_raid_jig1_00001_rank_07,202601010
e,quest_raid_jig1_reward_group_00001_44,quest_raid_jig1_00001,Rank,quest_raid_jig1_00001_rank_08,202601010
e,quest_raid_jig1_reward_group_00001_45,quest_raid_jig1_00001,Rank,quest_raid_jig1_00001_rank_09,202601010
e,quest_raid_jig1_reward_group_00001_46,quest_raid_jig1_00001,Rank,quest_raid_jig1_00001_rank_10,202601010
e,quest_raid_jig1_reward_group_00001_47,quest_raid_jig1_00001,Rank,quest_raid_jig1_00001_rank_11,202601010
e,quest_raid_jig1_reward_group_00001_48,quest_raid_jig1_00001,Rank,quest_raid_jig1_00001_rank_12,202601010
e,quest_raid_jig1_reward_group_00001_49,quest_raid_jig1_00001,Rank,quest_raid_jig1_00001_rank_13,202601010
e,quest_raid_jig1_reward_group_00001_50,quest_raid_jig1_00001,Rank,quest_raid_jig1_00001_rank_14,202601010
e,quest_raid_jig1_reward_group_00001_51,quest_raid_jig1_00001,Rank,quest_raid_jig1_00001_rank_15,202601010
e,quest_raid_jig1_reward_group_00001_52,quest_raid_jig1_00001,Rank,quest_raid_jig1_00001_rank_16,202601010
e,quest_raid_jig1_reward_group_00001_53,quest_raid_jig1_00001,Ranking,1,202601010
e,quest_raid_jig1_reward_group_00001_54,quest_raid_jig1_00001,Ranking,2,202601010
e,quest_raid_jig1_reward_group_00001_55,quest_raid_jig1_00001,Ranking,3,202601010
e,quest_raid_jig1_reward_group_00001_56,quest_raid_jig1_00001,Ranking,50,202601010
e,quest_raid_jig1_reward_group_00001_57,quest_raid_jig1_00001,Ranking,300,202601010
e,quest_raid_jig1_reward_group_00001_58,quest_raid_jig1_00001,Ranking,1000,202601010
e,quest_raid_jig1_reward_group_00001_59,quest_raid_jig1_00001,Ranking,5000,202601010
e,quest_raid_jig1_reward_group_00001_60,quest_raid_jig1_00001,Ranking,10000,202601010
e,quest_raid_jig1_reward_group_00001_61,quest_raid_jig1_00001,Ranking,99999999,202601010
