ENABLE,id,mst_advent_battle_reward_group_id,resource_type,resource_id,resource_amount,release_key
e,quest_raid_jig1_reward_group_00001_01_1,quest_raid_jig1_reward_group_00001_01,FreeDiamond,prism_glo_00001,20,202601010
e,quest_raid_jig1_reward_group_00001_02_1,quest_raid_jig1_reward_group_00001_02,Coin,,1500,202601010
e,quest_raid_jig1_reward_group_00001_03_1,quest_raid_jig1_reward_group_00001_03,FreeDiamond,prism_glo_00001,30,202601010
e,quest_raid_jig1_reward_group_00001_04_1,quest_raid_jig1_reward_group_00001_04,Coin,,3000,202601010
e,quest_raid_jig1_reward_group_00001_05_1,quest_raid_jig1_reward_group_00001_05,FreeDiamond,prism_glo_00001,50,202601010
e,quest_raid_jig1_reward_group_00001_06_1,quest_raid_jig1_reward_group_00001_06,Coin,,4500,202601010
e,quest_raid_jig1_reward_group_00001_07_1,quest_raid_jig1_reward_group_00001_07,FreeDiamond,prism_glo_00001,50,202601010
e,quest_raid_jig1_reward_group_00001_08_1,quest_raid_jig1_reward_group_00001_08,Coin,,6000,202601010
e,quest_raid_jig1_reward_group_00001_09_1,quest_raid_jig1_reward_group_00001_09,FreeDiamond,prism_glo_00001,100,202601010
e,quest_raid_jig1_reward_group_00001_10_1,quest_raid_jig1_reward_group_00001_10,Item,memoryfragment_glo_00003,1,202601010
e,quest_raid_jig1_reward_group_00001_11_1,quest_raid_jig1_reward_group_00001_11,GachaTicket,ticket_glo_00002,1,202601010
e,quest_raid_jig1_reward_group_00001_12_1,quest_raid_jig1_reward_group_00001_12,Coin,,10000,202601010
e,quest_raid_jig1_reward_group_00001_13_1,quest_raid_jig1_reward_group_00001_13,FreeDiamond,prism_glo_00001,10,202601010
e,quest_raid_jig1_reward_group_00001_13_2,quest_raid_jig1_reward_group_00001_13,Coin,,1000,202601010
e,quest_raid_jig1_reward_group_00001_13_3,quest_raid_jig1_reward_group_00001_13,Item,memoryfragment_glo_00001,1,202601010
e,quest_raid_jig1_reward_group_00001_14_1,quest_raid_jig1_reward_group_00001_14,FreeDiamond,prism_glo_00001,10,202601010
e,quest_raid_jig1_reward_group_00001_14_2,quest_raid_jig1_reward_group_00001_14,Coin,,1000,202601010
e,quest_raid_jig1_reward_group_00001_14_3,quest_raid_jig1_reward_group_00001_14,Item,memoryfragment_glo_00001,1,202601010
e,quest_raid_jig1_reward_group_00001_15_1,quest_raid_jig1_reward_group_00001_15,FreeDiamond,prism_glo_00001,10,202601010
e,quest_raid_jig1_reward_group_00001_15_2,quest_raid_jig1_reward_group_00001_15,Coin,,1000,202601010
