ENABLE,id,mst_attack_id,locale,attack_description,release_key
e,attack_jig_00401_N_0_i18n_ja,attack_jig_00401_N_0,ja,,202601010
e,attack_jig_00401_N_1_i18n_ja,attack_jig_00401_N_1,ja,,202601010
e,attack_jig_00401_N_2_i18n_ja,attack_jig_00401_N_2,ja,,202601010
e,attack_jig_00401_N_3_i18n_ja,attack_jig_00401_N_3,ja,,202601010
e,attack_jig_00401_N_4_i18n_ja,attack_jig_00401_N_4,ja,,202601010
e,attack_jig_00401_N_5_i18n_ja,attack_jig_00401_N_5,ja,,202601010
e,attack_jig_00401_N_6_i18n_ja,attack_jig_00401_N_6,ja,,202601010
e,attack_jig_00401_N_7_i18n_ja,attack_jig_00401_N_7,ja,,202601010
e,attack_jig_00401_N_8_i18n_ja,attack_jig_00401_N_8,ja,,202601010
e,attack_jig_00401_N_9_i18n_ja,attack_jig_00401_N_9,ja,,202601010
e,attack_jig_00401_S_0_i18n_ja,attack_jig_00401_S_0,ja,,202601010
e,attack_jig_00401_S_1_i18n_ja,attack_jig_00401_S_1,ja,,202601010
e,attack_jig_00401_S_2_i18n_ja,attack_jig_00401_S_2,ja,,202601010
e,attack_jig_00401_S_3_i18n_ja,attack_jig_00401_S_3,ja,,202601010
e,attack_jig_00401_S_4_i18n_ja,attack_jig_00401_S_4,ja,,202601010
e,attack_jig_00401_S_5_i18n_ja,attack_jig_00401_S_5,ja,,202601010
e,attack_jig_00401_S_6_i18n_ja,attack_jig_00401_S_6,ja,,202601010
e,attack_jig_00401_S_7_i18n_ja,attack_jig_00401_S_7,ja,,202601010
e,attack_jig_00401_S_8_i18n_ja,attack_jig_00401_S_8,ja,,202601010
e,attack_jig_00401_S_9_i18n_ja,attack_jig_00401_S_9,ja,,202601010
e,attack_jig_00501_N_0_i18n_ja,attack_jig_00501_N_0,ja,,202601010
e,attack_jig_00501_N_1_i18n_ja,attack_jig_00501_N_1,ja,,202601010
e,attack_jig_00501_N_2_i18n_ja,attack_jig_00501_N_2,ja,,202601010
e,attack_jig_00501_N_3_i18n_ja,attack_jig_00501_N_3,ja,,202601010
e,attack_jig_00501_N_4_i18n_ja,attack_jig_00501_N_4,ja,,202601010
e,attack_jig_00501_N_5_i18n_ja,attack_jig_00501_N_5,ja,,202601010
e,attack_jig_00501_N_6_i18n_ja,attack_jig_00501_N_6,ja,,202601010
e,attack_jig_00501_N_7_i18n_ja,attack_jig_00501_N_7,ja,,202601010
e,attack_jig_00501_N_8_i18n_ja,attack_jig_00501_N_8,ja,,202601010
e,attack_jig_00501_N_9_i18n_ja,attack_jig_00501_N_9,ja,,202601010
e,attack_jig_00501_S_0_i18n_ja,attack_jig_00501_S_0,ja,,202601010
e,attack_jig_00501_S_1_i18n_ja,attack_jig_00501_S_1,ja,,202601010
e,attack_jig_00501_S_2_i18n_ja,attack_jig_00501_S_2,ja,,202601010
e,attack_jig_00501_S_3_i18n_ja,attack_jig_00501_S_3,ja,,202601010
e,attack_jig_00501_S_4_i18n_ja,attack_jig_00501_S_4,ja,,202601010
e,attack_jig_00501_S_5_i18n_ja,attack_jig_00501_S_5,ja,,202601010
e,attack_jig_00501_S_6_i18n_ja,attack_jig_00501_S_6,ja,,202601010
e,attack_jig_00501_S_7_i18n_ja,attack_jig_00501_S_7,ja,,202601010
e,attack_jig_00501_S_8_i18n_ja,attack_jig_00501_S_8,ja,,202601010
e,attack_jig_00501_S_9_i18n_ja,attack_jig_00501_S_9,ja,,202601010
e,attack_jig_00601_N_0_i18n_ja,attack_jig_00601_N_0,ja,,202601010
e,attack_jig_00601_N_1_i18n_ja,attack_jig_00601_N_1,ja,,202601010
e,attack_jig_00601_N_2_i18n_ja,attack_jig_00601_N_2,ja,,202601010
e,attack_jig_00601_N_3_i18n_ja,attack_jig_00601_N_3,ja,,202601010
e,attack_jig_00601_N_4_i18n_ja,attack_jig_00601_N_4,ja,,202601010
e,attack_jig_00601_N_5_i18n_ja,attack_jig_00601_N_5,ja,,202601010
e,attack_jig_00601_N_6_i18n_ja,attack_jig_00601_N_6,ja,,202601010
e,attack_jig_00601_N_7_i18n_ja,attack_jig_00601_N_7,ja,,202601010
e,attack_jig_00601_N_8_i18n_ja,attack_jig_00601_N_8,ja,,202601010
e,attack_jig_00601_N_9_i18n_ja,attack_jig_00601_N_9,ja,,202601010
e,attack_jig_00601_S_0_i18n_ja,attack_jig_00601_S_0,ja,,202601010
e,attack_jig_00601_S_1_i18n_ja,attack_jig_00601_S_1,ja,,202601010
e,attack_jig_00601_S_2_i18n_ja,attack_jig_00601_S_2,ja,,202601010
e,attack_jig_00601_S_3_i18n_ja,attack_jig_00601_S_3,ja,,202601010
e,attack_jig_00601_S_4_i18n_ja,attack_jig_00601_S_4,ja,,202601010
e,attack_jig_00601_S_5_i18n_ja,attack_jig_00601_S_5,ja,,202601010
