ENABLE,release_key,id,mst_in_game_id,language,result_tips,description
e,202601010,event_jig1_1day_00001_ja,event_jig1_1day_00001,ja,キャラを強化してみよう!,"【属性情報】
無属性の『がらんの画眉丸』が登場するぞ!

毎日1回クエストをクリアして、「プリズム」をGETしよう!"
e,202601010,event_jig1_charaget01_00001_ja,event_jig1_charaget01_00001,ja,キャラを強化してみよう!,"【属性情報】
作品雑魚と杠が登場するぞ!"
e,202601010,event_jig1_charaget01_00002_ja,event_jig1_charaget01_00002,ja,キャラを強化してみよう!,"【属性情報】
作品雑魚と山田浅ェ門 佐切、山田浅ェ門 源嗣が登場するぞ!"
e,202601010,event_jig1_charaget01_00003_ja,event_jig1_charaget01_00003,ja,キャラを強化してみよう!,"【属性情報】
作品雑魚とがらんの画眉丸、山田浅ェ門 佐切が登場するぞ!"
e,202601010,event_jig1_charaget01_00004_ja,event_jig1_charaget01_00004,ja,キャラを強化してみよう!,"【属性情報】
作品雑魚と杠、山田浅ェ門 仙汰が登場するぞ!"
e,202601010,event_jig1_charaget01_00005_ja,event_jig1_charaget01_00005,ja,キャラを強化してみよう!,"【属性情報】
作品雑魚と朱槿が登場するぞ!"
e,202601010,event_jig1_charaget01_00006_ja,event_jig1_charaget01_00006,ja,キャラを強化してみよう!,"【属性情報】
作品雑魚と朱槿が登場するぞ!"
e,202601010,event_jig1_charaget02_00001_ja,event_jig1_charaget02_00001,ja,キャラを強化してみよう!,"【属性情報】
作品雑魚と民谷 巌鉄斎が登場するぞ!"
e,202601010,event_jig1_charaget02_00002_ja,event_jig1_charaget02_00002,ja,キャラを強化してみよう!,"【属性情報】
作品雑魚と賊王 亜左 弔兵衛、山田浅ェ門 桐馬が登場するぞ!"
e,202601010,event_jig1_charaget02_00003_ja,event_jig1_charaget02_00003,ja,キャラを強化してみよう!,"【属性情報】
作品雑魚と賊王 亜左 弔兵衛、山田浅ェ門 桐馬が登場するぞ!"
e,202601010,event_jig1_charaget02_00004_ja,event_jig1_charaget02_00004,ja,キャラを強化してみよう!,"【属性情報】
作品雑魚と賊王 亜左 弔兵衛、山田浅ェ門 桐馬が登場するぞ!"
e,202601010,event_jig1_charaget02_00005_ja,event_jig1_charaget02_00005,ja,キャラを強化してみよう!,"【属性情報】
作品雑魚とがらんの画眉丸、民谷 巌鉄斎が登場するぞ!"
e,202601010,event_jig1_charaget02_00006_ja,event_jig1_charaget02_00006,ja,キャラを強化してみよう!,"【属性情報】
作品雑魚とがらんの画眉丸、民谷 巌鉄斎が登場するぞ!"
e,202601010,event_jig1_challenge01_00001_ja,event_jig1_challenge01_00001,ja,キャラを強化してみよう!,"【属性情報】
作品雑魚と山田浅ェ門 源嗣が登場するぞ!

【ギミック情報】
クリアタイム報酬があるぞ!
速くクリアして、プリズムを獲得しよう!"
e,202601010,event_jig1_challenge01_00002_ja,event_jig1_challenge01_00002,ja,キャラを強化してみよう!,"【属性情報】
作品雑魚と杠、山田浅ェ門 仙汰が登場するぞ!

【ギミック情報】
クリアタイム報酬があるぞ!
速くクリアして、プリズムを獲得しよう!"
e,202601010,event_jig1_challenge01_00003_ja,event_jig1_challenge01_00003,ja,キャラを強化してみよう!,"【属性情報】
作品雑魚と賊王 亜左 弔兵衛、山田浅ェ門 桐馬が登場するぞ!

【ギミック情報】
クリアタイム報酬があるぞ!
速くクリアして、プリズムを獲得しよう!"
e,202601010,event_jig1_challenge01_00004_ja,event_jig1_challenge01_00004,ja,キャラを強化してみよう!,"【属性情報】
作品雑魚とがらんの画眉丸、山田浅ェ門 佐切が登場するぞ!

【ギミック情報】
クリアタイム報酬があるぞ!
速くクリアして、プリズムを獲得しよう!"
e,202601010,event_jig1_savage_00001_ja,event_jig1_savage_00001,ja,高難度クエストです!,"【属性情報】
門神、亜左 弔兵衛と山田浅ェ門 桐馬が登場するぞ!

【ギミック情報】
体力と攻撃の高い強敵が多く登場するぞ!
高ダメージを与えられるキャラを編成しよう!

クリアタイム報酬があるぞ!
速くクリアして、プリズムを獲得しよう!"
e,202601010,event_jig1_savage_00002_ja,event_jig1_savage_00002,ja,高難度クエストです!,"【属性情報】
門神、画眉丸と山田浅ェ門 佐切が登場するぞ!

【ギミック情報】
体力と攻撃の高い強敵が多く登場するぞ!
高ダメージを与えられるキャラを編成しよう!

クリアタイム報酬があるぞ!
速くクリアして、プリズムを獲得しよう!"
e,202601010,event_jig1_savage_00003_ja,event_jig1_savage_00003,ja,高難度クエストです!,"【属性情報】
朱槿、亜左 弔兵衛と画眉丸が登場するぞ!

【ギミック情報】
体力と攻撃の高い強敵が多く登場するぞ!
高ダメージを与えられるキャラを編成しよう!

クリアタイム報酬があるぞ!
速くクリアして、プリズムを獲得しよう!"
