ENABLE,id,mst_page_id,row,height,koma_line_layout_asset_key,koma1_asset_key,koma1_width,koma1_back_ground_offset,koma1_effect_type,koma1_effect_parameter1,koma1_effect_parameter2,koma1_effect_target_side,koma1_effect_target_colors,koma1_effect_target_roles,koma2_asset_key,koma2_width,koma2_back_ground_offset,koma2_effect_type,koma2_effect_parameter1,koma2_effect_parameter2,koma2_effect_target_side,koma2_effect_target_colors,koma2_effect_target_roles,koma3_asset_key,koma3_width,koma3_back_ground_offset,koma3_effect_type,koma3_effect_parameter1,koma3_effect_parameter2,koma3_effect_target_side,koma3_effect_target_colors,koma3_effect_target_roles,koma4_asset_key,koma4_width,koma4_back_ground_offset,koma4_effect_type,koma4_effect_parameter1,koma4_effect_parameter2,koma4_effect_target_side,koma4_effect_target_colors,koma4_effect_target_roles,release_key
e,event_jig1_1day_00001_1,event_jig1_1day_00001,1,0.55,2,koma_background_jig_00001,0.6,0,None,0,0,All,All,All,koma_background_jig_00001,0.4,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202601010
e,event_jig1_1day_00001_2,event_jig1_1day_00001,2,0.55,3,koma_background_jig_00001,0.4,0,None,0,0,All,All,All,koma_background_jig_00001,0.6,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202601010
e,event_jig1_charaget01_00001_1,event_jig1_charaget01_00001,1,0.55,2,koma_background_jig_00001,0.6,0,None,0,0,All,All,All,koma_background_jig_00001,0.4,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202601010
e,event_jig1_charaget01_00001_2,event_jig1_charaget01_00001,2,0.55,3,koma_background_jig_00001,0.4,0,None,0,0,All,All,All,koma_background_jig_00001,0.6,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202601010
e,event_jig1_charaget01_00002_1,event_jig1_charaget01_00002,1,0.55,2,koma_background_jig_00002,0.6,0,None,0,0,All,All,All,koma_background_jig_00002,0.4,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202601010
e,event_jig1_charaget01_00002_2,event_jig1_charaget01_00002,2,0.55,3,koma_background_jig_00002,0.4,0,None,0,0,All,All,All,koma_background_jig_00002,0.6,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202601010
e,event_jig1_charaget01_00003_1,event_jig1_charaget01_00003,1,0.55,2,koma_background_jig_00002,0.6,0,None,0,0,All,All,All,koma_background_jig_00002,0.4,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202601010
e,event_jig1_charaget01_00003_2,event_jig1_charaget01_00003,2,0.55,3,koma_background_jig_00002,0.4,0,None,0,0,All,All,All,koma_background_jig_00002,0.6,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202601010
e,event_jig1_charaget01_00004_1,event_jig1_charaget01_00004,1,0.55,2,koma_background_jig_00001,0.6,0,None,0,0,All,All,All,koma_background_jig_00001,0.4,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202601010
e,event_jig1_charaget01_00004_2,event_jig1_charaget01_00004,2,0.55,3,koma_background_jig_00001,0.4,0,None,0,0,All,All,All,koma_background_jig_00001,0.6,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202601010
