ENABLE,id,stage_id,reward_category,resource_type,resource_id,resource_amount,percentage,sort_order,release_key
e,539,event_jig1_1day_00001,FirstClear,FreeDiamond,,20,100,1,202601010
ENABLE,id,stage_id,reward_category,resource_type,resource_id,resource_amount,percentage,sort_order,release_key
e,540,event_jig1_charaget01_00001,FirstClear,FreeDiamond,,40,100,1,202601010
e,541,event_jig1_charaget01_00001,FirstClear,Unit,chara_jig_00701,1,100,2,202601010
e,542,event_jig1_charaget01_00001,FirstClear,Coin,,500,100,3,202601010
e,543,event_jig1_charaget01_00002,FirstClear,FreeDiamond,,40,100,1,202601010
e,544,event_jig1_charaget01_00002,FirstClear,Item,memory_glo_char_jig_00701,200,100,2,202601010
e,545,event_jig1_charaget01_00002,FirstClear,Coin,,500,100,3,202601010
e,546,event_jig1_charaget01_00003,FirstClear,FreeDiamond,,40,100,1,202601010
e,547,event_jig1_charaget01_00003,FirstClear,Item,memory_glo_char_jig_00701,300,100,2,202601010
e,548,event_jig1_charaget01_00003,FirstClear,Coin,,500,100,3,202601010
e,549,event_jig1_charaget01_00004,FirstClear,FreeDiamond,,40,100,1,202601010
e,550,event_jig1_charaget01_00004,FirstClear,Item,memory_glo_char_jig_00701,300,100,2,202601010
e,551,event_jig1_charaget01_00004,FirstClear,Item,memoryfragment_glo_00001,15,100,3,202601010
e,552,event_jig1_charaget01_00004,FirstClear,Coin,,500,100,4,202601010
e,553,event_jig1_charaget01_00005,FirstClear,FreeDiamond,,40,100,1,202601010
e,554,event_jig1_charaget01_00005,FirstClear,Item,memory_glo_char_jig_00701,300,100,2,202601010
e,555,event_jig1_charaget01_00005,FirstClear,Item,memoryfragment_glo_00002,10,100,3,202601010
e,556,event_jig1_charaget01_00005,FirstClear,Coin,,500,100,4,202601010
e,557,event_jig1_charaget01_00006,FirstClear,FreeDiamond,,40,100,1,202601010
e,558,event_jig1_charaget01_00006,FirstClear,Item,memoryfragment_glo_00003,1,100,2,202601010
e,559,event_jig1_charaget01_00006,FirstClear,Coin,,500,100,3,202601010
ENABLE,id,stage_id,reward_category,resource_type,resource_id,resource_amount,percentage,sort_order,release_key
e,560,event_jig1_charaget02_00001,FirstClear,FreeDiamond,,40,100,1,202601010
e,561,event_jig1_charaget02_00001,FirstClear,Unit,chara_jig_00601,1,100,2,202601010
e,562,event_jig1_charaget02_00001,FirstClear,Coin,,500,100,3,202601010
e,563,event_jig1_charaget02_00002,FirstClear,FreeDiamond,,40,100,1,202601010
e,564,event_jig1_charaget02_00002,FirstClear,Item,memory_glo_char_jig_00601,200,100,2,202601010
e,565,event_jig1_charaget02_00002,FirstClear,Coin,,500,100,3,202601010
e,566,event_jig1_charaget02_00003,FirstClear,FreeDiamond,,40,100,1,202601010
e,567,event_jig1_charaget02_00003,FirstClear,Item,memory_glo_char_jig_00601,300,100,2,202601010
e,568,event_jig1_charaget02_00003,FirstClear,Coin,,500,100,3,202601010
e,569,event_jig1_charaget02_00004,FirstClear,FreeDiamond,,40,100,1,202601010
e,570,event_jig1_charaget02_00004,FirstClear,Item,memory_glo_char_jig_00601,300,100,2,202601010
e,571,event_jig1_charaget02_00004,FirstClear,Item,memoryfragment_glo_00001,15,100,3,202601010
e,572,event_jig1_charaget02_00004,FirstClear,Coin,,500,100,4,202601010
e,573,event_jig1_charaget02_00005,FirstClear,FreeDiamond,,40,100,1,202601010
e,574,event_jig1_charaget02_00005,FirstClear,Item,memory_glo_char_jig_00601,300,100,2,202601010
e,575,event_jig1_charaget02_00005,FirstClear,Item,memoryfragment_glo_00002,10,100,3,202601010
e,576,event_jig1_charaget02_00005,FirstClear,Coin,,500,100,4,202601010
e,577,event_jig1_charaget02_00006,FirstClear,FreeDiamond,,40,100,1,202601010
e,578,event_jig1_charaget02_00006,FirstClear,Item,memoryfragment_glo_00003,1,100,2,202601010
e,579,event_jig1_charaget02_00006,FirstClear,Coin,,500,100,3,202601010
ENABLE,id,stage_id,reward_category,resource_type,resource_id,resource_amount,percentage,sort_order,release_key
e,580,event_jig1_challenge01_00001,FirstClear,Item,ticket_glo_00003,1,100,1,202601010
e,581,event_jig1_challenge01_00002,FirstClear,Item,fragment_glo_char_jig_00501,50,100,1,202601010
e,582,event_jig1_challenge01_00002,FirstClear,Item,ticket_glo_00003,1,100,2,202601010
e,583,event_jig1_challenge01_00003,FirstClear,Item,fragment_glo_char_jig_00401,50,100,1,202601010
e,584,event_jig1_challenge01_00003,FirstClear,Item,ticket_glo_00003,1,100,2,202601010
e,585,event_jig1_challenge01_00004,FirstClear,Item,fragment_glo_char_jig_00001,10,100,1,202601010
e,586,event_jig1_challenge01_00004,FirstClear,Item,ticket_glo_00003,1,100,2,202601010
ENABLE,id,stage_id,reward_category,resource_type,resource_id,resource_amount,percentage,sort_order,release_key
e,587,event_jig1_savage_00001,FirstClear,Item,ticket_glo_00002,1,100,1,202601010
e,588,event_jig1_savage_00001,FirstClear,FreeDiamond,,100,100,2,202601010
e,589,event_jig1_savage_00002,FirstClear,Item,ticket_glo_00002,1,100,1,202601010
e,590,event_jig1_savage_00002,FirstClear,FreeDiamond,,100,100,2,202601010
e,591,event_jig1_savage_00003,FirstClear,FreeDiamond,,100,100,1,202601010
e,592,event_jig1_savage_00003,FirstClear,Emblem,emblem_normal_jig_00001,1,100,2,202601010
e,593,event_jig1_savage_00003,FirstClear,Coin,,5000,100,3,202601010
ENABLE,id,stage_id,reward_category,resource_type,resource_id,resource_amount,percentage,sort_order,release_key
e,594,event_jig1_challenge01_00001,ClearTime,FreeDiamond,,20,100,1,202601010
e,595,event_jig1_challenge01_00001,ClearTime,FreeDiamond,,20,100,2,202601010
e,596,event_jig1_challenge01_00001,ClearTime,FreeDiamond,,20,100,3,202601010
e,597,event_jig1_challenge01_00002,ClearTime,FreeDiamond,,20,100,1,202601010
e,598,event_jig1_challenge01_00002,ClearTime,FreeDiamond,,20,100,2,202601010
e,599,event_jig1_challenge01_00002,ClearTime,FreeDiamond,,20,100,3,202601010
e,600,event_jig1_challenge01_00003,ClearTime,FreeDiamond,,20,100,1,202601010
e,601,event_jig1_challenge01_00003,ClearTime,FreeDiamond,,20,100,2,202601010
e,602,event_jig1_challenge01_00003,ClearTime,FreeDiamond,,20,100,3,202601010
e,603,event_jig1_challenge01_00004,ClearTime,FreeDiamond,,20,100,1,202601010
e,604,event_jig1_challenge01_00004,ClearTime,FreeDiamond,,20,100,2,202601010
e,605,event_jig1_challenge01_00004,ClearTime,FreeDiamond,,20,100,3,202601010
ENABLE,id,stage_id,reward_category,resource_type,resource_id,resource_amount,percentage,sort_order,release_key
e,606,event_jig1_savage_00001,ClearTime,FreeDiamond,,20,100,1,202601010
e,607,event_jig1_savage_00001,ClearTime,FreeDiamond,,20,100,2,202601010
e,608,event_jig1_savage_00001,ClearTime,FreeDiamond,,20,100,3,202601010
e,609,event_jig1_savage_00002,ClearTime,FreeDiamond,,20,100,1,202601010
e,610,event_jig1_savage_00002,ClearTime,FreeDiamond,,20,100,2,202601010
e,611,event_jig1_savage_00002,ClearTime,FreeDiamond,,20,100,3,202601010
e,612,event_jig1_savage_00003,ClearTime,FreeDiamond,,20,100,1,202601010
e,613,event_jig1_savage_00003,ClearTime,FreeDiamond,,20,100,2,202601010
e,614,event_jig1_savage_00003,ClearTime,FreeDiamond,,20,100,3,202601010
