ENABLE,id,mst_unit_id,rank,mst_item_id_1,amount_1,required_level,release_key
e,chara_jig_00601_rank_1,chara_jig_00601,1,memory_chara_jig_00601,10,5,202601010
e,chara_jig_00601_rank_2,chara_jig_00601,2,memory_chara_jig_00601,20,10,202601010
e,chara_jig_00601_rank_3,chara_jig_00601,3,memory_chara_jig_00601,30,15,202601010
e,chara_jig_00601_rank_4,chara_jig_00601,4,memory_chara_jig_00601,40,20,202601010
e,chara_jig_00601_rank_5,chara_jig_00601,5,memory_chara_jig_00601,50,25,202601010
e,chara_jig_00701_rank_1,chara_jig_00701,1,memory_chara_jig_00701,10,5,202601010
e,chara_jig_00701_rank_2,chara_jig_00701,2,memory_chara_jig_00701,20,10,202601010
e,chara_jig_00701_rank_3,chara_jig_00701,3,memory_chara_jig_00701,30,15,202601010
e,chara_jig_00701_rank_4,chara_jig_00701,4,memory_chara_jig_00701,40,20,202601010
e,chara_jig_00701_rank_5,chara_jig_00701,5,memory_chara_jig_00701,50,25,202601010
