ENABLE,id,group_id,resource_type,resource_id,resource_amount,weight,pickup,release_key
e,fixd_Pickup_jig_001_1,fixd_Pickup_jig_001,Unit,chara_jig_00401,1,175500,1,202601010
e,fixd_Pickup_jig_001_2,fixd_Pickup_jig_001,Unit,chara_spy_00101,1,43875,0,202601010
e,fixd_Pickup_jig_001_3,fixd_Pickup_jig_001,Unit,chara_spy_00201,1,43875,0,202601010
e,fixd_Pickup_jig_001_4,fixd_Pickup_jig_001,Unit,chara_spy_00001,1,43875,0,202601010
e,fixd_Pickup_jig_001_5,fixd_Pickup_jig_001,Unit,chara_dan_00002,1,43875,0,202601010
e,fixd_Pickup_jig_001_6,fixd_Pickup_jig_001,Unit,chara_gom_00001,1,43875,0,202601010
e,fixd_Pickup_jig_001_7,fixd_Pickup_jig_001,Unit,chara_chi_00002,1,43875,0,202601010
e,fixd_Pickup_jig_001_8,fixd_Pickup_jig_001,Unit,chara_kai_00002,1,43875,0,202601010
e,fixd_Pickup_jig_001_9,fixd_Pickup_jig_001,Unit,chara_yuw_00001,1,43875,0,202601010
e,fixd_Pickup_jig_001_10,fixd_Pickup_jig_001,Unit,chara_yuw_00101,1,43875,0,202601010
e,fixd_Pickup_jig_001_11,fixd_Pickup_jig_001,Unit,chara_sur_00101,1,43875,0,202601010
e,fixd_Pickup_jig_001_12,fixd_Pickup_jig_001,Unit,chara_mag_00001,1,43875,0,202601010
e,fixd_Pickup_jig_001_13,fixd_Pickup_jig_001,Unit,chara_sum_00101,1,43875,0,202601010
e,fixd_Pickup_jig_001_14,fixd_Pickup_jig_001,Unit,chara_jig_00501,1,351000,1,202601010
e,fixd_Pickup_jig_001_15,fixd_Pickup_jig_001,Unit,chara_dan_00101,1,221000,0,202601010
e,fixd_Pickup_jig_001_16,fixd_Pickup_jig_001,Unit,chara_chi_00201,1,221000,0,202601010
e,fixd_Pickup_jig_001_17,fixd_Pickup_jig_001,Unit,chara_chi_00301,1,221000,0,202601010
e,fixd_Pickup_jig_001_18,fixd_Pickup_jig_001,Unit,chara_kai_00301,1,221000,0,202601010
