ENABLE,id,group_id,resource_type,resource_id,resource_amount,weight,pickup,release_key
e,Pickup_jig_001_1,Pickup_jig_001,Unit,chara_jig_00401,1,7020,1,202601010
e,Pickup_jig_001_2,Pickup_jig_001,Unit,chara_spy_00101,1,1755,0,202601010
e,Pickup_jig_001_3,Pickup_jig_001,Unit,chara_spy_00201,1,1755,0,202601010
e,Pickup_jig_001_4,Pickup_jig_001,Unit,chara_spy_00001,1,1755,0,202601010
e,Pickup_jig_001_5,Pickup_jig_001,Unit,chara_dan_00002,1,1755,0,202601010
e,Pickup_jig_001_6,Pickup_jig_001,Unit,chara_gom_00001,1,1755,0,202601010
e,Pickup_jig_001_7,Pickup_jig_001,Unit,chara_chi_00002,1,1755,0,202601010
e,Pickup_jig_001_8,Pickup_jig_001,Unit,chara_kai_00002,1,1755,0,202601010
e,Pickup_jig_001_9,Pickup_jig_001,Unit,chara_yuw_00001,1,1755,0,202601010
e,Pickup_jig_001_10,Pickup_jig_001,Unit,chara_yuw_00101,1,1755,0,202601010
e,Pickup_jig_001_11,Pickup_jig_001,Unit,chara_sur_00101,1,1755,0,202601010
e,Pickup_jig_001_12,Pickup_jig_001,Unit,chara_mag_00001,1,1755,0,202601010
e,Pickup_jig_001_13,Pickup_jig_001,Unit,chara_sum_00101,1,1755,0,202601010
e,Pickup_jig_001_14,Pickup_jig_001,Unit,chara_jig_00501,1,14040,1,202601010
e,Pickup_jig_001_15,Pickup_jig_001,Unit,chara_dan_00101,1,8840,0,202601010
e,Pickup_jig_001_16,Pickup_jig_001,Unit,chara_chi_00201,1,8840,0,202601010
e,Pickup_jig_001_17,Pickup_jig_001,Unit,chara_chi_00301,1,8840,0,202601010
e,Pickup_jig_001_18,Pickup_jig_001,Unit,chara_kai_00301,1,8840,0,202601010
e,Pickup_jig_001_19,Pickup_jig_001,Unit,chara_ron_00001,1,8840,0,202601010
e,Pickup_jig_001_20,Pickup_jig_001,Unit,chara_aha_00101,1,8840,0,202601010
e,Pickup_jig_001_21,Pickup_jig_001,Unit,chara_jig_00101,1,8840,0,202601010
e,Pickup_jig_001_22,Pickup_jig_001,Unit,chara_dos_00001,1,8840,0,202601010
e,Pickup_jig_001_23,Pickup_jig_001,Unit,chara_dos_00101,1,8840,0,202601010
e,Pickup_jig_001_24,Pickup_jig_001,Unit,chara_gom_00101,1,32760,0,202601010
e,Pickup_jig_001_25,Pickup_jig_001,Unit,chara_bat_00001,1,32760,0,202601010
e,Pickup_jig_001_26,Pickup_jig_001,Unit,chara_bat_00101,1,32760,0,202601010
e,Pickup_jig_001_27,Pickup_jig_001,Unit,chara_kai_00101,1,32760,0,202601010
e,Pickup_jig_001_28,Pickup_jig_001,Unit,chara_sur_00201,1,32760,0,202601010
e,Pickup_jig_001_29,Pickup_jig_001,Unit,chara_sur_00301,1,32760,0,202601010
e,Pickup_jig_001_30,Pickup_jig_001,Unit,chara_aha_00001,1,32760,0,202601010
e,Pickup_jig_001_31,Pickup_jig_001,Unit,chara_jig_00301,1,32760,0,202601010
e,Pickup_jig_001_32,Pickup_jig_001,Unit,chara_mag_00101,1,32760,0,202601010
e,Pickup_jig_001_33,Pickup_jig_001,Unit,chara_sum_00201,1,32760,0,202601010
e,Pickup_jig_001_34,Pickup_jig_001,Unit,chara_aka_00001,1,54080,0,202601010
e,Pickup_jig_001_35,Pickup_jig_001,Unit,chara_aka_00101,1,54080,0,202601010
e,Pickup_jig_001_36,Pickup_jig_001,Unit,chara_rik_00001,1,54080,0,202601010
e,Pickup_jig_001_37,Pickup_jig_001,Unit,chara_ron_00101,1,54080,0,202601010
e,Pickup_jig_001_38,Pickup_jig_001,Unit,chara_dan_00001,1,54080,0,202601010
e,Pickup_jig_001_39,Pickup_jig_001,Unit,chara_chi_00001,1,54080,0,202601010
e,Pickup_jig_001_40,Pickup_jig_001,Unit,chara_kai_00001,1,54080,0,202601010
e,Pickup_jig_001_41,Pickup_jig_001,Unit,chara_sur_00001,1,54080,0,202601010
e,Pickup_jig_001_42,Pickup_jig_001,Unit,chara_sum_00001,1,54080,0,202601010
e,Pickup_jig_002_1,Pickup_jig_002,Unit,chara_jig_00001,1,7020,1,202601010
e,Pickup_jig_002_2,Pickup_jig_002,Unit,chara_spy_00101,1,1755,0,202601010
e,Pickup_jig_002_3,Pickup_jig_002,Unit,chara_spy_00201,1,1755,0,202601010
e,Pickup_jig_002_4,Pickup_jig_002,Unit,chara_spy_00001,1,1755,0,202601010
e,Pickup_jig_002_5,Pickup_jig_002,Unit,chara_dan_00002,1,1755,0,202601010
e,Pickup_jig_002_6,Pickup_jig_002,Unit,chara_gom_00001,1,1755,0,202601010
e,Pickup_jig_002_7,Pickup_jig_002,Unit,chara_chi_00002,1,1755,0,202601010
e,Pickup_jig_002_8,Pickup_jig_002,Unit,chara_kai_00002,1,1755,0,202601010
e,Pickup_jig_002_9,Pickup_jig_002,Unit,chara_yuw_00001,1,1755,0,202601010
e,Pickup_jig_002_10,Pickup_jig_002,Unit,chara_yuw_00101,1,1755,0,202601010
e,Pickup_jig_002_11,Pickup_jig_002,Unit,chara_sur_00101,1,1755,0,202601010
e,Pickup_jig_002_12,Pickup_jig_002,Unit,chara_mag_00001,1,1755,0,202601010
e,Pickup_jig_002_13,Pickup_jig_002,Unit,chara_sum_00101,1,1755,0,202601010
e,Pickup_jig_002_14,Pickup_jig_002,Unit,chara_jig_00501,1,14040,1,202601010
e,Pickup_jig_002_15,Pickup_jig_002,Unit,chara_dan_00101,1,8840,0,202601010
e,Pickup_jig_002_16,Pickup_jig_002,Unit,chara_chi_00201,1,8840,0,202601010
e,Pickup_jig_002_17,Pickup_jig_002,Unit,chara_chi_00301,1,8840,0,202601010
e,Pickup_jig_002_18,Pickup_jig_002,Unit,chara_kai_00301,1,8840,0,202601010
e,Pickup_jig_002_19,Pickup_jig_002,Unit,chara_ron_00001,1,8840,0,202601010
e,Pickup_jig_002_20,Pickup_jig_002,Unit,chara_aha_00101,1,8840,0,202601010
e,Pickup_jig_002_21,Pickup_jig_002,Unit,chara_jig_00101,1,8840,0,202601010
e,Pickup_jig_002_22,Pickup_jig_002,Unit,chara_dos_00001,1,8840,0,202601010
e,Pickup_jig_002_23,Pickup_jig_002,Unit,chara_dos_00101,1,8840,0,202601010
e,Pickup_jig_002_24,Pickup_jig_002,Unit,chara_gom_00101,1,32760,0,202601010
e,Pickup_jig_002_25,Pickup_jig_002,Unit,chara_bat_00001,1,32760,0,202601010
e,Pickup_jig_002_26,Pickup_jig_002,Unit,chara_bat_00101,1,32760,0,202601010
e,Pickup_jig_002_27,Pickup_jig_002,Unit,chara_kai_00101,1,32760,0,202601010
e,Pickup_jig_002_28,Pickup_jig_002,Unit,chara_sur_00201,1,32760,0,202601010
e,Pickup_jig_002_29,Pickup_jig_002,Unit,chara_sur_00301,1,32760,0,202601010
e,Pickup_jig_002_30,Pickup_jig_002,Unit,chara_aha_00001,1,32760,0,202601010
e,Pickup_jig_002_31,Pickup_jig_002,Unit,chara_jig_00301,1,32760,0,202601010
e,Pickup_jig_002_32,Pickup_jig_002,Unit,chara_mag_00101,1,32760,0,202601010
e,Pickup_jig_002_33,Pickup_jig_002,Unit,chara_sum_00201,1,32760,0,202601010
e,Pickup_jig_002_34,Pickup_jig_002,Unit,chara_aka_00001,1,54080,0,202601010
e,Pickup_jig_002_35,Pickup_jig_002,Unit,chara_aka_00101,1,54080,0,202601010
e,Pickup_jig_002_36,Pickup_jig_002,Unit,chara_rik_00001,1,54080,0,202601010
e,Pickup_jig_002_37,Pickup_jig_002,Unit,chara_ron_00101,1,54080,0,202601010
e,Pickup_jig_002_38,Pickup_jig_002,Unit,chara_dan_00001,1,54080,0,202601010
e,Pickup_jig_002_39,Pickup_jig_002,Unit,chara_chi_00001,1,54080,0,202601010
e,Pickup_jig_002_40,Pickup_jig_002,Unit,chara_kai_00001,1,54080,0,202601010
e,Pickup_jig_002_41,Pickup_jig_002,Unit,chara_sur_00001,1,54080,0,202601010
e,Pickup_jig_002_42,Pickup_jig_002,Unit,chara_sum_00001,1,54080,0,202601010
