ENABLE,id,group_id,resource_type,resource_id,resource_amount,weight,pickup,release_key
e,jig_001_001,Pickup_jig_001,Unit,chara_jig_00401,1,7020,1,202601010
e,jig_001_002,Pickup_jig_001,Unit,chara_spy_00101,1,1755,0,202601010
e,jig_001_003,Pickup_jig_001,Unit,chara_spy_00201,1,1755,0,202601010
e,jig_001_004,Pickup_jig_001,Unit,chara_spy_00001,1,1755,0,202601010
e,jig_001_005,Pickup_jig_001,Unit,chara_dan_00002,1,1755,0,202601010
e,jig_001_006,Pickup_jig_001,Unit,chara_gom_00001,1,1755,0,202601010
e,jig_001_007,Pickup_jig_001,Unit,chara_chi_00002,1,1755,0,202601010
e,jig_001_008,Pickup_jig_001,Unit,chara_kai_00002,1,1755,0,202601010
e,jig_001_009,Pickup_jig_001,Unit,chara_yuw_00001,1,1755,0,202601010
e,jig_001_010,Pickup_jig_001,Unit,chara_yuw_00101,1,1755,0,202601010
e,jig_001_011,Pickup_jig_001,Unit,chara_sur_00101,1,1755,0,202601010
e,jig_001_012,Pickup_jig_001,Unit,chara_mag_00001,1,1755,0,202601010
e,jig_001_013,Pickup_jig_001,Unit,chara_sum_00101,1,1755,0,202601010
e,jig_001_014,Pickup_jig_001,Unit,chara_jig_00501,1,14040,1,202601010
e,jig_001_015,Pickup_jig_001,Unit,chara_dan_00101,1,8840,0,202601010
e,jig_001_016,Pickup_jig_001,Unit,chara_chi_00201,1,8840,0,202601010
e,jig_001_017,Pickup_jig_001,Unit,chara_chi_00301,1,8840,0,202601010
e,jig_001_018,Pickup_jig_001,Unit,chara_kai_00301,1,8840,0,202601010
e,jig_001_019,Pickup_jig_001,Unit,chara_ron_00001,1,8840,0,202601010
e,jig_001_020,Pickup_jig_001,Unit,chara_aha_00101,1,8840,0,202601010
e,jig_001_021,Pickup_jig_001,Unit,chara_jig_00101,1,8840,0,202601010
e,jig_001_022,Pickup_jig_001,Unit,chara_dos_00001,1,8840,0,202601010
e,jig_001_023,Pickup_jig_001,Unit,chara_dos_00101,1,8840,0,202601010
e,jig_001_024,Pickup_jig_001,Unit,chara_gom_00101,1,32760,0,202601010
e,jig_001_025,Pickup_jig_001,Unit,chara_bat_00001,1,32760,0,202601010
e,jig_001_026,Pickup_jig_001,Unit,chara_bat_00101,1,32760,0,202601010
e,jig_001_027,Pickup_jig_001,Unit,chara_kai_00101,1,32760,0,202601010
e,jig_001_028,Pickup_jig_001,Unit,chara_sur_00201,1,32760,0,202601010
e,jig_001_029,Pickup_jig_001,Unit,chara_sur_00301,1,32760,0,202601010
e,jig_001_030,Pickup_jig_001,Unit,chara_aha_00001,1,32760,0,202601010
e,jig_001_031,Pickup_jig_001,Unit,chara_jig_00301,1,32760,0,202601010
e,jig_001_032,Pickup_jig_001,Unit,chara_mag_00101,1,32760,0,202601010
e,jig_001_033,Pickup_jig_001,Unit,chara_sum_00201,1,32760,0,202601010
e,jig_001_034,Pickup_jig_001,Unit,chara_aka_00001,1,54080,0,202601010
e,jig_001_035,Pickup_jig_001,Unit,chara_aka_00101,1,54080,0,202601010
e,jig_001_036,Pickup_jig_001,Unit,chara_rik_00001,1,54080,0,202601010
e,jig_001_037,Pickup_jig_001,Unit,chara_ron_00101,1,54080,0,202601010
e,jig_001_038,Pickup_jig_001,Unit,chara_dan_00001,1,54080,0,202601010
e,jig_001_039,Pickup_jig_001,Unit,chara_chi_00001,1,54080,0,202601010
e,jig_001_040,Pickup_jig_001,Unit,chara_kai_00001,1,54080,0,202601010
e,jig_001_041,Pickup_jig_001,Unit,chara_sur_00001,1,54080,0,202601010
e,jig_001_042,Pickup_jig_001,Unit,chara_sum_00001,1,54080,0,202601010
e,fixd_jig_001_001,fixd_Pickup_jig_001,Unit,chara_jig_00401,1,175500,1,202601010
e,fixd_jig_001_002,fixd_Pickup_jig_001,Unit,chara_spy_00101,1,43875,0,202601010
e,fixd_jig_001_003,fixd_Pickup_jig_001,Unit,chara_spy_00201,1,43875,0,202601010
e,fixd_jig_001_004,fixd_Pickup_jig_001,Unit,chara_spy_00001,1,43875,0,202601010
e,fixd_jig_001_005,fixd_Pickup_jig_001,Unit,chara_dan_00002,1,43875,0,202601010
e,fixd_jig_001_006,fixd_Pickup_jig_001,Unit,chara_gom_00001,1,43875,0,202601010
e,fixd_jig_001_007,fixd_Pickup_jig_001,Unit,chara_chi_00002,1,43875,0,202601010
e,fixd_jig_001_008,fixd_Pickup_jig_001,Unit,chara_kai_00002,1,43875,0,202601010
e,fixd_jig_001_009,fixd_Pickup_jig_001,Unit,chara_yuw_00001,1,43875,0,202601010
