テーブル,列,現在のパターン,提案パターン
MstComebackBonus,id,comeback_1_[連番],comeback_bonus_[mst_comeback_bonus_schedule_id]_[login_day_count]
MstDailyBonusReward,id,comeback_reward_1_[連番],comeback_reward_1_[release_key]_[連番]
MstDummyOutpost,id,[連番],dummy_outpost_[mst_dummy_user_id]_[mst_outpost_enhancement_id]
MstDummyUserI18n,id,[連番],dummy_user_[mst_dummy_user_id]_[language]
MstDummyUserUnit,id,[連番],dummy_user_unit_[mst_dummy_user_id]_[mst_unit_id]
MstEventBonusUnit,id,[連番],event_bonus_unit_[event_bonus_group_id]_[連番]
MstExchangeI18n,id,[連番],exchange_[mst_exchange_id]_[language]
MstFragmentBox,id,fragment_box_[連番],fragment_box_[mst_item_id]
MstIdleIncentiveItem,id,[連番],idle_incentive_item_[mst_idle_incentive_item_group_id]_[連番]
MstIdleIncentiveReward,id,mst_idle_incentive_reward_[連番],idle_incentive_reward_[mst_stage_id]
MstInGameSpecialRuleUnitStatus,id,[連番],ingame_special_rule_unit_status_[group_id]_[連番]
MstItemRarityTrade,id,rarity_trade_[連番],item_rarity_trade_[rarity]
MstItemTransition,id,[連番],item_transition_[mst_item_id]
MstMissionAchievement,id,achievement_2_[連番],achievement_[release_key]_[連番]
MstMissionAchievementDependency,id,[連番],mission_achievement_dependency_[group_id]_[連番]
MstMissionDailyBonus,id,daily_bonus_[連番],mission_daily_bonus_[mission_daily_bonus_type]_[login_day_count]
MstMissionEventDependency,id,[連番],mission_event_dependency_[group_id]_[連番]
MstMissionLimitedTerm,id,limited_term_[連番],mission_limited_term_[progress_group_key]_[連番]
MstMissionReward,id,mission_reward_[連番],mission_reward_[group_id]_[連番]
MstNgWord,id,ng_[連番],ng_[release_key]_[連番]
MstOutpostEnhancement,id,enhance_1_[連番],outpost_enhancement_[mst_outpost_id]_[outpost_enhancement_type]
MstPackContent,id,[連番],pack_content_[mst_pack_id]_[連番]
MstPvpDummy,id,pvp_dummy_[連番],pvp_dummy_[mst_dummy_user_id]
MstQuestBonusUnit,id,[連番],quest_bonus_unit_[mst_quest_id]_[mst_unit_id]
MstQuestEventBonusSchedule,id,[連番],quest_event_bonus_schedule_[mst_quest_id]_[event_bonus_group_id]_[連番]
MstResultTipI18n,id,[連番],result_tip_[release_key]_[連番]_[language]
MstShopPass,id,premium_pass_[連番],premium_pass_[opr_product_id]
MstShopPassEffect,id,premium_pass_01_effect_[連番],[mst_shop_pass_id]_effect_[連番]
MstSpecialAttackI18n,id,[連番],special_attack_[mst_unit_id]_[連番]_[language]
MstSpeechBalloonI18n,id,[連番],speech_balloon_[mst_unit_id]_[release_key]_[連番]_[language]
MstStageEnhanceRewardParam,id,[連番],stage_enhance_reward_param_[min_threshold_score]
MstStageEventReward,id,[連番],stage_event_reward_[mst_stage_id]_[連番]
MstStageEventSetting,id,[連番],stage_event_setting_[mst_stage_id]
MstStageReward,id,[連番],stage_reward_[mst_stage_id]_[連番]
MstStoreProduct,id,[連番],"store_product_mobile_[release_key]_[連番]：AppleStore,GooglePlay
store_product_webstore_[release_key]_[連番]：Webstore
store_product_[release_key]_[連番]：全て"
MstTutorialTipI18n,id,[連番],tutorial_tip_[mst_tutorial_id]_[連番]_[language]
MstUnitEncyclopediaEffect,id,unit_encyclopedia_effect_[連番],[mst_unit_encyclopedia_reward_id]_effect_[連番]
MstUnitEncyclopediaReward,id,unit_encyclopedia_reward_rank_[連番],unit_encyclopedia_reward_[rank]
MstUnitFragmentConvert,id,[連番],unit_fragment_convert_[unit_label]
MstUnitGradeCoefficient,id,[連番],unit_grade_coefficient_[unit_label]_[grade_level]
MstUnitGradeUp,id,[連番],unit_grade_up_[unit_label]_[grade_level]
MstUnitLevelUp,id,[連番],unit_level_up_[unit_label]_[level]
MstUnitRankCoefficient,id,[連番],unit_rank_coefficient_[rank]
MstUnitRankUp,id,[連番],unit_rank_up_[unit_label]_[rank]
MstUnitRoleBonus,id,[連番],unit_role_bonus_[role_type]
MstUserLevel,id,[連番],user_level_[level]
MstUserLevelBonus,id,[連番],user_level_bonus_[level]
MstUserLevelBonusGroup,id,[連番],user_level_bonus_group_[mst_user_level_bonus_group_id]_[連番]
MstWhiteWord,id,wh_[連番],wh_[release_key]_[連番]
OprGachaDisplayUnitI18n,id,[連番],gacha_display_unit_[opr_gacha_id]_[mst_unit_id]_[language]
OprGachaUpper,id,[連番],gacha_upper_[upper_group]_[upper_type]
OprGachaUseResource,id,[連番],gacha_use_resource_[opr_gacha_id]_[連番]
OprProduct,id,[連番],[mst_store_product_id]
