ENABLE,id,mst_auto_player_sequence_id,mst_auto_player_sequence_set_id,bgm_asset_key,boss_bgm_asset_key,loop_background_asset_key,player_outpost_asset_key,mst_page_id,mst_enemy_outpost_id,mst_defense_target_id,boss_mst_enemy_stage_parameter_id,boss_count,normal_enemy_hp_coef,normal_enemy_attack_coef,normal_enemy_speed_coef,boss_enemy_hp_coef,boss_enemy_attack_coef,boss_enemy_speed_coef,release_key
e,event_spy1_challenge01_00005,event_spy1_challenge01_00005,event_spy1_challenge01_00005,SSE_SBG_003_002,SSE_SBG_003_004,,,event_spy1_challenge01_00005,event_spy1_challenge01_00005,,1,,1,1,1,,,,999999999
e,event_spy1_challenge02_00001,event_spy1_challenge02_00001,event_spy1_challenge02_00001,SSE_SBG_003_002,SSE_SBG_003_004,,,event_spy1_challenge02_00001,event_spy1_challenge02_00001,,e_spy_00101_spy1challenge_Normal_Green,1,1.5,1.2,1,,,,999999999
e,event_spy1_challenge03_00001,event_spy1_challenge03_00001,event_spy1_challenge03_00001,SSE_SBG_003_004,SSE_SBG_003_004,,,event_spy1_challenge03_00001,event_spy1_challenge03_00001,,c_spy_00501_spy1challenge_Boss_Blue,1,2,1.5,1,10,1.5,,999999999
e,event_aka1_challenge01_00001,event_aka1_challenge01_00001,event_aka1_challenge01_00001,SSE_SBG_003_001,SSE_SBG_003_004,,,event_aka1_challenge01_00001,event_aka1_challenge01_00001,,1,,1,1,1,,,,999999999
e,event_aka1_challenge02_00001,event_aka1_challenge02_00001,event_aka1_challenge02_00001,SSE_SBG_003_001,SSE_SBG_003_004,,,event_aka1_challenge02_00001,event_aka1_challenge02_00001,,c_aka_00101_general_vh_Boss_Red,1,1.5,1.2,1,,,,999999999
e,event_aka1_challenge03_00001,event_aka1_challenge03_00001,event_aka1_challenge03_00001,SSE_SBG_003_004,SSE_SBG_003_004,,,event_aka1_challenge03_00001,event_aka1_challenge03_00001,,c_aka_00001_general_vh_Boss_Yellow,1,2,1.5,1,10,1.5,,999999999
e,event_rik1_challenge01_00001,event_rik1_challenge01_00001,event_rik1_challenge01_00001,SSE_SBG_003_001,SSE_SBG_003_004,,,event_rik1_challenge01_00001,event_rik1_challenge01_00001,,1,,1,1,1,,,,999999999
e,event_rik1_challenge02_00001,event_rik1_challenge02_00001,event_rik1_challenge02_00001,SSE_SBG_003_001,SSE_SBG_003_004,,,event_rik1_challenge02_00001,event_rik1_challenge02_00001,,c_rik_00101_general_Boss_Red,1,1.5,1.2,1,,,,999999999
e,event_rik1_challenge03_00001,event_rik1_challenge03_00001,event_rik1_challenge03_00001,SSE_SBG_003_004,SSE_SBG_003_004,,,event_rik1_challenge03_00001,event_rik1_challenge03_00001,,c_rik_00001_general_Boss_Red,1,2,1.5,1,10,1.5,,999999999
e,event_dan1_challenge01_00001,event_dan1_challenge01_00001,event_dan1_challenge01_00001,SSE_SBG_003_001,SSE_SBG_003_004,,,event_dan1_challenge01_00001,event_dan1_challenge01_00001,,1,,1,1,1,,,,999999999
e,event_dan1_challenge02_00001,event_dan1_challenge02_00001,event_dan1_challenge02_00001,SSE_SBG_003_001,SSE_SBG_003_004,,,event_dan1_challenge02_00001,event_dan1_challenge02_00001,,c_dan_00301_dan1challenge_Normal_Yellow,1,1.5,1.2,1,,,,999999999
e,event_dan1_challenge03_00001,event_dan1_challenge03_00001,event_dan1_challenge03_00001,SSE_SBG_003_004,SSE_SBG_003_004,,,event_dan1_challenge03_00001,event_dan1_challenge03_00001,,c_dan_00002_dan1challenge_Boss_Yellow,1,2,1.5,1,10,1.5,,999999999
e,event_gom1_challenge01_00001,event_gom1_challenge01_00001,event_gom1_challenge01_00001,SSE_SBG_003_001,SSE_SBG_003_004,,,event_gom1_challenge01_00001,event_gom1_challenge01_00001,,1,,1,1,1,,,,999999999
e,event_gom1_challenge02_00001,event_gom1_challenge02_00001,event_gom1_challenge02_00001,SSE_SBG_003_001,SSE_SBG_003_004,,,event_gom1_challenge02_00001,event_gom1_challenge02_00001,,e_gom_00401_general_n_Boss_Yellow,1,1.5,1.2,1,,,,999999999
e,event_gom1_challenge03_00001,event_gom1_challenge03_00001,event_gom1_challenge03_00001,SSE_SBG_003_004,SSE_SBG_003_004,,,event_gom1_challenge03_00001,event_gom1_challenge03_00001,,c_gom_00201_general_vh_Boss_Yellow,1,2,1.5,1,10,1.5,,999999999
