ENABLE,id,mst_page_id,row,height,koma_line_layout_asset_key,koma1_asset_key,koma1_width,koma1_back_ground_offset,koma1_effect_type,koma1_effect_parameter1,koma1_effect_parameter2,koma1_effect_target_side,koma1_effect_target_colors,koma1_effect_target_roles,koma2_asset_key,koma2_width,koma2_back_ground_offset,koma2_effect_type,koma2_effect_parameter1,koma2_effect_parameter2,koma2_effect_target_side,koma2_effect_target_colors,koma2_effect_target_roles,koma3_asset_key,koma3_width,koma3_back_ground_offset,koma3_effect_type,koma3_effect_parameter1,koma3_effect_parameter2,koma3_effect_target_side,koma3_effect_target_colors,koma3_effect_target_roles,koma4_asset_key,koma4_width,koma4_back_ground_offset,koma4_effect_type,koma4_effect_parameter1,koma4_effect_parameter2,koma4_effect_target_side,koma4_effect_target_colors,koma4_effect_target_roles,release_key
e,dungeon_spy_01_1,dungeon_spy_01,1,0.52,3,spy_001,0.4,0,None,0,0,All,All,All,spy_002,0.6,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_spy_01_2,dungeon_spy_01,2,0.52,1,spy_003,1,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_spy_01_3,dungeon_spy_01,3,0.52,4,spy_004,0.5,0,AttackPowerUp,30,0,Ally,All,All,spy_005,0.5,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_spy_02_1,dungeon_spy_02,1,0.52,7,spy_006,0.3,0,None,0,0,All,All,All,spy_007,0.3,0,None,0,0,All,All,All,spy_008,0.4,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_spy_02_2,dungeon_spy_02,2,0.52,1,spy_009,1,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_spy_03_1,dungeon_spy_03,1,0.52,1,spy_010,1,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_aka_01_1,dungeon_aka_01,1,0.52,1,aka_001,1,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_aka_01_2,dungeon_aka_01,2,0.52,5,aka_002,0.6,0,None,0,0,All,All,All,aka_003,0.4,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_aka_02_1,dungeon_aka_02,1,0.52,3,aka_004,0.4,0,None,0,0,All,All,All,aka_005,0.6,0,AttackPowerDown,20,0,Enemy,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_aka_02_2,dungeon_aka_02,2,0.52,1,aka_006,1,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_aka_02_3,dungeon_aka_02,3,0.52,8,aka_007,0.3,0,None,0,0,All,All,All,aka_008,0.4,0,None,0,0,All,All,All,aka_009,0.3,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_aka_03_1,dungeon_aka_03,1,0.52,1,aka_010,1,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_rik_01_1,dungeon_rik_01,1,0.52,4,rik_001,0.5,0,None,0,0,All,All,All,rik_002,0.5,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_rik_01_2,dungeon_rik_01,2,0.52,1,rik_003,1,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_rik_02_1,dungeon_rik_02,1,0.52,1,rik_004,1,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_rik_02_2,dungeon_rik_02,2,0.52,3,rik_005,0.4,0,None,0,0,All,All,All,rik_006,0.6,0,SlipDamage,1,0,Enemy,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_rik_02_3,dungeon_rik_02,3,0.52,1,rik_007,1,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_rik_03_1,dungeon_rik_03,1,0.52,1,rik_008,1,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_dan_01_1,dungeon_dan_01,1,0.52,1,dan_001,1,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_dan_01_2,dungeon_dan_01,2,0.52,5,dan_002,0.6,0,None,0,0,All,All,All,dan_003,0.4,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_dan_01_3,dungeon_dan_01,3,0.52,1,dan_004,1,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_dan_02_1,dungeon_dan_02,1,0.52,7,dan_005,0.3,0,None,0,0,All,All,All,dan_006,0.4,0,Poison,1,0,Enemy,All,All,dan_007,0.3,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_dan_02_2,dungeon_dan_02,2,0.52,1,dan_008,1,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_dan_03_1,dungeon_dan_03,1,0.52,1,dan_009,1,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_gom_01_1,dungeon_gom_01,1,0.52,3,gom_001,0.4,0,None,0,0,All,All,All,gom_002,0.6,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_gom_01_2,dungeon_gom_01,2,0.52,1,gom_003,1,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_gom_02_1,dungeon_gom_02,1,0.52,1,gom_004,1,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_gom_02_2,dungeon_gom_02,2,0.52,4,gom_005,0.5,0,Gust,1,0,Ally,All,All,gom_006,0.5,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_gom_02_3,dungeon_gom_02,3,0.52,1,gom_007,1,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_gom_03_1,dungeon_gom_03,1,0.52,1,gom_008,1,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_chi_01_1,dungeon_chi_01,1,0.52,5,chi_001,0.6,0,None,0,0,All,All,All,chi_002,0.4,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_chi_01_2,dungeon_chi_01,2,0.52,1,chi_003,1,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_chi_01_3,dungeon_chi_01,3,0.52,1,chi_004,1,0,AttackPowerUp,20,0,Ally,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_chi_02_1,dungeon_chi_02,1,0.52,8,chi_005,0.3,0,None,0,0,All,All,All,chi_006,0.4,0,None,0,0,All,All,All,chi_007,0.3,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_chi_02_2,dungeon_chi_02,2,0.52,1,chi_008,1,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_chi_03_1,dungeon_chi_03,1,0.52,1,chi_009,1,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_mag_01_1,dungeon_mag_01,1,0.52,1,mag_001,1,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_mag_01_2,dungeon_mag_01,2,0.52,4,mag_002,0.5,0,None,0,0,All,All,All,mag_003,0.5,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_mag_02_1,dungeon_mag_02,1,0.52,3,mag_004,0.4,0,None,0,0,All,All,All,mag_005,0.6,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_mag_02_2,dungeon_mag_02,2,0.52,1,mag_006,1,0,SlipDamage,1,0,Enemy,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_mag_02_3,dungeon_mag_02,3,0.52,1,mag_007,1,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_mag_03_1,dungeon_mag_03,1,0.52,1,mag_008,1,0,None,0,0,All,All,All,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,,,__NULL__,None,,,__NULL__,,,202509010
e,dungeon_dos_01_1,dungeon_dos_01,1,1,1,dos_001,1,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202509010,,,
e,dungeon_dos_01_2,dungeon_dos_01,2,1,3,dos_002,0.5,,None,,,,,,,dos_003,0.5,,AttackPowerUp,1.3,,Enemy,,,,,,,,,,,,,,,,,,,202509010,
e,dungeon_dos_02_1,dungeon_dos_02,1,1,2,dos_004,0.6,,None,,,,,,,dos_005,0.4,,Poison,500,5000,Enemy,,,,,,,,,,,,,,,,,,,202509010,
e,dungeon_dos_02_2,dungeon_dos_02,2,1,7,dos_006,0.4,,None,,,,,,,dos_007,0.3,,None,,,,,,,dos_008,0.3,,AttackPowerUp,1.4,,Enemy,,,,,,,,,,
e,dungeon_dos_02_3,dungeon_dos_02,3,1,1,dos_009,1,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202509010,,,
e,dungeon_dos_03_1,dungeon_dos_03,1,1,1,dos_010,1,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202509010,,,
e,dungeon_bat_01_1,dungeon_bat_01,1,1,1,bat_001,1,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202509010,,,
