ENABLE,id,sequence_set_id,sequence_group_id,sequence_element_id,priority_sequence_element_id,condition_type,condition_value,action_type,action_value,action_value2,summon_count,summon_interval,summon_animation_type,summon_position,move_start_condition_type,move_start_condition_value,move_stop_condition_type,move_stop_condition_value,move_restart_condition_type,move_restart_condition_value,move_loop_count,is_summon_unit_outpost_damage_invalidation,last_boss_trigger,aura_type,death_type,enemy_hp_coef,enemy_attack_coef,enemy_speed_coef,override_drop_battle_point,defeated_score,action_delay,deactivation_condition_type,deactivation_condition_value,release_key
e,normal_you_00001_1,normal_you_00001,,1,,InitialSummon,0,SummonEnemy,c_you_00201_you1_normal01_Boss_Red,,1,0,None,1.7,Damage,1,None,,None,,0,,Boss,Normal,1,1,1,,0,,None,,999999999
e,normal_you_00001_2,normal_you_00001,,2,,ElapsedTime,200,SummonEnemy,e_glo_00001_general_n_Normal_Colorless,,5,700,None,,None,,None,,None,,0,,,Default,Normal,1.5,1.5,1,,0,,None,,999999999
e,normal_you_00001_3,normal_you_00001,,3,,ElapsedTime,200,SummonEnemy,e_you_00001_general_n_Normal_Colorless,,2,1500,None,,None,,None,,None,,0,,,Default,Normal,1,1,1,,0,,None,,999999999
e,normal_you_00001_4,normal_you_00001,,4,,ElapsedTime,1500,SummonEnemy,e_glo_00001_general_n_Normal_Colorless,,5,700,None,,None,,None,,None,,0,,,Default,Normal,1.5,1.5,1,,0,,None,,999999999
e,normal_you_00001_5,normal_you_00001,,5,,ElapsedTime,2000,SummonEnemy,e_you_00101_general_n_Normal_Colorless,,2,1200,None,,None,,None,,None,,0,,,Default,Normal,1,1,1,,0,,None,,999999999
e,normal_you_00001_6,normal_you_00001,,6,,FriendUnitDead,8,SummonEnemy,c_you_00001_general_n_Normal_Red,,2,2000,None,,None,,None,,None,,0,,,Default,Normal,1.2,1.2,1,,0,,None,,999999999
e,normal_you_00001_7,normal_you_00001,,7,,FriendUnitDead,8,SummonEnemy,c_you_00101_general_n_Normal_Red,,2,2000,None,,None,,None,,None,,0,,,Default,Normal,1.2,1.2,1,,0,,None,,999999999
e,normal_you_00001_8,normal_you_00001,,8,,FriendUnitDead,10,SummonEnemy,e_glo_00001_general_n_Normal_Colorless,,6,600,None,,None,,None,,None,,0,,,Default,Normal,2,2,1,,0,,None,,999999999
e,normal_you_00001_9,normal_you_00001,,9,,FriendUnitDead,10,SummonEnemy,e_you_00001_general_n_Normal_Colorless,,2,1500,None,,None,,None,,None,,0,,,Default,Normal,1.2,1.2,1,,0,,None,,999999999
e,normal_you_00001_10,normal_you_00001,,10,,FriendUnitDead,18,SummonEnemy,c_you_00001_general_n_Normal_Red,,3,1500,None,,None,,None,,None,,0,,,Default,Normal,1.5,1.5,1,,0,,None,,999999999
e,normal_you_00001_11,normal_you_00001,,11,,FriendUnitDead,18,SummonEnemy,c_you_00101_general_n_Normal_Red,,3,1500,None,,None,,None,,None,,0,,,Default,Normal,1.5,1.5,1,,0,,None,,999999999
e,normal_you_00001_12,normal_you_00001,,12,,FriendUnitDead,20,SummonEnemy,e_you_00101_general_n_Normal_Colorless,,3,1000,None,,None,,None,,None,,0,,,Default,Normal,1.5,1.5,1,,0,,None,,999999999
e,normal_you_00001_13,normal_you_00001,,13,,FriendUnitDead,22,SummonEnemy,e_glo_00001_general_n_Normal_Colorless,,8,500,None,,None,,None,,None,,0,,,Default,Normal,2.5,2.5,1,,0,,None,,999999999
