ENABLE,id,release_key,group_id,resource_type,resource_id,resource_amount,sort_order,備考
e,mission_reward_441,202512020,event_osh_00001_daily_bonus_01,Item,ticket_osh_10000,1,1,【推しの子】SSR確定ガシャ
e,mission_reward_442,202512020,event_osh_00001_daily_bonus_02,FreeDiamond,,150,1,プリズム
e,mission_reward_443,202512020,event_osh_00001_daily_bonus_03,Item,item_glo_00001,200,1,いいジャンメダル【赤】
e,mission_reward_444,202512020,event_osh_00001_daily_bonus_04,Item,ticket_glo_00003,1,1,ピックアップガシャチケット
e,mission_reward_445,202512020,event_osh_00001_daily_bonus_05,FreeDiamond,,150,1,プリズム
e,mission_reward_446,202512020,event_osh_00001_daily_bonus_06,Item,memoryfragment_glo_00001,5,1,メモリーフラグメント・初級
e,mission_reward_447,202512020,event_osh_00001_daily_bonus_07,Item,ticket_glo_00003,1,1,ピックアップガシャチケット
e,mission_reward_448,202512020,event_osh_00001_daily_bonus_08,FreeDiamond,,100,1,プリズム
e,mission_reward_449,202512020,event_osh_00001_daily_bonus_09,Coin,,5000,1,コイン
e,mission_reward_450,202512020,event_osh_00001_daily_bonus_10,Item,ticket_glo_00002,1,1,スペシャルガシャチケット
e,mission_reward_451,202512020,event_osh_00001_daily_bonus_11,Item,memoryfragment_glo_00002,4,1,メモリーフラグメント・中級
e,mission_reward_452,202512020,event_osh_00001_daily_bonus_12,Coin,,5000,1,コイン
e,mission_reward_453,202512020,event_osh_00001_daily_bonus_13,FreeDiamond,,100,1,プリズム
e,mission_reward_454,202512020,event_osh_00001_daily_bonus_14,Item,memoryfragment_glo_00001,5,1,メモリーフラグメント・初級
e,mission_reward_455,202512020,event_osh_00001_daily_bonus_15,Item,ticket_glo_00002,1,1,スペシャルガシャチケット
e,mission_reward_460,202512020,achievement_2_101,FreeDiamond,,50,1,アチーブメントミッション
e,mission_reward_461,202512020,achievement_2_102,FreeDiamond,,50,1,アチーブメントミッション
e,mission_reward_462,202512020,achievement_2_103,FreeDiamond,,50,1,アチーブメントミッション
e,mission_reward_527,202512020,osh_00001_limited_term_1,Coin,,2000,1,降臨バトル「ファーストライブ」に5回挑戦しよう！
e,mission_reward_528,202512020,osh_00001_limited_term_2,FreeDiamond,,20,1,降臨バトル「ファーストライブ」に10回挑戦しよう！
e,mission_reward_529,202512020,osh_00001_limited_term_3,Coin,,3000,1,降臨バトル「ファーストライブ」に20回挑戦しよう！
e,mission_reward_530,202512020,osh_00001_limited_term_4,FreeDiamond,,30,1,降臨バトル「ファーストライブ」に25回挑戦しよう！
e,mission_reward_531,202512020,osh_00001_event_reward_1,Item,ticket_glo_10001,2,1,推しの子ミッション(賀正チケット)
e,mission_reward_532,202512020,osh_00001_event_reward_2,Item,ticket_glo_10001,3,1,推しの子ミッション(賀正チケット)
e,mission_reward_533,202512020,osh_00001_event_reward_3,Item,ticket_glo_10001,3,1,推しの子ミッション(賀正チケット)
e,mission_reward_534,202512020,osh_00001_event_reward_4,Item,ticket_glo_10001,3,1,推しの子ミッション(賀正チケット)
e,mission_reward_535,202512020,osh_00001_event_reward_5,FreeDiamond,,50,1,推しの子ミッション(賀正チケット)
e,mission_reward_536,202512020,osh_00001_event_reward_6,Item,ticket_glo_10001,3,1,推しの子ミッション(賀正チケット)
e,mission_reward_537,202512020,osh_00001_event_reward_7,Item,ticket_glo_10001,3,1,推しの子ミッション(賀正チケット)
e,mission_reward_538,202512020,osh_00001_event_reward_8,FreeDiamond,,50,1,推しの子ミッション(賀正チケット)
e,mission_reward_539,202512020,osh_00001_event_reward_9,Item,ticket_glo_10001,3,1,推しの子ミッション(賀正チケット)
e,mission_reward_540,202512020,osh_00001_event_reward_10,Item,ticket_glo_10001,3,1,推しの子ミッション(賀正チケット)
e,mission_reward_541,202512020,osh_00001_event_reward_11,FreeDiamond,,100,1,推しの子ミッション(賀正チケット)
e,mission_reward_542,202512020,osh_00001_event_reward_12,Item,ticket_glo_10001,3,1,推しの子ミッション(賀正チケット)
e,mission_reward_543,202512020,osh_00001_event_reward_13,Item,ticket_glo_10001,3,1,推しの子ミッション(賀正チケット)
e,mission_reward_544,202512020,osh_00001_event_reward_14,Item,ticket_glo_10001,3,1,推しの子ミッション(賀正チケット)
