ENABLE,id,mst_pack_id,resource_type,resource_id,resource_amount,is_bonus,display_order,release_key
e,79,event_item_pack_7,Item,memoryfragment_glo_00001,50,,4,202512020
e,80,event_item_pack_7,Item,memoryfragment_glo_00002,30,,3,202512020
e,81,event_item_pack_7,Item,memoryfragment_glo_00003,3,,2,202512020
e,82,event_item_pack_7,Item,ticket_glo_00003,10,,1,202512020
e,83,event_item_pack_8,Item,memory_glo_00001,750,,7,202512020
e,84,event_item_pack_8,Item,memory_glo_00002,750,,6,202512020
e,85,event_item_pack_8,Item,memory_glo_00003,750,,5,202512020
e,86,event_item_pack_8,Item,memory_glo_00004,750,,4,202512020
e,87,event_item_pack_8,Item,memory_glo_00005,750,,3,202512020
e,88,event_item_pack_8,Item,ticket_glo_00004,1,,2,202512020
e,89,event_item_pack_8,Coin,,10000,1,1,202512020
e,90,event_item_pack_9,Item,memoryfragment_glo_00001,120,,5,202512020
e,91,event_item_pack_9,Item,memoryfragment_glo_00002,75,,4,202512020
e,92,event_item_pack_9,Item,memoryfragment_glo_00003,10,,3,202512020
e,93,event_item_pack_9,Item,ticket_glo_00004,2,,2,202512020
e,94,event_item_pack_9,Coin,,30000,1,1,202512020
e,95,event_item_pack_10,Item,ticket_glo_00203,1,,4,202512020
e,96,event_item_pack_10,Item,box_glo_00008,50,,3,202512020
e,97,event_item_pack_10,Item,ticket_glo_00004,5,,2,202512020
e,98,event_item_pack_10,Coin,,50000,1,1,202512020
e,99,event_item_pack_11,Item,ticket_glo_00203,1,,13,202512020
e,100,event_item_pack_11,Item,box_glo_00008,200,,12,202512020
e,101,event_item_pack_11,Item,ticket_glo_00004,10,,11,202512020
e,102,event_item_pack_11,Item,ticket_glo_00003,10,,10,202512020
e,103,event_item_pack_11,Item,memoryfragment_glo_00001,120,,9,202512020
e,104,event_item_pack_11,Item,memoryfragment_glo_00002,75,,8,202512020
e,105,event_item_pack_11,Item,memoryfragment_glo_00003,10,,7,202512020
e,106,event_item_pack_11,Item,memory_glo_00001,1950,,6,202512020
e,107,event_item_pack_11,Item,memory_glo_00002,1950,,5,202512020
e,108,event_item_pack_11,Item,memory_glo_00003,1950,,4,202512020
e,109,event_item_pack_11,Item,memory_glo_00004,1950,,3,202512020
e,110,event_item_pack_11,Item,memory_glo_00005,1950,,2,202512020
e,111,event_item_pack_11,Coin,,150000,1,1,202512020
e,117,monthly_item_pack_2,Item,memoryfragment_glo_00001,50,,3,202512020
e,118,monthly_item_pack_2,Item,memoryfragment_glo_00002,30,,2,202512020
e,119,monthly_item_pack_2,Item,memoryfragment_glo_00003,3,,1,202512020
