mst_enemy_character_id,stage_param_id,character_unit_kind,role_type,hp,attack_power,content_type,sequence_set_id
chara_aka_00001,c_aka_00001_general_h_Normal_Red,Normal,Defense,10000,100,mainquest,hard_aka_00002
chara_aka_00001,c_aka_00001_general_h_Boss_Red,Boss,Defense,10000,100,mainquest,hard_aka_00002
chara_aka_00001,c_aka_00001_general_h_Boss_Red,Boss,Defense,10000,100,mainquest,hard_aka_00003
chara_aka_00001,c_aka_00001_general_h_Boss_Red,Boss,Defense,10000,100,mainquest,hard_aka_00003
chara_aka_00001,c_aka_00001_general_h_Boss_Colorless,Boss,Defense,10000,100,mainquest,hard_glo1_00002
chara_aka_00001,c_aka_00001_general_n_Boss_Red,Boss,Defense,10000,50,mainquest,normal_aka_00002
chara_aka_00001,c_aka_00001_general_n_Boss_Red,Boss,Defense,10000,50,mainquest,normal_aka_00003
chara_aka_00001,c_aka_00001_general_n_Boss_Colorless,Boss,Defense,10000,50,mainquest,normal_glo1_00002
chara_aka_00001,c_aka_00001_general_vh_Boss_Red,Boss,Defense,10000,100,mainquest,veryhard_aka_00002
chara_aka_00001,c_aka_00001_general_vh_Boss_Colorless,Boss,Defense,10000,100,mainquest,veryhard_aka_00003
chara_aka_00001,c_aka_00001_general_vh_Normal_Colorless,Normal,Defense,10000,100,mainquest,veryhard_aka_00003
chara_aka_00001,c_aka_00001_general_vh_Boss_Yellow,Boss,Defense,10000,100,mainquest,veryhard_glo1_00002
chara_aka_00101,c_aka_00101_general_h_Normal_Colorless,Normal,Attack,10000,100,mainquest,hard_aka_00001
chara_aka_00101,c_aka_00101_general_h_Boss_Colorless,Boss,Technical,10000,100,mainquest,hard_aka_00001
chara_aka_00101,c_aka_00101_general_h_Normal_Colorless,Normal,Attack,10000,100,mainquest,hard_aka_00002
chara_aka_00101,c_aka_00101_general_h_Normal_Colorless,Normal,Attack,10000,100,mainquest,hard_aka_00002
chara_aka_00101,c_aka_00101_general_h_Normal_Colorless,Normal,Attack,10000,100,mainquest,hard_aka_00002
chara_aka_00101,c_aka_00101_general_h_Boss_Red,Boss,Technical,10000,100,mainquest,hard_aka_00003
chara_aka_00101,c_aka_00101_general_h_Boss_Red,Boss,Technical,10000,100,mainquest,hard_aka_00003
chara_aka_00101,c_aka_00101_general_h_Boss_Red,Boss,Technical,10000,100,mainquest,hard_glo1_00001
chara_aka_00101,c_aka_00101_general_n_Boss_Colorless,Boss,Attack,10000,50,mainquest,normal_aka_00001
chara_aka_00101,c_aka_00101_general_n_Boss_Red,Boss,Attack,10000,50,mainquest,normal_aka_00003
chara_aka_00101,c_aka_00101_general_n_Boss_Red,Boss,Attack,10000,50,mainquest,normal_glo1_00001
chara_aka_00101,c_aka_00101_general_vh_Normal_Red,Normal,Attack,10000,100,mainquest,veryhard_aka_00001
chara_aka_00101,c_aka_00101_general_vh_Boss_Red,Boss,Technical,10000,100,mainquest,veryhard_aka_00001
chara_aka_00101,c_aka_00101_general_vh_Normal_Red,Normal,Attack,10000,100,mainquest,veryhard_aka_00003
chara_aka_00101,c_aka_00101_general_vh_Boss_Red,Boss,Technical,10000,100,mainquest,veryhard_aka_00003
chara_aka_00101,c_aka_00101_general_vh_Boss_Red,Boss,Technical,10000,100,mainquest,veryhard_glo1_00001
chara_ara_00001,c_ara_00001_glo2_1d1c_Normal_Colorless,Normal,Attack,10000,300,f05,event_f05anniv_1day_00001
chara_ara_00001,c_ara_00001_glo2_charaget01_Normal_Yellow,Normal,Attack,10000,100,f05,event_f05anniv_charaget01_00001
chara_ara_00001,c_ara_00001_glo2_charaget01_Normal_Yellow,Normal,Attack,10000,100,f05,event_f05anniv_charaget01_00001
chara_ara_00001,c_ara_00001_glo2_charaget01_Boss_Yellow,Boss,Attack,10000,100,f05,event_f05anniv_charaget01_00002
chara_ara_00001,c_ara_00001_glo2_charaget01_Boss_Yellow,Boss,Attack,10000,100,f05,event_f05anniv_charaget01_00003
chara_ara_00001,c_ara_00001_glo2_charaget01_Normal_Yellow,Normal,Attack,10000,100,f05,event_f05anniv_charaget01_00003
chara_ara_00001,c_ara_00001_glo2_charaget01_Boss_Yellow,Boss,Attack,10000,100,f05,event_f05anniv_charaget01_00004
chara_ara_00001,c_ara_00001_glo2_charaget01_Normal_Yellow,Normal,Attack,10000,100,f05,event_f05anniv_charaget01_00004
chara_ara_00001,c_ara_00001_glo2_advent_Normal_Red,Boss,Attack,10000,100,raid,raid_glo2_00001
chara_ara_00001,c_ara_00001_glo2_advent_Normal_Red,Boss,Attack,10000,100,raid,raid_glo2_00001
chara_chi_00001,c_chi_00001_general_as_Normal_Blue,Normal,Attack,150000,300,mainquest,hard_glo3_00002
chara_chi_00001,c_chi_00001_general_as_Normal_Blue,Normal,Attack,150000,300,mainquest,normal_glo3_00002
chara_chi_00001,c_chi_00001_general_chi_vh2_Normal_Blue,Normal,Attack,385000,200,mainquest,veryhard_chi_00004
chara_chi_00001,c_chi_00001_general_chi_vh_Boss_Blue,Boss,Attack,500000,500,mainquest,veryhard_chi_00006
chara_chi_00001,c_chi_00001_general_ori3_vh_Boss_Yellow,Boss,Attack,500000,800,mainquest,veryhard_glo3_00001
chara_chi_00002,c_chi_00002_general_as_Normal_Yellow,Normal,Technical,100000,300,mainquest,hard_glo3_00001
chara_chi_00002,c_chi_00002_general_Boss_Yellow,Boss,Technical,400000,450,mainquest,normal_chi_00006
chara_chi_00002,c_chi_00002_general_as_Normal_Yellow,Normal,Technical,100000,300,mainquest,normal_glo3_00001
chara_chi_00002,c_chi_00002_general_ori3_vh2_Normal_Blue,Normal,Technical,700000,1000,mainquest,veryhard_glo3_00002
chara_chi_00201,c_chi_00201_general_Normal_Colorless,Normal,Attack,100000,240,mainquest,hard_chi_00003
chara_chi_00201,c_chi_00201_general_Boss_Yellow,Boss,Attack,500000,400,mainquest,hard_chi_00003
chara_chi_00201,c_chi_00201_general_as_Normal_Blue,Normal,Attack,180000,400,mainquest,hard_glo3_00002
chara_chi_00201,c_chi_00201_general_Normal_Colorless,Normal,Attack,100000,240,mainquest,normal_chi_00003
chara_chi_00201,c_chi_00201_general_Boss_Yellow,Boss,Attack,500000,400,mainquest,normal_chi_00003
chara_chi_00201,c_chi_00201_general_Normal_Yellow,Normal,Attack,100000,240,mainquest,normal_chi_00006
chara_chi_00201,c_chi_00201_general_as_Normal_Blue,Normal,Attack,180000,400,mainquest,normal_glo3_00002
chara_chi_00201,c_chi_00201_general_chi_vh_Boss_Red,Boss,Attack,700000,300,mainquest,veryhard_chi_00004
chara_chi_00201,c_chi_00201_general_ori3_vh_Normal_Yellow,Normal,Attack,650000,500,mainquest,veryhard_glo3_00001
chara_chi_00301,c_chi_00301_general_as_Normal_Blue,Normal,Attack,200000,500,mainquest,hard_glo3_00002
chara_chi_00301,c_chi_00301_general_Normal_Yellow,Normal,Attack,250000,400,mainquest,normal_chi_00006
