ENABLE,id,mst_event_id,mst_in_game_id,asset_key,advent_battle_type,initial_battle_point,score_addition_type,score_additional_coef,score_addition_target_mst_enemy_stage_parameter_id,mst_stage_rule_group_id,event_bonus_group_id,challengeable_count,ad_challengeable_count,display_mst_unit_id1,display_mst_unit_id2,display_mst_unit_id3,exp,coin,start_at,end_at,release_key
e,quest_raid_kai_00001,event_kai_00001,raid_kai_00001,kai_00002,ScoreChallenge,500,AllEnemiesAndOutPost,0.07,test,,raid_kai_00001,3,2,enemy_kai_00001,enemy_kai_00101,enemy_kai_00101,100,300,"2025-10-01 12:00:00","2025-10-08 11:59:59",202509010
e,quest_raid_spy1_00001,event_spy_00001,raid_spy1_00001,spy_00001,ScoreChallenge,500,AllEnemiesAndOutPost,0.07,test,,raid_spy1_00001,3,2,chara_spy_00501,chara_spy_00201,chara_spy_00101,100,300,"2025-10-15 15:00:00","2025-10-22 14:59:59",202510010
e,quest_raid_dan1_00001,event_dan_00001,raid_dan1_00001,dan_00004,ScoreChallenge,500,AllEnemiesAndOutPost,0.07,test,,raid_dan1_00001,3,2,enemy_dan_00301,,,100,300,"2025-10-31 15:00:00","2025-11-06 14:59:59",202510020
e,quest_raid_mag1_00001,event_mag_00001,raid_mag1_00001,mag_00001,ScoreChallenge,500,AllEnemiesAndOutPost,0.07,test,,raid_mag1_00001,3,2,enemy_mag_00401,,,100,300,"2025-11-22 15:00:00","2025-11-28 14:59:59",202511010
e,quest_raid_kai_00002,,raid_kai_00001,kai_00002,ScoreChallenge,500,AllEnemiesAndOutPost,0.07,test,,raid_kai_00001,3,2,enemy_kai_00001,enemy_kai_00101,enemy_kai_00101,100,300,"2025-11-12 15:00:00","2025-11-17 14:59:59",202511010
e,quest_raid_yuw1_00001,event_yuw_00001,raid_yuw1_00001,yuw_00001,ScoreChallenge,500,AllEnemiesAndOutPost,0.07,test,,raid_yuw1_00001,3,2,chara_yuw_00201,chara_yuw_00601,chara_yuw_00001,100,300,"2025-12-05 15:00:00","2025-12-12 14:59:59",202511020
e,quest_raid_sur1_00001,event_sur_00001,raid_sur1_00001,sur_00001,ScoreChallenge,500,AllEnemiesAndOutPost,0.07,test,,raid_sur1_00001,3,2,enemy_sur_00001,,,100,300,"2025-12-22 15:00:00","2025-12-29 14:59:59",202512010
e,quest_raid_osh1_00001,event_osh_00001,raid_osh1_00001,osh_00001,ScoreChallenge,500,AllEnemiesAndOutPost,0.07,test,,raid_osh1_00001,3,2,chara_osh_00401,chara_osh_00301,chara_osh_00201,100,300,"2026-01-09 15:00:00","2026-01-13 14:59:59",202512020
e,quest_raid_jig1_00001,event_jig_00001,raid_jig1_00001,jig_00001,ScoreChallenge,500,AllEnemiesAndOutPost,0.07,test,,raid_jig1_00001,3,2,enemy_jig_00601,,,100,300,"2026-01-23 15:00:00","2026-01-29 14:59:59",202601010
e,quest_raid_you1_00001,event_you_00001,raid_you1_00001,you_00003,ScoreChallenge,500,AllEnemiesAndOutPost,0.07,test,,raid_you1_00001,3,2,chara_you_00301,,,100,300,"2026-02-09 15:00:00","2026-02-15 14:59:59",202602015
e,quest_raid_kim1_00001,event_kim_00001,raid_kim1_00001,glo_00024,ScoreChallenge,500,AllEnemiesAndOutPost,0.07,test,,raid_kim1_00001,50,2,chara_kim_00101,chara_kim_00201,,100,300,"2026-02-20 15:00:00","2026-02-26 14:59:59",202602020
e,quest_raid_hut1_00001,event_hut_00001,raid_hut1_00001,glo_00039,Raid,500,AllEnemiesAndOutPost,0.07,test,,raid_hut1_00001,3,2,chara_hut_00001,,,100,300,"2026-03-06 15:00:00","2026-03-12 14:59:59",202603010
