ENABLE,release_key,id,mst_artwork_id,drop_group_id,drop_percentage,rarity,asset_num
e,202509010,artwork_fragment_aka_00101,artwork_aka_0001,aka_a_0001,30,SSR,16
e,202509010,artwork_fragment_aka_00102,artwork_aka_0001,aka_a_0001,30,SSR,11
e,202509010,artwork_fragment_aka_00103,artwork_aka_0001,aka_a_0001,30,SSR,08
e,202509010,artwork_fragment_aka_00104,artwork_aka_0001,aka_a_0001,30,SSR,15
e,202509010,artwork_fragment_aka_00105,artwork_aka_0001,aka_a_0001,30,SSR,07
e,202509010,artwork_fragment_aka_00106,artwork_aka_0001,aka_a_0002,30,SSR,02
e,202509010,artwork_fragment_aka_00107,artwork_aka_0001,aka_a_0002,30,SSR,03
e,202509010,artwork_fragment_aka_00108,artwork_aka_0001,aka_a_0002,30,SSR,06
e,202509010,artwork_fragment_aka_00109,artwork_aka_0001,aka_a_0002,30,SSR,04
e,202509010,artwork_fragment_aka_00110,artwork_aka_0001,aka_a_0002,30,SSR,05
e,202509010,artwork_fragment_aka_00111,artwork_aka_0001,aka_a_0002,30,SSR,14
e,202509010,artwork_fragment_aka_00112,artwork_aka_0001,aka_a_0003,30,SSR,01
e,202509010,artwork_fragment_aka_00113,artwork_aka_0001,aka_a_0003,30,SSR,10
e,202509010,artwork_fragment_aka_00114,artwork_aka_0001,aka_a_0003,30,SSR,12
e,202509010,artwork_fragment_aka_00115,artwork_aka_0001,aka_a_0003,30,SSR,09
e,202509010,artwork_fragment_aka_00116,artwork_aka_0001,aka_a_0003,30,SSR,13
e,202509010,artwork_fragment_aka_00201,artwork_aka_0002,aka_b_0001,30,SSR,15
e,202509010,artwork_fragment_aka_00202,artwork_aka_0002,aka_b_0001,30,SSR,07
e,202509010,artwork_fragment_aka_00203,artwork_aka_0002,aka_b_0001,30,SSR,11
e,202509010,artwork_fragment_aka_00204,artwork_aka_0002,aka_b_0001,30,SSR,06
e,202509010,artwork_fragment_aka_00205,artwork_aka_0002,aka_b_0001,30,SSR,02
e,202509010,artwork_fragment_aka_00206,artwork_aka_0002,aka_b_0002,30,SSR,13
e,202509010,artwork_fragment_aka_00207,artwork_aka_0002,aka_b_0002,30,SSR,10
e,202509010,artwork_fragment_aka_00208,artwork_aka_0002,aka_b_0002,30,SSR,03
e,202509010,artwork_fragment_aka_00209,artwork_aka_0002,aka_b_0002,30,SSR,01
e,202509010,artwork_fragment_aka_00210,artwork_aka_0002,aka_b_0002,30,SSR,16
e,202509010,artwork_fragment_aka_00211,artwork_aka_0002,aka_b_0002,30,SSR,05
e,202509010,artwork_fragment_aka_00212,artwork_aka_0002,aka_b_0003,30,SSR,12
e,202509010,artwork_fragment_aka_00213,artwork_aka_0002,aka_b_0003,30,SSR,14
e,202509010,artwork_fragment_aka_00214,artwork_aka_0002,aka_b_0003,30,SSR,04
e,202509010,artwork_fragment_aka_00215,artwork_aka_0002,aka_b_0003,30,SSR,08
e,202509010,artwork_fragment_aka_00216,artwork_aka_0002,aka_b_0003,30,SSR,09
e,202509010,artwork_fragment_aka_00301,artwork_aka_0003,aka_c_0001,100,SSR,05
e,202509010,artwork_fragment_aka_00302,artwork_aka_0003,aka_c_0001,100,SSR,15
e,202509010,artwork_fragment_aka_00303,artwork_aka_0003,aka_c_0001,100,SSR,06
e,202509010,artwork_fragment_aka_00304,artwork_aka_0003,aka_c_0001,100,SSR,08
e,202509010,artwork_fragment_aka_00305,artwork_aka_0003,aka_c_0001,100,SSR,14
e,202509010,artwork_fragment_aka_00306,artwork_aka_0003,aka_c_0001,100,SSR,03
e,202509010,artwork_fragment_aka_00307,artwork_aka_0003,aka_c_0002,100,SSR,04
e,202509010,artwork_fragment_aka_00308,artwork_aka_0003,aka_c_0002,100,SSR,13
e,202509010,artwork_fragment_aka_00309,artwork_aka_0003,aka_c_0002,100,SSR,16
e,202509010,artwork_fragment_aka_00310,artwork_aka_0003,aka_c_0002,100,SSR,12
e,202509010,artwork_fragment_aka_00311,artwork_aka_0003,aka_c_0002,100,SSR,01
e,202509010,artwork_fragment_aka_00312,artwork_aka_0003,aka_c_0003,100,SSR,11
e,202509010,artwork_fragment_aka_00313,artwork_aka_0003,aka_c_0003,100,SSR,02
e,202509010,artwork_fragment_aka_00314,artwork_aka_0003,aka_c_0003,100,SSR,09
e,202509010,artwork_fragment_aka_00315,artwork_aka_0003,aka_c_0003,100,SSR,07
e,202509010,artwork_fragment_aka_00316,artwork_aka_0003,aka_c_0003,100,SSR,10
e,202509010,artwork_fragment_chi_00101,artwork_chi_0001,chi_a_0001,30,SSR,14
e,202509010,artwork_fragment_chi_00102,artwork_chi_0001,chi_a_0001,30,SSR,16
e,202509010,artwork_fragment_chi_00103,artwork_chi_0001,chi_a_0002,30,SSR,01
e,202509010,artwork_fragment_chi_00104,artwork_chi_0001,chi_a_0002,30,SSR,11
e,202509010,artwork_fragment_chi_00105,artwork_chi_0001,chi_a_0003,30,SSR,05
e,202509010,artwork_fragment_chi_00106,artwork_chi_0001,chi_a_0003,30,SSR,04
e,202509010,artwork_fragment_chi_00107,artwork_chi_0001,chi_a_0003,30,SSR,06
e,202509010,artwork_fragment_chi_00108,artwork_chi_0001,chi_a_0004,30,SSR,03
e,202509010,artwork_fragment_chi_00109,artwork_chi_0001,chi_a_0004,30,SSR,07
e,202509010,artwork_fragment_chi_00110,artwork_chi_0001,chi_a_0004,30,SSR,09
e,202509010,artwork_fragment_chi_00111,artwork_chi_0001,chi_a_0005,30,SSR,02
e,202509010,artwork_fragment_chi_00112,artwork_chi_0001,chi_a_0005,30,SSR,08
e,202509010,artwork_fragment_chi_00113,artwork_chi_0001,chi_a_0005,30,SSR,13
e,202509010,artwork_fragment_chi_00114,artwork_chi_0001,chi_a_0006,30,SSR,10
e,202509010,artwork_fragment_chi_00115,artwork_chi_0001,chi_a_0006,30,SSR,12
e,202509010,artwork_fragment_chi_00116,artwork_chi_0001,chi_a_0006,30,SSR,15
e,202509010,artwork_fragment_chi_00201,artwork_chi_0002,chi_b_0001,30,SSR,13
e,202509010,artwork_fragment_chi_00202,artwork_chi_0002,chi_b_0001,30,SSR,05
e,202509010,artwork_fragment_chi_00203,artwork_chi_0002,chi_b_0002,30,SSR,11
e,202509010,artwork_fragment_chi_00204,artwork_chi_0002,chi_b_0002,30,SSR,12
e,202509010,artwork_fragment_chi_00205,artwork_chi_0002,chi_b_0003,30,SSR,15
e,202509010,artwork_fragment_chi_00206,artwork_chi_0002,chi_b_0003,30,SSR,10
e,202509010,artwork_fragment_chi_00207,artwork_chi_0002,chi_b_0003,30,SSR,16
e,202509010,artwork_fragment_chi_00208,artwork_chi_0002,chi_b_0004,30,SSR,01
e,202509010,artwork_fragment_chi_00209,artwork_chi_0002,chi_b_0004,30,SSR,04
e,202509010,artwork_fragment_chi_00210,artwork_chi_0002,chi_b_0004,30,SSR,14
e,202509010,artwork_fragment_chi_00211,artwork_chi_0002,chi_b_0005,30,SSR,09
e,202509010,artwork_fragment_chi_00212,artwork_chi_0002,chi_b_0005,30,SSR,06
e,202509010,artwork_fragment_chi_00213,artwork_chi_0002,chi_b_0005,30,SSR,07
e,202509010,artwork_fragment_chi_00214,artwork_chi_0002,chi_b_0006,30,SSR,08
e,202509010,artwork_fragment_chi_00215,artwork_chi_0002,chi_b_0006,30,SSR,02
e,202509010,artwork_fragment_chi_00216,artwork_chi_0002,chi_b_0006,30,SSR,03
e,202509010,artwork_fragment_chi_00301,artwork_chi_0003,chi_c_0001,100,SSR,04
e,202509010,artwork_fragment_chi_00302,artwork_chi_0003,chi_c_0001,100,SSR,08
e,202509010,artwork_fragment_chi_00303,artwork_chi_0003,chi_c_0002,100,SSR,09
e,202509010,artwork_fragment_chi_00304,artwork_chi_0003,chi_c_0002,100,SSR,11
e,202509010,artwork_fragment_chi_00305,artwork_chi_0003,chi_c_0003,100,SSR,05
e,202509010,artwork_fragment_chi_00306,artwork_chi_0003,chi_c_0003,100,SSR,12
e,202509010,artwork_fragment_chi_00307,artwork_chi_0003,chi_c_0003,100,SSR,02
e,202509010,artwork_fragment_chi_00308,artwork_chi_0003,chi_c_0004,100,SSR,15
e,202509010,artwork_fragment_chi_00309,artwork_chi_0003,chi_c_0004,100,SSR,06
e,202509010,artwork_fragment_chi_00310,artwork_chi_0003,chi_c_0004,100,SSR,01
e,202509010,artwork_fragment_chi_00311,artwork_chi_0003,chi_c_0005,100,SSR,10
e,202509010,artwork_fragment_chi_00312,artwork_chi_0003,chi_c_0005,100,SSR,07
e,202509010,artwork_fragment_chi_00313,artwork_chi_0003,chi_c_0005,100,SSR,14
e,202509010,artwork_fragment_chi_00314,artwork_chi_0003,chi_c_0006,100,SSR,16
e,202509010,artwork_fragment_chi_00315,artwork_chi_0003,chi_c_0006,100,SSR,13
e,202509010,artwork_fragment_chi_00316,artwork_chi_0003,chi_c_0006,100,SSR,03
e,202509010,artwork_fragment_dan_00101,artwork_dan_0001,dan_a_0001,30,SSR,13
e,202509010,artwork_fragment_dan_00102,artwork_dan_0001,dan_a_0001,30,SSR,02
e,202509010,artwork_fragment_dan_00103,artwork_dan_0001,dan_a_0001,30,SSR,15
e,202509010,artwork_fragment_dan_00104,artwork_dan_0001,dan_a_0002,30,SSR,12
e,202509010,artwork_fragment_dan_00105,artwork_dan_0001,dan_a_0002,30,SSR,08
e,202509010,artwork_fragment_dan_00106,artwork_dan_0001,dan_a_0003,30,SSR,03
e,202509010,artwork_fragment_dan_00107,artwork_dan_0001,dan_a_0003,30,SSR,16
e,202509010,artwork_fragment_dan_00108,artwork_dan_0001,dan_a_0003,30,SSR,04
e,202509010,artwork_fragment_dan_00109,artwork_dan_0001,dan_a_0004,30,SSR,14
e,202509010,artwork_fragment_dan_00110,artwork_dan_0001,dan_a_0004,30,SSR,07
e,202509010,artwork_fragment_dan_00111,artwork_dan_0001,dan_a_0005,30,SSR,05
e,202509010,artwork_fragment_dan_00112,artwork_dan_0001,dan_a_0005,30,SSR,10
e,202509010,artwork_fragment_dan_00113,artwork_dan_0001,dan_a_0005,30,SSR,11
e,202509010,artwork_fragment_dan_00114,artwork_dan_0001,dan_a_0006,30,SSR,09
e,202509010,artwork_fragment_dan_00115,artwork_dan_0001,dan_a_0006,30,SSR,01
e,202509010,artwork_fragment_dan_00116,artwork_dan_0001,dan_a_0006,30,SSR,06
e,202509010,artwork_fragment_dan_00201,artwork_dan_0002,dan_b_0001,30,SSR,10
e,202509010,artwork_fragment_dan_00202,artwork_dan_0002,dan_b_0001,30,SSR,14
e,202509010,artwork_fragment_dan_00203,artwork_dan_0002,dan_b_0001,30,SSR,06
e,202509010,artwork_fragment_dan_00204,artwork_dan_0002,dan_b_0002,30,SSR,05
e,202509010,artwork_fragment_dan_00205,artwork_dan_0002,dan_b_0002,30,SSR,09
e,202509010,artwork_fragment_dan_00206,artwork_dan_0002,dan_b_0006,30,SSR,01
e,202509010,artwork_fragment_dan_00207,artwork_dan_0002,dan_b_0002,30,SSR,04
e,202509010,artwork_fragment_dan_00208,artwork_dan_0002,dan_b_0003,30,SSR,13
e,202509010,artwork_fragment_dan_00209,artwork_dan_0002,dan_b_0003,30,SSR,16
e,202509010,artwork_fragment_dan_00210,artwork_dan_0002,dan_b_0003,30,SSR,07
e,202509010,artwork_fragment_dan_00211,artwork_dan_0002,dan_b_0004,30,SSR,03
e,202509010,artwork_fragment_dan_00212,artwork_dan_0002,dan_b_0006,30,SSR,15
e,202509010,artwork_fragment_dan_00213,artwork_dan_0002,dan_b_0004,30,SSR,12
e,202509010,artwork_fragment_dan_00214,artwork_dan_0002,dan_b_0005,30,SSR,11
e,202509010,artwork_fragment_dan_00215,artwork_dan_0002,dan_b_0006,30,SSR,02
e,202509010,artwork_fragment_dan_00216,artwork_dan_0002,dan_b_0005,30,SSR,08
e,202509010,artwork_fragment_dan_00301,artwork_dan_0003,dan_c_0001,100,SSR,05
e,202509010,artwork_fragment_dan_00302,artwork_dan_0003,dan_c_0001,100,SSR,03
e,202509010,artwork_fragment_dan_00303,artwork_dan_0003,dan_c_0001,100,SSR,04
e,202509010,artwork_fragment_dan_00304,artwork_dan_0003,dan_c_0002,100,SSR,08
e,202509010,artwork_fragment_dan_00305,artwork_dan_0003,dan_c_0002,100,SSR,10
e,202509010,artwork_fragment_dan_00306,artwork_dan_0003,dan_c_0002,100,SSR,15
e,202509010,artwork_fragment_dan_00307,artwork_dan_0003,dan_c_0003,100,SSR,01
e,202509010,artwork_fragment_dan_00308,artwork_dan_0003,dan_c_0003,100,SSR,09
e,202509010,artwork_fragment_dan_00309,artwork_dan_0003,dan_c_0006,100,SSR,11
e,202509010,artwork_fragment_dan_00310,artwork_dan_0003,dan_c_0003,100,SSR,06
e,202509010,artwork_fragment_dan_00311,artwork_dan_0003,dan_c_0004,100,SSR,02
e,202509010,artwork_fragment_dan_00312,artwork_dan_0003,dan_c_0006,100,SSR,07
e,202509010,artwork_fragment_dan_00313,artwork_dan_0003,dan_c_0004,100,SSR,12
e,202509010,artwork_fragment_dan_00314,artwork_dan_0003,dan_c_0005,100,SSR,14
e,202509010,artwork_fragment_dan_00315,artwork_dan_0003,dan_c_0005,100,SSR,13
e,202509010,artwork_fragment_dan_00316,artwork_dan_0003,dan_c_0006,100,SSR,16
e,202509010,artwork_fragment_gom_00101,artwork_gom_0001,gom_a_0001,30,SSR,01
e,202509010,artwork_fragment_gom_00102,artwork_gom_0001,gom_a_0001,30,SSR,16
e,202509010,artwork_fragment_gom_00103,artwork_gom_0001,gom_a_0001,30,SSR,09
e,202509010,artwork_fragment_gom_00104,artwork_gom_0001,gom_a_0002,30,SSR,07
e,202509010,artwork_fragment_gom_00105,artwork_gom_0001,gom_a_0002,30,SSR,08
e,202509010,artwork_fragment_gom_00106,artwork_gom_0001,gom_a_0003,30,SSR,06
e,202509010,artwork_fragment_gom_00107,artwork_gom_0001,gom_a_0003,30,SSR,04
e,202509010,artwork_fragment_gom_00108,artwork_gom_0001,gom_a_0003,30,SSR,12
e,202509010,artwork_fragment_gom_00109,artwork_gom_0001,gom_a_0004,30,SSR,02
e,202509010,artwork_fragment_gom_00110,artwork_gom_0001,gom_a_0004,30,SSR,11
e,202509010,artwork_fragment_gom_00111,artwork_gom_0001,gom_a_0005,30,SSR,15
