ENABLE,release_key,id,mst_artwork_fragment_id,language,name
e,1,dan_b_0001_ja,dan_b_0001,ja,ダンダダン2-01
e,1,dan_b_0002_ja,dan_b_0002,ja,ダンダダン2-02
e,1,dan_b_0003_ja,dan_b_0003,ja,ダンダダン2-03
e,1,dan_b_0004_ja,dan_b_0004,ja,ダンダダン2-04
e,1,dan_b_0005_ja,dan_b_0005,ja,ダンダダン2-05
e,1,dan_b_0006_ja,dan_b_0006,ja,ダンダダン2-06
e,1,dan_b_0007_ja,dan_b_0007,ja,ダンダダン2-07
e,1,dan_b_0008_ja,dan_b_0008,ja,ダンダダン2-08
e,1,dan_b_0009_ja,dan_b_0009,ja,ダンダダン2-09
e,1,dan_b_0010_ja,dan_b_0010,ja,ダンダダン2-10
e,1,dan_b_0011_ja,dan_b_0011,ja,ダンダダン2-11
e,1,dan_b_0012_ja,dan_b_0012,ja,ダンダダン2-12
e,1,dan_b_0013_ja,dan_b_0013,ja,ダンダダン2-13
e,1,dan_b_0014_ja,dan_b_0014,ja,ダンダダン2-14
e,1,dan_b_0015_ja,dan_b_0015,ja,ダンダダン2-15
e,1,dan_b_0016_ja,dan_b_0016,ja,ダンダダン2-16
e,1,dan_c_0001_ja,dan_c_0001,ja,ダンダダン3-01
e,1,dan_c_0002_ja,dan_c_0002,ja,ダンダダン3-02
e,1,dan_c_0003_ja,dan_c_0003,ja,ダンダダン3-03
e,1,dan_c_0004_ja,dan_c_0004,ja,ダンダダン3-04
e,1,dan_c_0005_ja,dan_c_0005,ja,ダンダダン3-05
e,1,dan_c_0006_ja,dan_c_0006,ja,ダンダダン3-06
e,1,dan_c_0007_ja,dan_c_0007,ja,ダンダダン3-07
e,1,dan_c_0008_ja,dan_c_0008,ja,ダンダダン3-08
e,1,dan_c_0009_ja,dan_c_0009,ja,ダンダダン3-09
e,1,dan_c_0010_ja,dan_c_0010,ja,ダンダダン3-10
e,1,dan_c_0011_ja,dan_c_0011,ja,ダンダダン3-11
e,1,dan_c_0012_ja,dan_c_0012,ja,ダンダダン3-12
e,1,dan_c_0013_ja,dan_c_0013,ja,ダンダダン3-13
e,1,dan_c_0014_ja,dan_c_0014,ja,ダンダダン3-14
e,1,dan_c_0015_ja,dan_c_0015,ja,ダンダダン3-15
e,1,dan_c_0016_ja,dan_c_0016,ja,ダンダダン3-16
e,1,dan_d_0001_ja,dan_d_0001,ja,ダンダダン4-01
e,1,dan_d_0002_ja,dan_d_0002,ja,ダンダダン4-02
e,1,dan_d_0003_ja,dan_d_0003,ja,ダンダダン4-03
e,1,dan_d_0004_ja,dan_d_0004,ja,ダンダダン4-04
e,1,dan_d_0005_ja,dan_d_0005,ja,ダンダダン4-05
e,1,dan_d_0006_ja,dan_d_0006,ja,ダンダダン4-06
e,1,dan_d_0007_ja,dan_d_0007,ja,ダンダダン4-07
e,1,dan_d_0008_ja,dan_d_0008,ja,ダンダダン4-08
e,1,dan_d_0009_ja,dan_d_0009,ja,ダンダダン4-09
e,1,dan_d_0010_ja,dan_d_0010,ja,ダンダダン4-10
e,1,dan_d_0011_ja,dan_d_0011,ja,ダンダダン4-11
e,1,dan_d_0012_ja,dan_d_0012,ja,ダンダダン4-12
e,1,dan_d_0013_ja,dan_d_0013,ja,ダンダダン4-13
e,1,dan_d_0014_ja,dan_d_0014,ja,ダンダダン4-14
e,1,dan_d_0015_ja,dan_d_0015,ja,ダンダダン4-15
e,1,dan_d_0016_ja,dan_d_0016,ja,ダンダダン4-16
e,1,dan_e_0001_ja,dan_e_0001,ja,ダンダダン5-01
e,1,dan_e_0002_ja,dan_e_0002,ja,ダンダダン5-02
e,1,dan_e_0003_ja,dan_e_0003,ja,ダンダダン5-03
e,1,dan_e_0004_ja,dan_e_0004,ja,ダンダダン5-04
e,1,dan_e_0005_ja,dan_e_0005,ja,ダンダダン5-05
