ENABLE,id,mst_artwork_grade_up_id,resource_type,resource_id,resource_amount,release_key
e,spy_01_01,spy_01,Item,artwork_enhance_glo_00001,10,202603020
e,spy_02_01,spy_02,Item,artwork_enhance_glo_00001,10,202603020
e,spy_03_01,spy_03,Item,artwork_enhance_glo_00001,10,202603020
e,spy_03_02,spy_03,Item,artwork_enhance_glo_00002,10,202603020
e,spy_04_01,spy_04,Item,artwork_enhance_glo_00001,10,202603020
e,spy_04_02,spy_04,Item,artwork_enhance_glo_00002,10,202603020
e,spy_05_01,spy_05,Item,artwork_enhance_glo_00001,20,202603020
e,spy_06_01,spy_06,Item,artwork_enhance_glo_00001,20,202603020
e,spy_06_02,spy_06,Item,artwork_enhance_glo_00002,20,202603020
e,spy_07_01,spy_07,Item,artwork_enhance_glo_00001,20,202603020
e,spy_07_02,spy_07,Item,artwork_enhance_glo_00002,20,202603020
e,spy_08_01,spy_08,Item,artwork_enhance_glo_00001,20,202603020
e,spy_08_02,spy_08,Item,artwork_enhance_glo_00002,20,202603020
e,spy_08_03,spy_08,Item,artwork_enhance_glo_00003,20,202603020
e,spy_09_01,spy_09,Item,artwork_enhance_glo_00001,30,202603020
e,spy_09_02,spy_09,Item,artwork_enhance_glo_00002,30,202603020
e,spy_010_01,spy_010,Item,artwork_enhance_glo_00001,30,202603020
e,spy_010_02,spy_010,Item,artwork_enhance_glo_00002,30,202603020
e,spy_011_01,spy_011,Item,artwork_enhance_glo_00001,30,202603020
e,spy_011_02,spy_011,Item,artwork_enhance_glo_00002,30,202603020
e,spy_011_03,spy_011,Item,artwork_enhance_glo_00003,30,202603020
e,spy_012_01,spy_012,Item,artwork_enhance_glo_00001,30,202603020
e,spy_012_02,spy_012,Item,artwork_enhance_glo_00002,30,202603020
e,spy_012_03,spy_012,Item,artwork_enhance_glo_00003,30,202603020
e,aka_01_01,aka_01,Item,artwork_enhance_glo_00001,10,202603020
e,aka_02_01,aka_02,Item,artwork_enhance_glo_00001,10,202603020
e,aka_03_01,aka_03,Item,artwork_enhance_glo_00001,10,202603020
e,aka_03_02,aka_03,Item,artwork_enhance_glo_00002,10,202603020
e,aka_04_01,aka_04,Item,artwork_enhance_glo_00001,10,202603020
e,aka_04_02,aka_04,Item,artwork_enhance_glo_00002,10,202603020
e,aka_05_01,aka_05,Item,artwork_enhance_glo_00001,20,202603020
e,aka_06_01,aka_06,Item,artwork_enhance_glo_00001,20,202603020
e,aka_06_02,aka_06,Item,artwork_enhance_glo_00002,20,202603020
e,aka_07_01,aka_07,Item,artwork_enhance_glo_00001,20,202603020
