ENABLE,release_key,id,mst_attack_id,language,description,grade_description
e,202509010,chara_dan_00001_Normal_00000_ja,chara_dan_00001_Normal_00000,ja,表示場所なし,
e,202509010,chara_dan_00001_Special_00001_ja,chara_dan_00001_Special_00001,ja,自身への被ダメージを6秒間、10%カット,
e,202509010,chara_dan_00001_Special_00002_ja,chara_dan_00001_Special_00002,ja,自身への被ダメージを6.5秒間、12%カット,"ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_dan_00001_Special_00003_ja,chara_dan_00001_Special_00003,ja,自身への被ダメージを6.7秒間、13%カット,"ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_dan_00001_Special_00004_ja,chara_dan_00001_Special_00004,ja,自身への被ダメージを6.9秒間、13%カット,"ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_dan_00001_Special_00005_ja,chara_dan_00001_Special_00005,ja,自身への被ダメージを6.9秒間、14%カット,"ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_dan_00002_Normal_00000_ja,chara_dan_00002_Normal_00000,ja,表示場所なし,
e,202509010,chara_dan_00002_Special_00001_ja,chara_dan_00002_Special_00001,ja,敵複数体に最大7回の連続攻撃(自身の攻撃ステータスの最大111%ダメージ),
e,202509010,chara_dan_00002_Special_00002_ja,chara_dan_00002_Special_00002,ja,敵複数体に最大7回の連続攻撃(自身の攻撃ステータスの最大125%ダメージ),"ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_dan_00002_Special_00003_ja,chara_dan_00002_Special_00003,ja,敵複数体に最大7回の連続攻撃(自身の攻撃ステータスの最大134%ダメージ),"ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_dan_00002_Special_00004_ja,chara_dan_00002_Special_00004,ja,敵複数体に最大7回の連続攻撃(自身の攻撃ステータスの最大141%ダメージ),"ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_dan_00002_Special_00005_ja,chara_dan_00002_Special_00005,ja,敵複数体に最大7回の連続攻撃(自身の攻撃ステータスの最大146%ダメージ),"ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_dan_00101_Normal_00000_ja,chara_dan_00101_Normal_00000,ja,表示場所なし,
e,202509010,chara_dan_00101_Special_00001_ja,chara_dan_00101_Special_00001,ja,"敵複数体に自身の攻撃ステータスの98%のダメージ + 攻撃がヒットした場合、敵を小ノックバック",
e,202509010,chara_dan_00101_Special_00002_ja,chara_dan_00101_Special_00002,ja,"敵複数体に自身の攻撃ステータスの112%のダメージ + 攻撃がヒットした場合、敵を小ノックバック","ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_dan_00101_Special_00003_ja,chara_dan_00101_Special_00003,ja,"敵複数体に自身の攻撃ステータスの122%のダメージ + 攻撃がヒットした場合、敵を小ノックバック","ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_dan_00101_Special_00004_ja,chara_dan_00101_Special_00004,ja,"敵複数体に自身の攻撃ステータスの130%のダメージ + 攻撃がヒットした場合、敵を中ノックバック","ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_dan_00101_Special_00005_ja,chara_dan_00101_Special_00005,ja,"敵複数体に自身の攻撃ステータスの135%のダメージ + 攻撃がヒットした場合、敵を中ノックバック","ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_gom_00001_Normal_00000_ja,chara_gom_00001_Normal_00000,ja,表示場所なし,
e,202509010,chara_gom_00001_Special_00001_ja,chara_gom_00001_Special_00001,ja,自身への被ダメージを3.2秒間、30%カット,
e,202509010,chara_gom_00001_Special_00002_ja,chara_gom_00001_Special_00002,ja,自身への被ダメージを4.4秒間、32%カット,"ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_gom_00001_Special_00003_ja,chara_gom_00001_Special_00003,ja,自身への被ダメージを5.1秒間、33%カット,"ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_gom_00001_Special_00004_ja,chara_gom_00001_Special_00004,ja,自身への被ダメージを5.7秒間、34%カット,"ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_gom_00001_Special_00005_ja,chara_gom_00001_Special_00005,ja,自身への被ダメージを6秒間、35%カット,"ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_gom_00101_Normal_00000_ja,chara_gom_00101_Normal_00000,ja,表示場所なし,
e,202509010,chara_gom_00101_Special_00001_ja,chara_gom_00101_Special_00001,ja,"敵単体に自身の攻撃ステータスの100%のダメージ + 攻撃がヒットした場合、敵の攻撃を6秒間、10%DOWN",
e,202509010,chara_gom_00101_Special_00002_ja,chara_gom_00101_Special_00002,ja,"敵単体に自身の攻撃ステータスの100%のダメージ + 攻撃がヒットした場合、敵の攻撃を6.6秒間、12%DOWN","ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_gom_00101_Special_00003_ja,chara_gom_00101_Special_00003,ja,"敵単体に自身の攻撃ステータスの100%のダメージ + 攻撃がヒットした場合、敵の攻撃を6.9秒間、13%DOWN","ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_gom_00101_Special_00004_ja,chara_gom_00101_Special_00004,ja,"敵単体に自身の攻撃ステータスの100%のダメージ + 攻撃がヒットした場合、敵の攻撃を7秒間、13%DOWN","ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_gom_00101_Special_00005_ja,chara_gom_00101_Special_00005,ja,"敵単体に自身の攻撃ステータスの100%のダメージ + 攻撃がヒットした場合、敵の攻撃を7秒間、14%DOWN","ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_gom_00201_Normal_00000_ja,chara_gom_00201_Normal_00000,ja,表示場所なし,
e,202509010,chara_gom_00201_Special_00001_ja,chara_gom_00201_Special_00001,ja,敵複数体に最大9回の連続攻撃(自身の攻撃ステータスの最大60%ダメージ),
e,202509010,chara_gom_00201_Special_00002_ja,chara_gom_00201_Special_00002,ja,敵複数体に最大9回の連続攻撃(自身の攻撃ステータスの最大70%ダメージ),"ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_gom_00201_Special_00003_ja,chara_gom_00201_Special_00003,ja,敵複数体に最大9回の連続攻撃(自身の攻撃ステータスの最大77%ダメージ),"ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_gom_00201_Special_00004_ja,chara_gom_00201_Special_00004,ja,敵複数体に最大9回の連続攻撃(自身の攻撃ステータスの最大82%ダメージ),"ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_gom_00201_Special_00005_ja,chara_gom_00201_Special_00005,ja,敵複数体に最大9回の連続攻撃(自身の攻撃ステータスの最大85%ダメージ),"ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_jig_00001_Normal_00000_ja,chara_jig_00001_Normal_00000,ja,表示場所なし,
e,202509010,chara_jig_00001_Special_00001_ja,chara_jig_00001_Special_00001,ja,"敵単体に最大3回の連続攻撃(自身の攻撃ステータスの最大170%ダメージ) + 1回目の攻撃がヒットした場合、敵を3秒間、最大3000ダメージの火傷状態にする",
e,202509010,chara_jig_00001_Special_00002_ja,chara_jig_00001_Special_00002,ja,"敵単体に最大3回の連続攻撃(自身の攻撃ステータスの最大192%ダメージ) + 1回目の攻撃がヒットした場合、敵を6秒間、最大12000ダメージの火傷状態にする","ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_jig_00001_Special_00003_ja,chara_jig_00001_Special_00003,ja,"敵単体に最大3回の連続攻撃(自身の攻撃ステータスの最大207%ダメージ) + 1回目の攻撃がヒットした場合、敵を9秒間、最大27000ダメージの火傷状態にする","ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_jig_00001_Special_00004_ja,chara_jig_00001_Special_00004,ja,"敵単体に最大3回の連続攻撃(自身の攻撃ステータスの最大218%ダメージ) + 1回目の攻撃がヒットした場合、敵を9秒間、最大30600ダメージの火傷状態にする","ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_jig_00001_Special_00005_ja,chara_jig_00001_Special_00005,ja,"敵単体に最大3回の連続攻撃(自身の攻撃ステータスの最大225%ダメージ) + 1回目の攻撃がヒットした場合、敵を9秒間、最大36000ダメージの火傷状態にする","ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_jig_00101_Normal_00000_ja,chara_jig_00101_Normal_00000,ja,表示場所なし,
e,202509010,chara_jig_00101_Special_00001_ja,chara_jig_00101_Special_00001,ja,敵単体に自身の攻撃ステータスの100%のダメージ(敵が緑属性の場合は110%のダメージ),
e,202509010,chara_jig_00101_Special_00002_ja,chara_jig_00101_Special_00002,ja,敵単体に自身の攻撃ステータスの100%のダメージ(敵が緑属性の場合は125%のダメージ),"ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_jig_00101_Special_00003_ja,chara_jig_00101_Special_00003,ja,敵単体に自身の攻撃ステータスの100%のダメージ(敵が緑属性の場合は136%のダメージ),"ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_jig_00101_Special_00004_ja,chara_jig_00101_Special_00004,ja,敵単体に自身の攻撃ステータスの100%のダメージ(敵が緑属性の場合は144%のダメージ),"ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_jig_00101_Special_00005_ja,chara_jig_00101_Special_00005,ja,敵単体に自身の攻撃ステータスの100%のダメージ(敵が緑属性の場合は150%のダメージ),"ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_jig_00201_Normal_00000_ja,chara_jig_00201_Normal_00000,ja,表示場所なし,
e,202509010,chara_jig_00201_Special_00001_ja,chara_jig_00201_Special_00001,ja,"敵複数体に自身の攻撃ステータスの75%ダメージ + 攻撃がヒットした場合、敵を3秒間、最大体力の1%ダメージの毒状態にする",
e,202509010,chara_jig_00201_Special_00002_ja,chara_jig_00201_Special_00002,ja,"敵複数体に自身の攻撃ステータスの75%ダメージ + 攻撃がヒットした場合、敵を3秒間、最大体力の1%ダメージの毒状態にする",ステータスUP
e,202509010,chara_jig_00201_Special_00003_ja,chara_jig_00201_Special_00003,ja,"敵複数体に自身の攻撃ステータスの75%ダメージ + 攻撃がヒットした場合、敵を6秒間、最大体力の1%ダメージの毒状態にする","ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_jig_00201_Special_00004_ja,chara_jig_00201_Special_00004,ja,"敵複数体に自身の攻撃ステータスの75%ダメージ + 攻撃がヒットした場合、敵を6秒間、最大体力の1%ダメージの毒状態にする",ステータスUP
e,202509010,chara_jig_00201_Special_00005_ja,chara_jig_00201_Special_00005,ja,"敵複数体に自身の攻撃ステータスの75%ダメージ + 攻撃がヒットした場合、敵を9秒間、最大体力の1%ダメージの毒状態にする","ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_jig_00301_Normal_00000_ja,chara_jig_00301_Normal_00000,ja,表示場所なし,
e,202509010,chara_jig_00301_Special_00001_ja,chara_jig_00301_Special_00001,ja,敵単体に最大5回の連続攻撃(自身の攻撃ステータスの最大140%ダメージ),
e,202509010,chara_jig_00301_Special_00002_ja,chara_jig_00301_Special_00002,ja,敵単体に最大5回の連続攻撃(自身の攻撃ステータスの最大156%ダメージ),"ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_jig_00301_Special_00003_ja,chara_jig_00301_Special_00003,ja,敵単体に最大5回の連続攻撃(自身の攻撃ステータスの最大167%ダメージ),"ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_jig_00301_Special_00004_ja,chara_jig_00301_Special_00004,ja,敵単体に最大5回の連続攻撃(自身の攻撃ステータスの最大175%ダメージ),"ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_jig_00301_Special_00005_ja,chara_jig_00301_Special_00005,ja,敵単体に最大5回の連続攻撃(自身の攻撃ステータスの最大180%ダメージ),"ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_sur_00001_Normal_00000_ja,chara_sur_00001_Normal_00000,ja,表示場所なし,
e,202509010,chara_sur_00001_Special_00001_ja,chara_sur_00001_Special_00001,ja,自身と同じコマにいる緑属性の味方と自身の攻撃を3秒間、20%UP,
e,202509010,chara_sur_00001_Special_00002_ja,chara_sur_00001_Special_00002,ja,自身と同じコマにいる緑属性の味方と自身の攻撃を3.5秒間、22%UP,"ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_sur_00001_Special_00003_ja,chara_sur_00001_Special_00003,ja,自身と同じコマにいる緑属性の味方と自身の攻撃を3.7秒間、23%UP,"ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_sur_00001_Special_00004_ja,chara_sur_00001_Special_00004,ja,自身と同じコマにいる緑属性の味方と自身の攻撃を3.9秒間、23%UP,"ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_sur_00001_Special_00005_ja,chara_sur_00001_Special_00005,ja,自身と同じコマにいる緑属性の味方と自身の攻撃を3.9秒間、24%UP,"ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_kai_00101_Normal_00000_ja,chara_kai_00101_Normal_00000,ja,表示場所なし,
e,202509010,chara_kai_00101_Special_00001_ja,chara_kai_00101_Special_00001,ja,"敵単体に最大3回の連続攻撃(自身の攻撃ステータスの最大140%ダメージ) + 1回目の攻撃がヒットした場合、敵を1秒間、氷結状態にする",
e,202509010,chara_kai_00101_Special_00002_ja,chara_kai_00101_Special_00002,ja,"敵単体に最大3回の連続攻撃(自身の攻撃ステータスの最大156%ダメージ) + 1回目の攻撃がヒットした場合、敵を1.1秒間、氷結状態にする","ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_kai_00101_Special_00003_ja,chara_kai_00101_Special_00003,ja,"敵単体に最大3回の連続攻撃(自身の攻撃ステータスの最大167%ダメージ) + 1回目の攻撃がヒットした場合、敵を1.1秒間、氷結状態にする","ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_kai_00101_Special_00004_ja,chara_kai_00101_Special_00004,ja,"敵単体に最大3回の連続攻撃(自身の攻撃ステータスの最大175%ダメージ) + 1回目の攻撃がヒットした場合、敵を1.2秒間、氷結状態にする","ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_kai_00101_Special_00005_ja,chara_kai_00101_Special_00005,ja,"敵単体に最大3回の連続攻撃(自身の攻撃ステータスの最大180%ダメージ) + 1回目の攻撃がヒットした場合、敵を1.3秒間、氷結状態にする","ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_kai_00301_Normal_00000_ja,chara_kai_00301_Normal_00000,ja,表示場所なし,
e,202509010,chara_kai_00301_Special_00001_ja,chara_kai_00301_Special_00001,ja,"敵複数体に自身の攻撃ステータスの75%のダメージ + 攻撃がヒットした場合、敵を1秒間、スタン状態にする",
e,202509010,chara_kai_00301_Special_00002_ja,chara_kai_00301_Special_00002,ja,"敵複数体に自身の攻撃ステータスの75%のダメージ + 攻撃がヒットした場合、敵を1秒間、スタン状態にする",ステータスUP
e,202509010,chara_kai_00301_Special_00003_ja,chara_kai_00301_Special_00003,ja,"敵複数体に自身の攻撃ステータスの75%のダメージ + 攻撃がヒットした場合、敵を1秒間、スタン状態にする",ステータスUP
e,202509010,chara_kai_00301_Special_00004_ja,chara_kai_00301_Special_00004,ja,"敵複数体に自身の攻撃ステータスの75%のダメージ + 攻撃がヒットした場合、敵を1.1秒間、スタン状態にする","ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_kai_00301_Special_00005_ja,chara_kai_00301_Special_00005,ja,"敵複数体に自身の攻撃ステータスの75%のダメージ + 攻撃がヒットした場合、敵を1.2秒間、スタン状態にする","ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_kai_00001_Normal_00000_ja,chara_kai_00001_Normal_00000,ja,表示場所なし,
e,202509010,chara_kai_00001_Special_00001_ja,chara_kai_00001_Special_00001,ja,自身の攻撃を3秒間、20%UP,
e,202509010,chara_kai_00001_Special_00002_ja,chara_kai_00001_Special_00002,ja,自身の攻撃を3.5秒間、22%UP,"ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_kai_00001_Special_00003_ja,chara_kai_00001_Special_00003,ja,自身の攻撃を3.7秒間、23%UP,"ステータスUP + 必殺ワザ性能UP"
e,202509010,chara_kai_00001_Special_00004_ja,chara_kai_00001_Special_00004,ja,自身の攻撃を3.9秒間、23%UP,"ステータスUP + 必殺ワザ性能UP"
