ENABLE,id,release_key,group_id,resource_type,resource_id,resource_amount
e,comeback_reward_1_1,1,comeback_reward_group_1,FreeDiamond,,150
e,comeback_reward_1_2,1,comeback_reward_group_2,Coin,,5000
e,comeback_reward_1_3,1,comeback_reward_group_3,FreeDiamond,,150
e,comeback_reward_1_4,1,comeback_reward_group_4,Coin,,10000
e,comeback_reward_1_5,1,comeback_reward_group_5,FreeDiamond,,200
e,comeback_reward_1_6,1,comeback_reward_group_6,Coin,,15000
e,comeback_reward_1_7,1,comeback_reward_group_7,Item,ticket_glo_00002,5
e,comeback_reward_test_1,1,comeback_reward_group_test_1,Coin,,5000
e,comeback_reward_test_2,1,comeback_reward_group_test_2,FreeDiamond,,100
e,comeback_reward_test_3,1,comeback_reward_group_test_3,Coin,,5000
e,comeback_reward_test_4,1,comeback_reward_group_test_4,FreeDiamond,,100
e,comeback_reward_test_5,1,comeback_reward_group_test_5,Coin,,5000
e,comeback_reward_test_6,1,comeback_reward_group_test_6,FreeDiamond,,100
e,comeback_reward_test_7,1,comeback_reward_group_test_7,Coin,,5000
e,comeback_reward_test_8,1,comeback_reward_group_test_8,FreeDiamond,,100
e,comeback_reward_test_9,1,comeback_reward_group_test_9,Coin,,5000
e,comeback_reward_test_10,1,comeback_reward_group_test_10,FreeDiamond,,100
e,comeback_reward_test_11,1,comeback_reward_group_test_11,Coin,,5000
e,comeback_reward_test_12,1,comeback_reward_group_test_12,FreeDiamond,,100
e,comeback_reward_test_13,1,comeback_reward_group_test_13,Coin,,5000
e,comeback_reward_test_14,1,comeback_reward_group_test_14,FreeDiamond,,100
e,comeback_reward_test_15,1,comeback_reward_group_test_15,Coin,,5000
e,comeback_reward_test_16,1,comeback_reward_group_test_16,FreeDiamond,,100
e,comeback_reward_test_17,1,comeback_reward_group_test_17,Coin,,5000
e,comeback_reward_test_18,1,comeback_reward_group_test_18,FreeDiamond,,100
e,comeback_reward_test_19,1,comeback_reward_group_test_19,Coin,,5000
e,comeback_reward_test_20,1,comeback_reward_group_test_20,FreeDiamond,,100
e,comeback_reward_test_21,1,comeback_reward_group_test_21,Coin,,5000
e,comeback_reward_test_22,1,comeback_reward_group_test_22,FreeDiamond,,100
e,comeback_reward_test_23,1,comeback_reward_group_test_23,Coin,,5000
e,comeback_reward_test_24,1,comeback_reward_group_test_24,FreeDiamond,,100
e,comeback_reward_test_25,1,comeback_reward_group_test_25,Coin,,5000
e,comeback_reward_test_26,1,comeback_reward_group_test_26,FreeDiamond,,100
e,comeback_reward_test_27,1,comeback_reward_group_test_27,Coin,,5000
e,comeback_reward_test_28,1,comeback_reward_group_test_28,FreeDiamond,,100
e,comeback_reward_test_29,1,comeback_reward_group_test_29,Coin,,5000
e,comeback_reward_test_30,1,comeback_reward_group_test_30,FreeDiamond,,100
e,comeback_reward_test_31,1,comeback_reward_group_test_31,Coin,,5000
e,comeback_reward_test_32,1,comeback_reward_group_test_32,FreeDiamond,,100
