ENABLE,id,mst_quest_id,mst_unit_id,release_key
e,quest_event_kai1_1day,quest_event_kai1_1day,chara_kai_00001,202509010
e,quest_event_kai1_charaget011,quest_event_kai1_charaget01,chara_kai_00101,202509010
e,quest_event_kai1_charaget012,quest_event_kai1_charaget01,chara_kai_00301,202509010
e,quest_event_kai1_charaget013,quest_event_kai1_charaget01,chara_kai_00601,202509010
e,quest_event_kai1_charaget021,quest_event_kai1_charaget02,chara_kai_00401,202509010
e,quest_event_kai1_charaget022,quest_event_kai1_charaget02,chara_kai_00501,202509010
e,quest_event_kai1_challenge011,quest_event_kai1_challenge01,chara_kai_00201,202509010
e,quest_event_kai1_challenge012,quest_event_kai1_challenge01,chara_kai_00401,202509010
e,quest_event_kai1_savage01,quest_event_kai1_savage,chara_kai_00002,202509010
e,quest_event_kai1_savage02,quest_event_kai1_savage,chara_kai_00201,202509010
e,quest_event_kai1_savage03,quest_event_kai1_savage,chara_kai_00401,202509010
e,quest_event_spy1_1day,quest_event_spy1_1day,chara_spy_00101,202510010
e,quest_event_spy1_charaget01,quest_event_spy1_charaget01,chara_spy_00401,202510010
e,quest_event_spy1_charaget021,quest_event_spy1_charaget02,chara_spy_00001,202510010
e,quest_event_spy1_charaget022,quest_event_spy1_charaget02,chara_spy_00301,202510010
e,quest_event_spy1_challenge01,quest_event_spy1_challenge01,chara_spy_00101,202510010
e,quest_event_spy1_challenge011,quest_event_spy1_challenge01,chara_spy_00201,202510010
e,quest_event_spy1_challenge012,quest_event_spy1_challenge01,chara_spy_00501,202510010
e,quest_event_spy1_savage01,quest_event_spy1_savage,chara_spy_00101,202510010
e,quest_event_spy1_savage011,quest_event_spy1_savage,chara_spy_00201,202510010
e,quest_event_dan1_1day,quest_event_dan1_1day,chara_dan_00001,202510020
e,quest_event_dan1_charaget01,quest_event_dan1_charaget01,chara_dan_00301,202510020
e,quest_event_dan1_charaget02,quest_event_dan1_charaget02,chara_dan_00201,202510020
e,quest_event_dan1_challenge011,quest_event_dan1_challenge01,chara_dan_00101,202510020
e,quest_event_dan1_challenge012,quest_event_dan1_challenge01,chara_dan_00002,202510020
e,quest_event_dan1_challenge013,quest_event_dan1_challenge01,chara_dan_00202,202510020
e,quest_event_dan1_savage01,quest_event_dan1_savage,chara_dan_00202,202510020
e,quest_event_dan1_savage02,quest_event_dan1_savage,chara_dan_00002,202510020
e,quest_event_mag1_1day,quest_event_mag1_1day,chara_mag_00001,202511010
e,quest_event_mag1_charaget01,quest_event_mag1_charaget01,chara_mag_00501,202511010
e,quest_event_mag1_charaget02,quest_event_mag1_charaget02,chara_mag_00401,202511010
e,quest_event_mag1_challenge011,quest_event_mag1_challenge01,chara_mag_00201,202511010
e,quest_event_mag1_challenge012,quest_event_mag1_challenge01,chara_mag_00301,202511010
e,quest_event_mag1_challenge013,quest_event_mag1_challenge01,chara_mag_00101,202511010
e,quest_event_mag1_savage01,quest_event_mag1_savage,chara_mag_00001,202511010
e,quest_event_mag1_savage02,quest_event_mag1_savage,chara_mag_00301,202511010
e,quest_event_yuw1_1day01,quest_event_yuw1_1day,chara_yuw_00601,202511020
e,quest_event_yuw1_1day02,quest_event_yuw1_1day,chara_yuw_00001,202511020
e,quest_event_yuw1_charaget01,quest_event_yuw1_charaget01,chara_yuw_00501,202511020
e,quest_event_yuw1_charaget02,quest_event_yuw1_charaget02,chara_yuw_00601,202511020
e,quest_event_yuw1_challenge011,quest_event_yuw1_challenge01,chara_yuw_00401,202511020
e,quest_event_yuw1_challenge012,quest_event_yuw1_challenge01,chara_yuw_00301,202511020
e,quest_event_yuw1_savage01,quest_event_yuw1_savage,chara_yuw_00501,202511020
e,quest_event_yuw1_savage02,quest_event_yuw1_savage,chara_yuw_00201,202511020
e,quest_event_yuw1_savage021,quest_event_yuw1_savage02,chara_yuw_00601,202512015
e,quest_event_yuw1_savage022,quest_event_yuw1_savage02,chara_yuw_00201,202512015
e,quest_event_sur1_1day01,quest_event_sur1_1day,chara_sur_00101,202512010
e,quest_event_sur1_1day02,quest_event_sur1_1day,chara_sur_00001,202512010
e,quest_event_sur1_charaget01,quest_event_sur1_charaget01,chara_sur_00801,202512010
e,quest_event_sur1_savage01,quest_event_sur1_savage,chara_sur_00101,202512010
e,quest_event_sur1_savage02,quest_event_sur1_savage,chara_sur_00501,202512010
e,quest_event_sur1_charaget02,quest_event_sur1_charaget02,chara_sur_00701,202512010
e,quest_event_sur1_challenge011,quest_event_sur1_challenge01,chara_sur_00201,202512010
e,quest_event_sur1_challenge012,quest_event_sur1_challenge01,chara_sur_00601,202512010
e,quest_event_osh1_1day01,quest_event_osh1_1day,chara_osh_00101,202512020
e,quest_event_osh1_charaget0201,quest_event_osh1_charaget02,chara_osh_00601,202512020
e,quest_event_osh1_charaget01,quest_event_osh1_charaget01,chara_osh_00201,202512020
e,quest_event_osh1_charaget02,quest_event_osh1_charaget01,chara_osh_00401,202512020
e,quest_event_osh1_charaget03,quest_event_osh1_charaget01,chara_osh_00501,202512020
e,quest_event_osh1_challenge011,quest_event_osh1_challenge01,chara_osh_00301,202512020
e,quest_event_osh1_challenge012,quest_event_osh1_challenge01,chara_osh_00201,202512020
e,quest_event_osh1_challenge013,quest_event_osh1_challenge01,chara_osh_00401,202512020
e,quest_event_osh1_savage,quest_event_osh1_savage,chara_osh_00001,202512020
e,quest_event_glo1_1day01,quest_event_glo1_1day,chara_kai_00002,202512020
e,quest_event_glo1_1day02,quest_event_glo1_1day,chara_yuw_00001,202512020
e,quest_event_glo1_1day03,quest_event_glo1_1day,chara_spy_00001,202512020
e,quest_event_jig1_1day01,quest_event_jig1_1day,chara_jig_00001,202601010
e,quest_event_jig1_charaget0201,quest_event_jig1_charaget02,chara_jig_00601,202601010
e,quest_event_jig1_charaget0101,quest_event_jig1_charaget01,chara_jig_00701,202601010
e,quest_event_jig1_challenge011,quest_event_jig1_challenge01,chara_jig_00201,202601010
e,quest_event_jig1_challenge012,quest_event_jig1_challenge01,chara_jig_00301,202601010
e,quest_event_jig1_savage01,quest_event_jig1_savage,chara_jig_00401,202601010
e,quest_event_jig1_savage02,quest_event_jig1_savage,chara_jig_00501,202601010
e,quest_event_you1_1day01,quest_event_you1_1day,chara_you_00001,202602015
e,quest_event_you1_charaget0201,quest_event_you1_charaget02,chara_you_00301,202602015
e,quest_event_you1_charaget0101,quest_event_you1_charaget01,chara_you_00201,202602015
e,quest_event_you1_savage01,quest_event_you1_savage,chara_you_00001,202602015
e,quest_event_you1_challenge01,quest_event_you1_challenge,chara_you_00101,202602015
e,quest_event_kim1_savage01,quest_event_kim1_savage,chara_kim_00001,202602020
e,quest_event_kim1_savage02,quest_event_kim1_savage,chara_kim_00101,202602020
e,quest_event_kim1_1day01,quest_event_kim1_1day,chara_kim_00101,202602020
