ENABLE,id,mst_exchange_lineup_id,resource_type,resource_id,resource_amount,release_key
e,normal_01_lineup_00001,normal_01_lineup_00001,Item,ticket_glo_00002,1,202512015
e,normal_01_lineup_00002,normal_01_lineup_00002,Item,memoryfragment_glo_00001,1,202512015
e,normal_01_lineup_00003,normal_01_lineup_00003,Item,memoryfragment_glo_00002,1,202512015
e,normal_01_lineup_00004,normal_01_lineup_00004,Item,memoryfragment_glo_00003,1,202512015
e,normal_01_lineup_00005,normal_01_lineup_00005,Item,memory_glo_00001,30,202512015
e,normal_01_lineup_00006,normal_01_lineup_00006,Item,memory_glo_00002,30,202512015
e,normal_01_lineup_00007,normal_01_lineup_00007,Item,memory_glo_00003,30,202512015
e,normal_01_lineup_00008,normal_01_lineup_00008,Item,memory_glo_00004,30,202512015
e,normal_01_lineup_00009,normal_01_lineup_00009,Item,memory_glo_00005,30,202512015
e,normal_01_lineup_00010,normal_01_lineup_00010,Item,entry_item_glo_00001,1,202512015
e,event_osh_00001_01_lineup_00001,event_osh_00001_01_lineup_00001,Item,ticket_osh_10000,1,202512020
e,event_osh_00001_01_lineup_00002,event_osh_00001_01_lineup_00002,Item,ticket_osh_10000,1,202512020
e,event_osh_00001_01_lineup_00003,event_osh_00001_01_lineup_00003,FreeDiamond,,30,202512020
e,event_osh_00001_01_lineup_00004,event_osh_00001_01_lineup_00004,FreeDiamond,,50,202512020
e,event_osh_00001_01_lineup_00005,event_osh_00001_01_lineup_00005,Unit,chara_osh_00601,1,202512020
e,event_osh_00001_01_lineup_00006,event_osh_00001_01_lineup_00006,Item,piece_osh_00601,5,202512020
e,event_osh_00001_01_lineup_00007,event_osh_00001_01_lineup_00007,Item,piece_osh_00601,10,202512020
e,event_osh_00001_01_lineup_00008,event_osh_00001_01_lineup_00008,Item,memory_chara_osh_00601,50,202512020
e,event_osh_00001_01_lineup_00009,event_osh_00001_01_lineup_00009,Item,memory_chara_osh_00601,100,202512020
e,event_osh_00001_01_lineup_00010,event_osh_00001_01_lineup_00010,Emblem,emblem_event_osh_00003,1,202512020
e,event_osh_00001_01_lineup_00011,event_osh_00001_01_lineup_00011,Emblem,emblem_event_osh_00004,1,202512020
e,event_osh_00001_01_lineup_00012,event_osh_00001_01_lineup_00012,Emblem,emblem_event_osh_00005,1,202512020
e,event_osh_00001_01_lineup_00013,event_osh_00001_01_lineup_00013,Emblem,emblem_event_osh_00006,1,202512020
e,event_osh_00001_01_lineup_00014,event_osh_00001_01_lineup_00014,Emblem,emblem_event_osh_00007,1,202512020
e,event_osh_00001_01_lineup_00015,event_osh_00001_01_lineup_00015,Emblem,emblem_event_osh_00009,1,202512020
e,event_osh_00001_01_lineup_00016,event_osh_00001_01_lineup_00016,Item,ticket_glo_00002,1,202512020
e,event_osh_00001_01_lineup_00017,event_osh_00001_01_lineup_00017,Item,ticket_glo_00003,1,202512020
