ENABLE,id,mst_auto_player_sequence_id,mst_auto_player_sequence_set_id,bgm_asset_key,boss_bgm_asset_key,loop_background_asset_key,player_outpost_asset_key,mst_page_id,mst_enemy_outpost_id,mst_defense_target_id,boss_mst_enemy_stage_parameter_id,boss_count,normal_enemy_hp_coef,normal_enemy_attack_coef,normal_enemy_speed_coef,boss_enemy_hp_coef,boss_enemy_attack_coef,boss_enemy_speed_coef,release_key
e,develop_001,develop_001,develop_001,SSE_SBG_003_002,,,,page_develop_001,1,,1,,1,1,1,1,1,1,999999999
e,develop_002,develop_002,develop_002,SSE_SBG_003_002,,,,page_develop_002,1,,1,,1,1,1,1,1,1,999999999
e,plan_test_stage001,plan_test_stage001,plan_test_stage001,SSE_SBG_003_002,,,,plan_test_stage001,plan_test_stage001,,1,,1,1,1,1,1,1,999999999
e,plan_test_stage002,plan_test_stage002,plan_test_stage002,SSE_SBG_003_002,,,,plan_test_stage002,1,,1,,1,1,1,1,1,1,999999999
e,plan_test_stage003,plan_test_stage003,plan_test_stage003,SSE_SBG_003_002,,,,plan_test_stage003,1,,1,,1,1,1,1,1,1,999999999
e,plan_test_stage004,plan_test_stage004,plan_test_stage004,SSE_SBG_003_002,,,,plan_test_stage003,1,,1,,1,1,1,1,1,1,999999999
e,plan_test_stage_004_red,plan_test_stage_004_red,plan_test_stage_004_red,SSE_SBG_003_002,,,,plan_test_stage_004_red,1,,1,,1,1,1,1,1,1,999999999
e,plan_test_stage_005_blue,plan_test_stage_005_blue,plan_test_stage_005_blue,SSE_SBG_003_002,,,,plan_test_stage_005_blue,1,,1,,1,1,1,1,1,1,999999999
e,plan_test_stage_006_yellow,plan_test_stage_006_yellow,plan_test_stage_006_yellow,SSE_SBG_003_002,,,,plan_test_stage_006_yellow,1,,1,,1,1,1,1,1,1,999999999
e,plan_test_stage_007_green,plan_test_stage_007_green,plan_test_stage_007_green,SSE_SBG_003_002,,,,plan_test_stage_007_green,1,,1,,1,1,1,1,1,1,999999999
e,plan_test_stage_008_colorless,plan_test_stage_008_colorless,plan_test_stage_008_colorless,SSE_SBG_003_002,,,,plan_test_stage_008_colorless,1,,1,,1,1,1,1,1,1,999999999
e,plan_test_stage_powerup01,plan_test_stage_powerup01,plan_test_stage_powerup01,SSE_SBG_003_002,,,,plan_test_stage_powerup01,1,,1,,100,0.01,1,100,0.01,1,999999999
e,plan_test_stage_powerdown01,plan_test_stage_powerdown01,plan_test_stage_powerdown01,SSE_SBG_003_002,,,,plan_test_stage_powerdown01,1,,1,,100,0.01,1,100,0.01,1,999999999
e,plan_test_stage_slipdamage01,plan_test_stage_slipdamage01,plan_test_stage_slipdamage01,SSE_SBG_003_002,,,,plan_test_stage_slipdamage01,1,,1,,100,0.01,1,100,0.01,1,999999999
e,plan_test_stage_gust01,plan_test_stage_gust01,plan_test_stage_gust01,SSE_SBG_003_002,,,,plan_test_stage_gust01,1,,1,,100,0.01,1,100,0.01,1,999999999
