ENABLE,release_key,id,mst_item_id,language,name,description
e,1,piece_gom_00001_ja,piece_gom_00001,ja,姫（奴隷服）のかけら,姫（奴隷服）の覚醒に使用するアイテム
e,1,piece_sur_00001_ja,piece_sur_00001,ja,"和倉 優希のかけら","和倉 優希の覚醒に使用するアイテム"
e,1,piece_dan_000100_ja,piece_dan_000100,ja,綾瀬桃のかけら,綾瀬桃の覚醒に使用するアイテム
e,1,piece_jig_00100_ja,piece_jig_00100,ja,"山田浅ェ門 佐切のかけら","山田浅ェ門 佐切の覚醒に使用するアイテム"
e,1,piece_glo_00001_ja,piece_glo_00001,ja,タンクネコのかけら,タンクネコの覚醒に使用するアイテム
e,1,piece_glo_00002_ja,piece_glo_00002,ja,ねこ海賊のかけら,ねこ海賊の覚醒に使用するアイテム
e,1,piece_glo_00003_ja,piece_glo_00003,ja,ネコのかけら,ネコの覚醒に使用するアイテム
e,1,piece_glo_00004_ja,piece_glo_00004,ja,ウシネコのかけら,ウシネコの覚醒に使用するアイテム
e,1,piece_glo_00005_ja,piece_glo_00005,ja,キモネコのかけら,キモネコの覚醒に使用するアイテム
e,1,piece_glo_00006_ja,piece_glo_00006,ja,ネコヴァルキリーのかけら,ネコヴァルキリーの覚醒に使用するアイテム
e,1,piece_glo_00007_ja,piece_glo_00007,ja,ネコエステのかけら,ネコエステの覚醒に使用するアイテム
e,1,piece_glo_00008_ja,piece_glo_00008,ja,ネコトカゲのかけら,ネコトカゲの覚醒に使用するアイテム
e,1,piece_glo_00009_ja,piece_glo_00009,ja,ネコアーチャーのかけら,ネコアーチャーの覚醒に使用するアイテム
e,1,piece_glo_00010_ja,piece_glo_00010,ja,ねねこのかけら,ねねこの覚醒に使用するアイテム
e,1,piece_glo_00011_ja,piece_glo_00011,ja,アシランパサランのかけら,アシランパサランの覚醒に使用するアイテム
e,1,piece_glo_00012_ja,piece_glo_00012,ja,スペネコのかけら,スペネコの覚醒に使用するアイテム
e,1,piece_glo_00013_ja,piece_glo_00013,ja,スペウシネコのかけら,スペウシネコの覚醒に使用するアイテム
e,1,piece_glo_00014_ja,piece_glo_00014,ja,スペキモネコのかけら,スペキモネコの覚醒に使用するアイテム
e,1,piece_glo_00015_ja,piece_glo_00015,ja,スペネコヴァルキリーのかけら,スペネコヴァルキリーの覚醒に使用するアイテム
