ENABLE,id,release_key,criterion_type,criterion_value,criterion_count,unlock_day,group_key,bonus_point,mst_mission_reward_group_id,sort_order,destination_scene
e,beginner_11,1,LoginCount,,1,1,Beginner1,20,mission_reward_beginner_1,1,Home
e,beginner_12,1,UnitLevelUpCount,,1,1,Beginner1,20,mission_reward_beginner_2,2,UnitList
e,beginner_13,1,FollowCompleted,https://www.google.co.jp/,1,1,Beginner1,20,mission_reward_beginner_3,3,Web
e,beginner_14,1,UnitLevelUpCount,,3,1,Beginner1,20,mission_reward_beginner_4,4,UnitList
e,beginner_15,1,OutpostEnhanceCount,,3,1,Beginner1,20,mission_reward_beginner_5,5,OutPostEnhance
e,beginner_21,1,LoginCount,,2,2,Beginner2,20,mission_reward_beginner_1,1,Home
e,beginner_22,1,UnitLevelUpCount,,5,2,Beginner2,20,mission_reward_beginner_2,2,UnitList
e,beginner_23,1,OutpostEnhanceCount,,5,2,Beginner2,20,mission_reward_beginner_3,3,OutPostEnhance
e,beginner_24,1,UnitLevelUpCount,,7,2,Beginner2,20,mission_reward_beginner_4,4,UnitList
e,beginner_25,1,OutpostEnhanceCount,,7,2,Beginner2,20,mission_reward_beginner_5,5,OutPostEnhance
e,beginner_31,1,LoginCount,,3,3,Beginner3,20,mission_reward_beginner_1,1,Home
e,beginner_32,1,UnitLevelUpCount,,9,3,Beginner3,20,mission_reward_beginner_2,2,UnitList
e,beginner_33,1,OutpostEnhanceCount,,9,3,Beginner3,20,mission_reward_beginner_3,3,OutPostEnhance
e,beginner_34,1,UnitLevelUpCount,,11,3,Beginner3,20,mission_reward_beginner_4,4,UnitList
e,beginner_35,1,OutpostEnhanceCount,,11,3,Beginner3,20,mission_reward_beginner_5,5,OutPostEnhance
e,beginner_41,1,LoginCount,,4,4,Beginner4,20,mission_reward_beginner_1,1,Home
e,beginner_42,1,UnitLevelUpCount,,13,4,Beginner4,20,mission_reward_beginner_2,2,UnitList
e,beginner_43,1,OutpostEnhanceCount,,13,4,Beginner4,20,mission_reward_beginner_3,3,OutPostEnhance
e,beginner_44,1,UnitLevelUpCount,,15,4,Beginner4,20,mission_reward_beginner_4,4,UnitList
e,beginner_45,1,OutpostEnhanceCount,,15,4,Beginner4,20,mission_reward_beginner_5,5,OutPostEnhance
e,beginner_51,1,LoginCount,,5,5,Beginner5,20,mission_reward_beginner_1,1,Home
e,beginner_52,1,UnitLevelUpCount,,17,5,Beginner5,20,mission_reward_beginner_2,2,UnitList
e,beginner_53,1,OutpostEnhanceCount,,17,5,Beginner5,20,mission_reward_beginner_3,3,OutPostEnhance
e,beginner_54,1,UnitLevelUpCount,,19,5,Beginner5,20,mission_reward_beginner_4,4,UnitList
e,beginner_55,1,OutpostEnhanceCount,,19,5,Beginner5,20,mission_reward_beginner_5,5,OutPostEnhance
e,beginner_61,1,LoginCount,,6,6,Beginner6,20,mission_reward_beginner_1,1,Home
e,beginner_62,1,UnitLevelUpCount,,21,6,Beginner6,20,mission_reward_beginner_2,2,UnitList
e,beginner_63,1,OutpostEnhanceCount,,21,6,Beginner6,20,mission_reward_beginner_3,3,OutPostEnhance
e,beginner_64,1,UnitLevelUpCount,,23,6,Beginner6,20,mission_reward_beginner_4,4,UnitList
e,beginner_65,1,OutpostEnhanceCount,,23,6,Beginner6,20,mission_reward_beginner_5,5,OutPostEnhance
e,beginner_71,1,LoginCount,,7,7,Beginner7,20,mission_reward_beginner_1,1,Home
e,beginner_72,1,UnitLevelUpCount,,25,7,Beginner7,20,mission_reward_beginner_2,2,UnitList
e,beginner_73,1,OutpostEnhanceCount,,25,7,Beginner7,20,mission_reward_beginner_3,3,OutPostEnhance
e,beginner_74,1,UnitLevelUpCount,,27,7,Beginner7,20,mission_reward_beginner_4,4,UnitList
e,beginner_75,1,OutpostEnhanceCount,,27,7,Beginner7,20,mission_reward_beginner_5,5,OutPostEnhance
e,beginner_bonus_point_1,1,MissionBonusPoint,,50,1,,0,mission_reward_beginner_bonus_1,1,
e,beginner_bonus_point_2,1,MissionBonusPoint,,100,1,,0,mission_reward_beginner_bonus_2,2,
e,beginner_bonus_point_3,1,MissionBonusPoint,,150,1,,0,mission_reward_beginner_bonus_3,3,
e,beginner_bonus_point_4,1,MissionBonusPoint,,200,1,,0,mission_reward_beginner_bonus_4,4,
e,beginner_bonus_point_5,1,MissionBonusPoint,,250,1,,0,mission_reward_beginner_bonus_5,5,
e,beginner_bonus_point_6,1,MissionBonusPoint,,300,1,,0,mission_reward_beginner_bonus_6,6,
e,beginner_bonus_point_7,1,MissionBonusPoint,,350,1,,0,mission_reward_beginner_bonus_7,7,
e,beginner_bonus_point_8,1,MissionBonusPoint,,400,1,,0,mission_reward_beginner_bonus_8,8,
