ENABLE,release_key,id,mst_mission_limited_term_id,language,description
e,1,limited_term_1_ja,limited_term_1,ja,降臨バトルに1回挑戦しよう。
e,1,limited_term_2_ja,limited_term_2,ja,降臨バトルに3回挑戦しよう。
e,1,limited_term_3_ja,limited_term_3,ja,降臨バトルに5回挑戦しよう。
e,1,limited_term_4_ja,limited_term_4,ja,降臨バトルに7回挑戦しよう。
e,1,limited_term_5_ja,limited_term_5,ja,降臨バトルに10回挑戦しよう。
e,1,limited_term_6_ja,limited_term_6,ja,降臨バトルに15回挑戦しよう。
e,1,limited_term_7_ja,limited_term_7,ja,降臨バトルに20回挑戦しよう。
e,1,limited_term_8_ja,limited_term_8,ja,降臨バトルに25回挑戦しよう。
e,1,limited_term_9_ja,limited_term_9,ja,降臨バトルに30回挑戦しよう。
e,1,limited_term_10_ja,limited_term_10,ja,降臨バトルに35回挑戦しよう。
e,1,limited_term_11_ja,limited_term_11,ja,降臨バトルに40回挑戦しよう。
e,1,limited_term_12_ja,limited_term_12,ja,降臨バトルに45回挑戦しよう。
e,1,limited_term_13_ja,limited_term_13,ja,降臨バトルに50回挑戦しよう。
