ENABLE,id,mst_outpost_enhancement_id,level,cost_coin,enhancement_value,release_key
e,level1_1_11,enhance_1_2,1,20,0,1
e,level1_1_12,enhance_1_2,2,30,50,1
e,level1_1_13,enhance_1_2,3,40,150,1
e,level1_1_14,enhance_1_2,4,50,250,1
e,level1_1_15,enhance_1_2,5,60,350,1
e,level1_1_16,enhance_1_2,6,70,450,1
e,level1_1_17,enhance_1_2,7,80,600,1
e,level1_1_18,enhance_1_2,8,90,750,1
e,level1_1_19,enhance_1_2,9,100,900,1
e,level1_1_20,enhance_1_2,10,120,1050,1
e,level1_1_21,enhance_1_3,1,20,0,1
e,level1_1_22,enhance_1_3,2,30,0.2,1
e,level1_1_23,enhance_1_3,3,40,0.3,1
e,level1_1_24,enhance_1_3,4,50,0.4,1
e,level1_1_25,enhance_1_3,5,60,0.5,1
e,level1_1_26,enhance_1_3,6,70,0.6,1
e,level1_1_27,enhance_1_3,7,80,0.7,1
e,level1_1_28,enhance_1_3,8,90,0.8,1
e,level1_1_29,enhance_1_3,9,100,0.9,1
e,level1_1_30,enhance_1_3,10,120,1,1
e,level1_1_31,enhance_1_4,1,20,0,1
e,level1_1_32,enhance_1_4,2,30,25,1
e,level1_1_33,enhance_1_4,3,40,50,1
e,level1_1_34,enhance_1_4,4,50,75,1
e,level1_1_35,enhance_1_4,5,60,90,1
e,level1_1_36,enhance_1_4,6,70,115,1
e,level1_1_37,enhance_1_4,7,80,145,1
e,level1_1_38,enhance_1_4,8,90,175,1
e,level1_1_39,enhance_1_4,9,100,205,1
e,level1_1_40,enhance_1_4,10,120,235,1
e,level1_1_41,enhance_1_5,1,20,300,1
e,level1_1_42,enhance_1_5,2,30,700,1
e,level1_1_43,enhance_1_5,3,40,1700,1
e,level1_1_44,enhance_1_5,4,50,2700,1
e,level1_1_45,enhance_1_5,5,60,3700,1
e,level1_1_46,enhance_1_5,6,70,4700,1
e,level1_1_47,enhance_1_5,7,80,5700,1
e,level1_1_48,enhance_1_5,8,90,6700,1
e,level1_1_49,enhance_1_5,9,100,7700,1
e,level1_1_50,enhance_1_5,10,120,8700,1
e,level1_1_51,enhance_1_6,1,20,0,1
e,level1_1_52,enhance_1_6,2,30,15,1
e,level1_1_53,enhance_1_6,3,40,30,1
e,level1_1_54,enhance_1_6,4,50,45,1
e,level1_1_55,enhance_1_6,5,60,60,1
e,level1_1_56,enhance_1_6,6,70,75,1
e,level1_1_57,enhance_1_6,7,80,90,1
e,level1_1_58,enhance_1_6,8,90,105,1
e,level1_1_59,enhance_1_6,9,100,120,1
e,level1_1_60,enhance_1_6,10,120,135,1
e,level1_1_61,enhance_1_7,1,20,2,1
e,level1_1_62,enhance_1_7,2,30,3,1
e,level1_1_63,enhance_1_7,3,40,4,1
e,level1_1_64,enhance_1_7,4,50,5,1
e,level1_1_65,enhance_1_7,5,60,6,1
e,level1_1_66,enhance_1_7,6,70,7,1
e,level1_1_67,enhance_1_7,7,80,9,1
e,level1_1_68,enhance_1_7,8,90,11,1
e,level1_1_69,enhance_1_7,9,100,13,1
e,level1_1_70,enhance_1_7,10,120,15,1
