ENABLE,id,release_key,asset_key,rank_class_type,rank_class_level,required_lower_score,win_add_point,lose_sub_point
e,default_Bronze_0,202509010,,Bronze,0,0,5,0
e,default_Bronze_1,202509010,,Bronze,1,5,5,0
e,default_Bronze_2,202509010,,Bronze,2,10,5,0
e,default_Bronze_3,202509010,,Bronze,3,20,5,0
e,default_Bronze_4,202509010,,Bronze,4,30,5,0
e,default_Silver_1,202509010,,Silver,1,50,10,5
e,default_Silver_2,202509010,,Silver,2,100,10,5
e,default_Silver_3,202509010,,Silver,3,150,10,5
e,default_Silver_4,202509010,,Silver,4,200,10,5
e,default_Gold_1,202509010,,Gold,1,400,20,15
e,default_Gold_2,202509010,,Gold,2,600,20,15
e,default_Gold_3,202509010,,Gold,3,800,20,15
e,default_Gold_4,202509010,,Gold,4,1000,20,15
e,default_Platinum_1,202509010,,Platinum,1,1250,30,25
e,default_Platinum_2,202509010,,Platinum,2,1500,30,25
e,default_Platinum_3,202509010,,Platinum,3,1750,30,25
e,default_Platinum_4,202509010,,Platinum,4,2000,30,25
