ENABLE,id,mst_quest_id,mst_in_game_id,stage_number,recommended_level,cost_stamina,exp,coin,prev_mst_stage_id,mst_stage_tips_group_id,auto_lap_type,max_auto_lap_count,sort_order,asset_key,mst_stage_limit_status_id,release_key,mst_artwork_fragment_drop_group_id,start_at,end_at
e,develop_001,develop,develop_001,1,1,5,500,1000,,1,__NULL__,1,2147483647,develop_001,,999999999,__NULL__,"2024-01-01 0:00:00","2030-01-01 0:00:00"
e,develop_002,develop,develop_002,1,1,5,500,1000,,1,__NULL__,1,2147483647,develop_002,,999999999,__NULL__,"2024-01-01 0:00:00","2030-01-01 0:00:00"
e,develop_plan_test_stage001,plan_test_stage001,plan_test_stage001,1,1,5,500,1000,,1,__NULL__,1,2147483647,plan_test_stage001,,999999999,__NULL__,"2024-01-01 0:00:00","2030-01-01 0:00:00"
e,develop_plan_test_stage002,plan_test_stage002,plan_test_stage002,1,1,5,500,1000,,1,__NULL__,1,2147483647,plan_test_stage002,,999999999,__NULL__,"2024-01-01 0:00:00","2030-01-01 0:00:00"
e,develop_plan_test_stage003,plan_test_stage003,plan_test_stage003,1,1,5,500,1000,,1,__NULL__,1,2147483647,plan_test_stage003,,999999999,__NULL__,"2024-01-01 0:00:00","2030-01-01 0:00:00"
e,develop_plan_test_stage004,plan_test_stage004,plan_test_stage004,1,1,5,500,1000,,1,__NULL__,1,2147483647,plan_test_stage003,,999999999,__NULL__,"2024-01-01 0:00:00","2030-01-01 0:00:00"
e,develop_plan_test_stage004_red,plan_test_stage_004_red,plan_test_stage_004_red,1,1,5,500,1000,,1,__NULL__,1,2147483647,plan_test_stage_004_red,,999999999,__NULL__,"2024-01-01 0:00:00","2030-01-01 0:00:00"
e,develop_plan_test_stage005_blue,plan_test_stage_005_blue,plan_test_stage_005_blue,1,1,5,500,1000,,1,__NULL__,1,2147483647,plan_test_stage_005_blue,,999999999,__NULL__,"2024-01-01 0:00:00","2030-01-01 0:00:00"
e,develop_plan_test_stage006_yellow,plan_test_stage_006_yellow,plan_test_stage_006_yellow,1,1,5,500,1000,,1,__NULL__,1,2147483647,plan_test_stage_006_yellow,,999999999,__NULL__,"2024-01-01 0:00:00","2030-01-01 0:00:00"
e,develop_plan_test_stage007_green,plan_test_stage_007_green,plan_test_stage_007_green,1,1,5,500,1000,,1,__NULL__,1,2147483647,plan_test_stage_007_green,,999999999,__NULL__,"2024-01-01 0:00:00","2030-01-01 0:00:00"
e,develop_plan_test_stage008_colorless,plan_test_stage_008_colorless,plan_test_stage_008_colorless,1,1,5,500,1000,,1,__NULL__,1,2147483647,plan_test_stage_008_colorless,,999999999,__NULL__,"2024-01-01 0:00:00","2030-01-01 0:00:00"
e,plan_test_stage_powerup01,plan_test_stage_powerup01,plan_test_stage_powerup01,1,1,5,500,1000,,1,__NULL__,1,2147483647,plan_test_stage_powerup01,,999999999,__NULL__,"2024-01-01 0:00:00","2030-01-01 0:00:00"
e,plan_test_stage_powerdown01,plan_test_stage_powerdown01,plan_test_stage_powerdown01,1,1,5,500,1000,,1,__NULL__,1,2147483647,plan_test_stage_powerdown01,,999999999,__NULL__,"2024-01-01 0:00:00","2030-01-01 0:00:00"
e,plan_test_stage_slipdamage01,plan_test_stage_slipdamage01,plan_test_stage_slipdamage01,1,1,5,500,1000,,1,__NULL__,1,2147483647,plan_test_stage_slipdamage01,,999999999,__NULL__,"2024-01-01 0:00:00","2030-01-01 0:00:00"
e,plan_test_stage_gust01,plan_test_stage_gust01,plan_test_stage_gust01,1,1,5,500,1000,,1,__NULL__,1,2147483647,plan_test_stage_gust01,,999999999,__NULL__,"2024-01-01 0:00:00","2030-01-01 0:00:00"
e,plan_test_stage_poison01,plan_test_stage_poison01,plan_test_stage_poison01,1,1,5,500,1000,,1,__NULL__,1,2147483647,plan_test_stage_poison01,,999999999,__NULL__,"2024-01-01 0:00:00","2030-01-01 0:00:00"
e,plan_test_stage_normal01,plan_test_stage_normal01,plan_test_stage_normal01,1,1,5,500,1000,,1,__NULL__,1,2147483647,plan_test_stage_normal01,,999999999,__NULL__,"2024-01-01 0:00:00","2030-01-01 0:00:00"
e,plan_test_stage_normal01_02,plan_test_stage_normal01_02,plan_test_stage_normal01,1,1,5,500,1000,,1,__NULL__,1,2147483647,plan_test_stage_normal01,,999999999,__NULL__,"2024-01-01 0:00:00","2030-01-01 0:00:00"
e,plan_test_stage_normal01_03,plan_test_stage_normal01_03,plan_test_stage_normal01,1,1,5,500,1000,,1,__NULL__,1,2147483647,plan_test_stage_normal01,,999999999,__NULL__,"2024-01-01 0:00:00","2030-01-01 0:00:00"
e,plan_test_stage_normal01_04,plan_test_stage_normal01_04,plan_test_stage_normal01,1,1,5,500,1000,,1,__NULL__,1,2147483647,plan_test_stage_normal01,,999999999,__NULL__,"2024-01-01 0:00:00","2030-01-01 0:00:00"
e,tutorial_1,tutorial,tutorial_1,1,1,0,50,0,,1,__NULL__,1,997,general_coin,,202509010,__NULL__,"2024-01-01 0:00:00","2030-01-01 0:00:00"
e,tutorial_2,tutorial,tutorial_2,2,1,0,50,0,,1,__NULL__,1,998,general_coin,,202509010,__NULL__,"2024-01-01 0:00:00","2030-01-01 0:00:00"
e,tutorial_3,tutorial,tutorial_3,3,1,0,50,0,tutorial_2,1,__NULL__,1,999,general_coin,,202509010,__NULL__,"2024-01-01 0:00:00","2030-01-01 0:00:00"
e,normal_spy_00001,quest_main_spy_normal_1,normal_spy_00001,1,1,5,50,50,,1,AfterClear,5,1,spy_normal_01,,202509010,spy_a_0001,"2025-05-01 12:00:00","2030-01-01 0:00:00"
e,normal_spy_00002,quest_main_spy_normal_1,normal_spy_00002,2,1,5,50,50,normal_spy_00001,1,AfterClear,5,2,spy_normal_02,,202509010,spy_a_0002,"2025-05-01 12:00:00","2030-01-01 0:00:00"
e,normal_spy_00003,quest_main_spy_normal_1,normal_spy_00003,3,1,5,50,50,normal_spy_00002,1,AfterClear,5,3,spy_normal_03,,202509010,spy_a_0003,"2025-05-01 12:00:00","2030-01-01 0:00:00"
e,normal_spy_00004,quest_main_spy_normal_1,normal_spy_00004,4,1,5,50,50,normal_spy_00003,1,AfterClear,5,4,spy_normal_04,,202509010,spy_a_0004,"2025-05-01 12:00:00","2030-01-01 0:00:00"
e,normal_spy_00005,quest_main_spy_normal_1,normal_spy_00005,5,1,5,50,50,normal_spy_00004,1,AfterClear,5,5,spy_normal_05,,202509010,spy_a_0005,"2025-05-01 12:00:00","2030-01-01 0:00:00"
e,normal_spy_00006,quest_main_spy_normal_1,normal_spy_00006,6,1,5,50,50,normal_spy_00005,1,AfterClear,5,6,spy_normal_06,,202509010,spy_a_0006,"2025-05-01 12:00:00","2030-01-01 0:00:00"
e,hard_spy_00001,quest_main_spy_hard_1,hard_spy_00001,1,40,20,200,300,normal_spy_00006,1,AfterClear,5,7,spy_normal_01,,202509010,spy_b_0001,"2025-05-01 12:00:00","2030-01-01 0:00:00"
e,hard_spy_00002,quest_main_spy_hard_1,hard_spy_00002,2,40,20,200,300,hard_spy_00001,1,AfterClear,5,8,spy_normal_02,,202509010,spy_b_0002,"2025-05-01 12:00:00","2030-01-01 0:00:00"
e,hard_spy_00003,quest_main_spy_hard_1,hard_spy_00003,3,40,20,200,300,hard_spy_00002,1,AfterClear,5,9,spy_normal_03,,202509010,spy_b_0003,"2025-05-01 12:00:00","2030-01-01 0:00:00"
e,hard_spy_00004,quest_main_spy_hard_1,hard_spy_00004,4,40,20,200,300,hard_spy_00003,1,AfterClear,5,10,spy_normal_04,,202509010,spy_b_0004,"2025-05-01 12:00:00","2030-01-01 0:00:00"
