ENABLE,id,group_id,rule_type,rule_value,release_key
e,event_test_fragment_n1_1,event_test_fragment_n1,PartyUnitNum,2,1
e,event_test_fragment_n1_2,event_test_fragment_n1,PartyRarity,R,1
e,event_test_fragment_n1_3,event_test_fragment_n1,PartyRarity,SR,1
e,event_test_fragment_n1_4,event_test_fragment_n1,PartySeries,1,1
e,event_test_fragment_n1_5,event_test_fragment_n1,PartySeries,2,1
e,event_test_fragment_n1_6,event_test_fragment_n1,PartyAttackRangeType,Short,1
e,event_test_fragment_n1_7,event_test_fragment_n1,PartyAttackRangeType,Middle,1
e,event_test_fragment_n1_8,event_test_fragment_n1,PartyRoleType,Attack,1
e,event_test_fragment_n1_9,event_test_fragment_n1,PartyRoleType,Defense,1
e,event_test_fragment_n1_10,event_test_fragment_n1,PartyRoleType,Technical,1
e,event_test_fragment_n1_11,event_test_fragment_n1,ClearTime,99.99,1
e,event_test_fragment_n1_12,event_test_fragment_n1,DefendObject,3,1
e,event_test_fragment_n1_13,event_test_fragment_n1,OutpostHp,10,1
e,event_test_fragment_n1_14,event_test_fragment_n1,NoContinue,1,1
e,event_test_fragment_n2_1,event_test_fragment_n2,PartyUnitNum,3,1
e,event_test_fragment_n2_2,event_test_fragment_n2,PartyRarity,R,1
e,event_test_fragment_n2_3,event_test_fragment_n2,PartySeries,1,1
e,event_test_fragment_n2_4,event_test_fragment_n2,PartyAttackRangeType,Middle,1
e,event_test_fragment_n2_5,event_test_fragment_n2,PartyAttackRangeType,Long,1
e,event_test_fragment_n2_6,event_test_fragment_n2,PartyRoleType,Balance,1
e,event_test_fragment_n2_7,event_test_fragment_n2,PartyRoleType,Support,1
e,event_test_fragment_n2_8,event_test_fragment_n2,PartyRoleType,Unique,1
e,event_test_fragment_n2_9,event_test_fragment_n2,PartyRoleType,Special,1
e,event_test_fragment_n2_10,event_test_fragment_n2,SurvivalTime,20.99,1
e,event_test_fragment_n2_11,event_test_fragment_n2,DefendObject,2,1
e,event_test_fragment_n2_12,event_test_fragment_n2,OutpostHp,20,1
e,event_test_fragment_n2_13,event_test_fragment_n2,NoContinue,1,1
e,event_test_speed_attack_n1_1,event_test_speed_attack_n1,NoContinue,1,1
e,event_test_speed_attack_h1_1,event_test_speed_attack_h1,NoContinue,1,1
e,event_test_speed_attack_vh1_1,event_test_speed_attack_vh1,NoContinue,1,1
e,1_1,1,PartyUnitNum,2,1
e,1_2,1,PartyRarity,R,1
e,1_3,1,PartyRarity,SR,1
e,1_4,1,PartySeries,1,1
e,1_5,1,PartySeries,2,1
e,1_6,1,PartyAttackRangeType,Short,1
e,1_7,1,PartyAttackRangeType,Middle,1
e,1_8,1,PartyRoleType,Attack,1
e,1_9,1,PartyRoleType,Defense,1
e,1_10,1,PartyRoleType,Technical,1
e,1_11,1,ClearTime,99.99,1
e,1_12,1,DefendObject,3,1
e,1_13,1,OutpostHp,10,1
e,1_14,1,NoContinue,1,1
