ENABLE,id,mst_stage_id,reward_category,resource_type,resource_id,resource_amount,percentage,sort_order,release_key,weight
e,1,normal_spy_00001,FirstClear,Item,memoryfragment_glo_00001,1,100,2,202509010,
e,2,normal_spy_00001,Random,Item,memory_glo_00001,5,65,3,202509010,
e,3,normal_spy_00001,Random,Item,memory_glo_00001,8,25,4,202509010,
e,4,normal_spy_00001,Random,Item,memory_glo_00001,12,5,5,202509010,
e,5,normal_spy_00001,Random,Item,memoryfragment_glo_00001,1,10,6,202509010,
e,6,normal_spy_00002,FirstClear,Item,memoryfragment_glo_00001,1,100,1,202509010,
e,7,normal_spy_00002,Random,Item,memory_glo_00001,5,65,2,202509010,
e,8,normal_spy_00002,Random,Item,memory_glo_00001,8,25,3,202509010,
e,9,normal_spy_00002,Random,Item,memory_glo_00001,12,5,4,202509010,
e,10,normal_spy_00002,Random,Item,memoryfragment_glo_00001,1,10,5,202509010,
e,11,normal_spy_00003,FirstClear,Item,memoryfragment_glo_00001,1,100,1,202509010,
e,12,normal_spy_00003,Random,Item,memory_glo_00001,5,33,2,202509010,
e,13,normal_spy_00003,Random,Item,memory_glo_00001,8,12,3,202509010,
e,14,normal_spy_00003,Random,Item,memory_glo_00001,12,2,4,202509010,
e,15,normal_spy_00003,Random,Item,memory_glo_00003,5,33,5,202509010,
e,16,normal_spy_00003,Random,Item,memory_glo_00003,8,12,6,202509010,
e,17,normal_spy_00003,Random,Item,memory_glo_00003,12,2,7,202509010,
e,18,normal_spy_00003,Random,Item,memoryfragment_glo_00001,1,10,8,202509010,
e,19,normal_spy_00004,FirstClear,Item,memoryfragment_glo_00001,1,100,1,202509010,
e,20,normal_spy_00004,Random,Item,memory_glo_00001,5,65,2,202509010,
e,21,normal_spy_00004,Random,Item,memory_glo_00001,8,25,3,202509010,
e,22,normal_spy_00004,Random,Item,memory_glo_00001,12,5,4,202509010,
e,23,normal_spy_00004,Random,Item,memoryfragment_glo_00001,1,10,5,202509010,
e,24,normal_spy_00005,FirstClear,Item,memoryfragment_glo_00001,1,100,1,202509010,
e,25,normal_spy_00005,Random,Item,memory_glo_00001,5,65,2,202509010,
e,26,normal_spy_00005,Random,Item,memory_glo_00001,8,25,3,202509010,
e,27,normal_spy_00005,Random,Item,memory_glo_00001,12,5,4,202509010,
e,28,normal_spy_00005,Random,Item,memoryfragment_glo_00001,1,10,5,202509010,
e,29,normal_spy_00006,FirstClear,FreeDiamond,prism_glo_00001,100,100,1,202509010,
e,30,normal_spy_00006,FirstClear,Item,memoryfragment_glo_00001,1,100,2,202509010,
e,31,normal_spy_00006,Random,Item,memory_glo_00001,5,33,3,202509010,
e,32,normal_spy_00006,Random,Item,memory_glo_00001,8,12,4,202509010,
e,33,normal_spy_00006,Random,Item,memory_glo_00001,12,2,5,202509010,
e,34,normal_spy_00006,Random,Item,memory_glo_00003,5,33,6,202509010,
e,35,normal_spy_00006,Random,Item,memory_glo_00003,8,12,7,202509010,
e,36,normal_spy_00006,Random,Item,memory_glo_00003,12,2,8,202509010,
e,37,normal_spy_00006,Random,Item,memoryfragment_glo_00001,1,10,9,202509010,
e,38,hard_spy_00001,FirstClear,Item,memoryfragment_glo_00001,5,100,1,202509010,
e,39,hard_spy_00001,FirstClear,Item,memoryfragment_glo_00002,3,100,2,202509010,
e,40,hard_spy_00001,Random,Item,memory_glo_00001,7,65,3,202509010,
e,41,hard_spy_00001,Random,Item,memory_glo_00001,10,22,4,202509010,
e,42,hard_spy_00001,Random,Item,memory_glo_00001,15,8,5,202509010,
e,43,hard_spy_00001,Random,Item,memoryfragment_glo_00002,1,7,6,202509010,
e,44,hard_spy_00002,FirstClear,Item,memoryfragment_glo_00001,5,100,1,202509010,
e,45,hard_spy_00002,FirstClear,Item,memoryfragment_glo_00002,3,100,2,202509010,
e,46,hard_spy_00002,Random,Item,memory_glo_00001,7,65,3,202509010,
e,47,hard_spy_00002,Random,Item,memory_glo_00001,10,22,4,202509010,
e,48,hard_spy_00002,Random,Item,memory_glo_00001,15,8,5,202509010,
