ENABLE,release_key,id,type,sort_order,function_name,condition_type,condition_value,start_at,end_at
e,1,,Intro,0,,UserLevel,,"2024-01-01 9:00:00","2035-01-01 9:00:00"
e,1,TutorialStartIntroduction,Intro,1,TutorialStartIntroduction,UserLevel,tutorial_1,"2024-01-01 9:00:00","2035-01-01 9:00:00"
e,1,StartMainPart1,Main,2,StartMainPart1,UserLevel,tutorial_1,"2024-01-01 9:00:00","2035-01-01 9:00:00"
e,1,GachaConfirmed,Main,3,GachaConfirmed,UserLevel,,"2024-01-01 9:00:00","2035-01-01 9:00:00"
e,1,SetPartyFormation,Main,4,SetPartyFormation,UserLevel,,"2024-01-01 9:00:00","2035-01-01 9:00:00"
e,1,StartInGame1,Main,5,StartInGame1,UserLevel,tutorial_2,"2024-01-01 9:00:00","2035-01-01 9:00:00"
e,1,StartMainPart2,Main,6,StartMainPart2,UserLevel,tutorial_2,"2024-01-01 9:00:00","2035-01-01 9:00:00"
e,1,EnhancedUnit,Main,7,EnhancedUnit,UserLevel,,"2024-01-01 9:00:00","2035-01-01 9:00:00"
e,1,StartInGame2,Main,8,StartInGame2,UserLevel,tutorial_3,"2024-01-01 9:00:00","2035-01-01 9:00:00"
e,1,StartMainPart3,Main,9,StartMainPart3,UserLevel,tutorial_3,"2024-01-01 9:00:00","2035-01-01 9:00:00"
e,1,MainPartCompleted,Main,10,MainPartCompleted,UserLevel,,"2024-01-01 9:00:00","2035-01-01 9:00:00"
e,1,ReleaseHardStage,Free,1,ReleaseHardStage,StageClear,normal_spy_00006,"2024-01-01 9:00:00","2035-01-01 9:00:00"
e,1,ReleaseEventQuest,Free,1,ReleaseEventQuest,UserLevel,1,"2024-01-01 9:00:00","2035-01-01 9:00:00"
e,1,ReleasePvp,Free,1,ReleasePvp,StageClear,1,"2024-01-01 9:00:00","2035-01-01 9:00:00"
e,1,ReleaseAdventBattle,Free,1,ReleaseAdventBattle,UserLevel,1,"2024-01-01 9:00:00","2035-01-01 9:00:00"
e,1,ReleaseAutoBattle,Free,1,ReleaseAutoBattle,UserLevel,1,"2024-01-01 9:00:00","2035-01-01 9:00:00"
e,1,ReleaseEnhanceQuest,Free,1,ReleaseEnhanceQuest,StageClear,1,"2024-01-01 9:00:00","2035-01-01 9:00:00"
e,1,IdleIncentive,Free,1,IdleIncentive,UserLevel,1,"2024-01-01 9:00:00","2035-01-01 9:00:00"
e,1,SpecialUnit,Free,1,SpecialUnit,UserLevel,1,"2024-01-01 9:00:00","2035-01-01 9:00:00"
e,1,OutpostEnhance,Free,1,OutpostEnhance,UserLevel,1,"2024-01-01 9:00:00","2035-01-01 9:00:00"
e,1,TransitEnhanceQuest,Free,1,TransitEnhanceQuest,UserLevel,1,"2024-01-01 9:00:00","2035-01-01 9:00:00"
e,1,TransitOutpostEnhance,Free,1,TransitOutpostEnhance,UserLevel,1,"2024-01-01 9:00:00","2035-01-01 9:00:00"
e,1,ArtworkFragment,Free,1,ArtworkFragment,UserLevel,1,"2024-01-01 9:00:00","2035-01-01 9:00:00"
e,1,TransitAdventBattle,Free,1,TransitAdventBattle,UserLevel,1,"2024-01-01 9:00:00","2035-01-01 9:00:00"
e,1,TransitRaidAdventBattle,Free,1,TransitRaidAdventBattle,UserLevel,1,"2024-01-01 9:00:00","2035-01-01 9:00:00"
e,1,ReleaseRaidAdventBattle,Free,1,ReleaseRaidAdventBattle,UserLevel,1,"2024-01-01 9:00:00","2035-01-01 9:00:00"
e,1,ArtWorkFragment,Free,1,ArtWorkFragment,UserLevel,1,"2024-01-01 9:00:00","2035-01-01 9:00:00"
e,1,SpecialUnit,Free,1,SpecialUnit,UserLevel,1,"2024-01-01 9:00:00","2035-01-01 9:00:00"
e,1,ArtworkFragment,Free,1,ArtworkFragment,UserLevel,1,"2024-01-01 9:00:00","2035-01-01 9:00:00"
e,1,OutpostEnhance,Free,1,OutpostEnhance,UserLevel,1,"2024-01-01 9:00:00","2035-01-01 9:00:00"
e,1,TransitPvp,Free,1,TransitPvp,StageClear,1,"2024-01-01 9:00:00","2035-01-01 9:00:00"
