ENABLE,id,grade_level,unit_label,coefficient,release_key
e,1,1,DropR,15,1
e,2,2,DropR,30,1
e,3,3,DropR,50,1
e,4,4,DropR,70,1
e,5,5,DropR,90,1
e,6,6,DropR,115,1
e,7,7,DropR,140,1
e,8,8,DropR,165,1
e,9,9,DropR,200,1
e,10,10,DropR,235,1
e,11,1,DropSR,15,1
e,12,2,DropSR,30,1
e,13,3,DropSR,50,1
e,14,4,DropSR,70,1
e,15,5,DropSR,90,1
e,16,6,DropSR,115,1
e,17,7,DropSR,140,1
e,18,8,DropSR,165,1
e,19,9,DropSR,200,1
e,20,10,DropSR,235,1
e,21,1,DropSSR,15,1
e,22,2,DropSSR,30,1
e,23,3,DropSSR,50,1
e,24,4,DropSSR,70,1
e,25,5,DropSSR,90,1
e,26,6,DropSSR,115,1
e,27,7,DropSSR,140,1
e,28,8,DropSSR,165,1
e,29,9,DropSSR,200,1
e,30,10,DropSSR,235,1
e,31,1,DropUR,15,1
e,32,2,DropUR,30,1
e,33,3,DropUR,50,1
e,34,4,DropUR,70,1
e,35,5,DropUR,90,1
e,36,6,DropUR,115,1
e,37,7,DropUR,140,1
e,38,8,DropUR,165,1
e,39,9,DropUR,200,1
e,40,10,DropUR,235,1
e,41,1,PremiumR,15,1
e,42,2,PremiumR,30,1
e,43,3,PremiumR,50,1
e,44,4,PremiumR,70,1
e,45,5,PremiumR,90,1
e,46,6,PremiumR,115,1
e,47,7,PremiumR,140,1
e,48,8,PremiumR,165,1
e,49,9,PremiumR,200,1
e,50,10,PremiumR,235,1
e,51,1,PremiumSR,15,1
e,52,2,PremiumSR,30,1
e,53,3,PremiumSR,50,1
e,54,4,PremiumSR,70,1
e,55,5,PremiumSR,90,1
e,56,6,PremiumSR,115,1
e,57,7,PremiumSR,140,1
e,58,8,PremiumSR,165,1
e,59,9,PremiumSR,200,1
e,60,10,PremiumSR,235,1
e,61,1,PremiumSSR,15,1
e,62,2,PremiumSSR,30,1
e,63,3,PremiumSSR,50,1
e,64,4,PremiumSSR,70,1
e,65,5,PremiumSSR,90,1
e,66,6,PremiumSSR,115,1
e,67,7,PremiumSSR,140,1
e,68,8,PremiumSSR,165,1
e,69,9,PremiumSSR,200,1
e,70,10,PremiumSSR,235,1
e,71,1,PremiumUR,15,1
e,72,2,PremiumUR,30,1
e,73,3,PremiumUR,50,1
e,74,4,PremiumUR,70,1
e,75,5,PremiumUR,90,1
e,76,6,PremiumUR,115,1
e,77,7,PremiumUR,140,1
e,78,8,PremiumUR,165,1
e,79,9,PremiumUR,200,1
e,80,10,PremiumUR,235,1
e,81,1,PremiumUR,15,1
e,82,2,PremiumUR,30,1
e,83,3,PremiumUR,50,1
e,84,4,PremiumUR,70,1
e,85,5,PremiumUR,90,1
e,86,6,PremiumUR,115,1
e,87,7,PremiumUR,140,1
e,88,8,PremiumUR,165,1
e,89,9,PremiumUR,200,1
e,90,10,PremiumUR,235,1
