ENABLE,id,unit_label,grade_level,require_amount,release_key
e,1,DropR,1,30,1
e,2,DropR,2,30,1
e,3,DropR,3,60,1
e,4,DropR,4,60,1
e,5,DropR,5,90,1
e,6,DropSR,1,30,1
e,7,DropSR,2,30,1
e,8,DropSR,3,60,1
e,9,DropSR,4,60,1
e,10,DropSR,5,90,1
e,11,DropSSR,1,30,1
e,12,DropSSR,2,30,1
e,13,DropSSR,3,60,1
e,14,DropSSR,4,60,1
e,15,DropSSR,5,90,1
e,16,DropUR,1,30,1
e,17,DropUR,2,30,1
e,18,DropUR,3,60,1
e,19,DropUR,4,60,1
e,20,DropUR,5,90,1
e,21,PremiumR,1,20,1
e,22,PremiumR,2,110,1
e,23,PremiumR,3,40,1
e,24,PremiumR,4,40,1
e,25,PremiumR,5,40,1
e,26,PremiumSR,1,15,1
e,27,PremiumSR,2,15,1
e,28,PremiumSR,3,30,1
e,29,PremiumSR,4,30,1
e,30,PremiumSR,5,30,1
e,31,PremiumSSR,1,10,1
e,32,PremiumSSR,2,10,1
e,33,PremiumSSR,3,20,1
e,34,PremiumSSR,4,20,1
e,35,PremiumSSR,5,20,1
e,36,PremiumUR,1,5,1
e,37,PremiumUR,2,5,1
e,38,PremiumUR,3,10,1
e,39,PremiumUR,4,10,1
e,40,PremiumUR,5,10,1
e,41,PremiumUR,1,5,1
e,42,PremiumUR,2,5,1
e,43,PremiumUR,3,10,1
e,44,PremiumUR,4,10,1
e,45,PremiumUR,5,10,1
