ENABLE,id,level,mst_user_level_bonus_group_id,release_key
e,1,10,1,202509010
e,2,15,1,202509010
e,3,20,2,202509010
e,4,25,1,202509010
e,5,30,3,202509010
e,6,35,1,202509010
e,7,40,4,202509010
e,8,45,1,202509010
e,9,50,5,202509010
e,10,55,1,202509010
e,11,60,6,202509010
e,12,65,1,202509010
e,13,70,7,202509010
e,14,75,1,202509010
e,15,80,8,202509010
e,16,85,1,202509010
e,17,90,9,202509010
e,18,95,1,202509010
e,19,100,10,202509010
e,20,110,11,202509010
e,21,120,12,202509010
e,22,130,13,202603020
e,23,140,14,202603020
e,24,150,15,202603020
