ENABLE,id,mst_user_level_bonus_group_id,resource_type,resource_id,resource_amount,release_key
e,1,1,Coin,,50,1
e,2,2,FreeDiamond,,50,1
e,3,3,Coin,,50,1
e,4,4,FreeDiamond,,50,1
e,5,5,Coin,,50,1
e,6,6,FreeDiamond,,50,1
e,7,7,Coin,,50,1
e,8,8,FreeDiamond,,50,1
e,9,9,Coin,,50,1
e,10,10,FreeDiamond,,50,1
e,11,11,Coin,,50,1
e,12,12,FreeDiamond,,50,1
e,13,13,Coin,,50,1
e,14,14,FreeDiamond,,50,1
e,15,15,Coin,,50,1
e,16,16,FreeDiamond,,50,1
e,17,17,Coin,,50,1
e,18,18,FreeDiamond,,50,1
e,19,19,Coin,,50,1
e,20,20,FreeDiamond,,50,1
e,21,21,Coin,,50,1
e,22,22,FreeDiamond,,50,1
e,23,23,Coin,,50,1
e,24,24,FreeDiamond,,50,1
e,25,25,Coin,,50,1
e,26,26,FreeDiamond,,50,1
e,27,27,Coin,,50,1
e,28,28,FreeDiamond,,50,1
e,29,29,Coin,,50,1
e,30,30,FreeDiamond,,50,1
e,31,31,Coin,,50,1
e,32,32,FreeDiamond,,50,1
e,33,33,Coin,,50,1
e,34,34,FreeDiamond,,50,1
e,35,35,Coin,,50,1
e,36,36,FreeDiamond,,50,1
e,37,37,Coin,,50,1
e,38,38,FreeDiamond,,50,1
e,39,39,Coin,,50,1
e,40,40,FreeDiamond,,50,1
e,41,41,Coin,,50,1
e,42,42,FreeDiamond,,50,1
e,43,43,Coin,,50,1
e,44,44,FreeDiamond,,50,1
e,45,45,Coin,,50,1
e,46,46,FreeDiamond,,50,1
e,47,47,Coin,,50,1
e,48,48,FreeDiamond,,50,1
e,49,49,Coin,,50,1
e,50,50,FreeDiamond,,50,1
e,51,51,Coin,,50,1
e,52,52,FreeDiamond,,50,1
e,53,53,Coin,,50,1
e,54,54,FreeDiamond,,50,1
e,55,55,Coin,,50,1
e,56,56,FreeDiamond,,50,1
e,57,57,Coin,,50,1
e,58,58,FreeDiamond,,50,1
e,59,59,Coin,,50,1
e,60,60,FreeDiamond,,50,1
e,61,61,Coin,,50,1
e,62,62,FreeDiamond,,50,1
e,63,63,Coin,,50,1
e,64,64,FreeDiamond,,50,1
e,65,65,Coin,,50,1
e,66,66,FreeDiamond,,50,1
e,67,67,Coin,,50,1
e,68,68,FreeDiamond,,50,1
e,69,69,Coin,,50,1
e,70,70,FreeDiamond,,50,1
e,71,71,Coin,,50,1
e,72,72,FreeDiamond,,50,1
e,73,73,Coin,,50,1
e,74,74,FreeDiamond,,50,1
e,75,75,Coin,,50,1
e,76,76,FreeDiamond,,50,1
e,77,77,Coin,,50,1
e,78,78,FreeDiamond,,50,1
e,79,79,Coin,,50,1
e,80,80,FreeDiamond,,50,1
e,81,81,Coin,,50,1
e,82,82,FreeDiamond,,50,1
e,83,83,Coin,,50,1
e,84,84,FreeDiamond,,50,1
e,85,85,Coin,,50,1
e,86,86,FreeDiamond,,50,1
e,87,87,Coin,,50,1
e,88,88,FreeDiamond,,50,1
e,89,89,Coin,,50,1
e,90,90,FreeDiamond,,50,1
e,91,91,Coin,,50,1
e,92,92,FreeDiamond,,50,1
e,93,93,Coin,,50,1
e,94,94,FreeDiamond,,50,1
e,95,95,Coin,,50,1
e,96,96,FreeDiamond,,50,1
e,97,97,Coin,,50,1
e,98,98,FreeDiamond,,50,1
e,99,99,Coin,,50,1
e,100,100,FreeDiamond,,50,1
e,101,101,Coin,,50,1
e,102,102,FreeDiamond,,50,1
e,103,103,Coin,,50,1
e,104,104,FreeDiamond,,50,1
e,105,105,Coin,,50,1
e,106,106,FreeDiamond,,50,1
e,107,107,Coin,,50,1
e,108,108,FreeDiamond,,50,1
e,109,109,Coin,,50,1
e,110,110,FreeDiamond,,50,1
e,111,111,Coin,,50,1
e,112,112,FreeDiamond,,50,1
e,113,113,Coin,,50,1
e,114,114,FreeDiamond,,50,1
e,115,115,Coin,,50,1
e,116,116,FreeDiamond,,50,1
e,117,117,Coin,,50,1
e,118,118,FreeDiamond,,50,1
e,119,119,Coin,,50,1
e,120,120,FreeDiamond,,50,1
e,121,121,Coin,,50,1
e,122,122,FreeDiamond,,50,1
e,123,123,Coin,,50,1
e,124,124,FreeDiamond,,50,1
e,125,125,Coin,,50,1
e,126,126,FreeDiamond,,50,1
e,127,127,Coin,,50,1
e,128,128,FreeDiamond,,50,1
e,129,129,Coin,,50,1
e,130,130,FreeDiamond,,50,1
e,131,131,Coin,,50,1
e,132,132,FreeDiamond,,50,1
e,133,133,Coin,,50,1
e,134,134,FreeDiamond,,50,1
e,135,135,Coin,,50,1
e,136,136,FreeDiamond,,50,1
e,137,137,Coin,,50,1
e,138,138,FreeDiamond,,50,1
e,139,139,Coin,,50,1
e,140,140,FreeDiamond,,50,1
e,141,141,Coin,,50,1
e,142,142,FreeDiamond,,50,1
e,143,143,Coin,,50,1
e,144,144,FreeDiamond,,50,1
e,145,145,Coin,,50,1
e,146,146,FreeDiamond,,50,1
e,147,147,Coin,,50,1
e,148,148,FreeDiamond,,50,1
e,149,149,Coin,,50,1
e,150,150,FreeDiamond,,50,1
