ENABLE,id,upper_group,upper_type,count,release_key
e,1,Special_001,MaxRarity,100,202509010
e,2,Pickup_kai_001,Pickup,100,202509010
e,4,Pickup_spy_001,Pickup,100,202510010
e,5,Pickup_spy_002,Pickup,100,202510010
e,6,Pickup_mag_001,Pickup,100,202511010
e,7,Pickup_mag_002,Pickup,100,202511010
e,8,Pickup_dan_001,Pickup,100,202510020
e,9,Pickup_dan_002,Pickup,100,202510020
e,10,Pickup_yuw_001,Pickup,100,202511020
e,11,Pickup_yuw_002,Pickup,100,202511020
e,12,Pickup_sur_001,Pickup,100,202512010
e,13,Pickup_sur_002,Pickup,100,202512010
e,14,Fest_Xmas_001,Pickup,200,202512015
e,15,Fest_osh_001,Pickup,200,202512020
e,16,Pickup_osh_001,Pickup,100,202512020
e,17,Pickup_jig_001,Pickup,100,202601010
e,18,Pickup_jig_002,Pickup,100,202601010
e,20,Pickup_you_001,Pickup,100,202602010
e,21,Pickup_Valentine_001,Pickup,100,202602010
e,22,Pickup_kim_001,Pickup,100,202602020
e,23,Pickup_White_001,Pickup,100,202602020
