ENABLE,release_key,id,opr_stepup_gacha_step_id,language,fixed_prize_description
e,999999999,1,1,ja,1ステップ目テキスト
e,999999999,2,2,ja,
e,999999999,3,3,ja,
e,999999999,4,4,ja,4ステップ目テキスト
e,999999999,5,5,ja,XXキャラ<color=#FFFFFF>X体以上</color>確定！
e,999999999,6,6,ja,1ステップ目テキスト
e,999999999,7,7,ja,
e,999999999,8,8,ja,3ステップ目
e,999999999,9,9,ja,
e,999999999,10,10,ja,1周限定5ステップ目
e,999999999,11,11,ja,
e,999999999,12,12,ja,
e,999999999,13,test_stepup_1_01,ja,SSR以上5体確定
e,999999999,14,test_stepup_1_02,ja,SR以上5体確定
e,999999999,15,test_stepup_1_03,ja,SSR7体確定
e,999999999,16,test_stepup_1_04,ja,SR以上10体確定
e,999999999,17,test_stepup_1_05,ja,"「囚われの王女 姫様」確定"
e,202603020,18,stepup_half_1_01,ja,SSR以上1体確定
e,202603020,19,stepup_half_1_02,ja,SR以上1体確定
e,202603020,20,stepup_half_1_03,ja,SSR以上2体確定
e,202603020,21,stepup_half_1_04,ja,SR以上1体確定
e,202603020,22,stepup_half_1_05,ja,UR1体確定
e,202603020,23,stepup_half_Ticket_1_01,ja,SSR以上1体確定
e,202603020,24,stepup_half_Ticket_1_02,ja,SR以上1体確定
e,202603020,25,stepup_half_Ticket_1_03,ja,SSR以上2体確定
e,202603020,26,stepup_half_Ticket_1_04,ja,SR以上1体確定
e,202603020,27,stepup_half_Ticket_1_05,ja,UR1体確定
