ENABLE,id,sequence_set_id,sequence_group_id,sequence_element_id,priority_sequence_element_id,condition_type,condition_value,action_type,action_value,action_value2,summon_count,summon_interval,summon_animation_type,summon_position,move_start_condition_type,move_start_condition_value,move_stop_condition_type,move_stop_condition_value,move_restart_condition_type,move_restart_condition_value,move_loop_count,is_summon_unit_outpost_damage_invalidation,last_boss_trigger,aura_type,death_type,enemy_hp_coef,enemy_attack_coef,enemy_speed_coef,override_drop_battle_point,defeated_score,action_delay,deactivation_condition_type,deactivation_condition_value,release_key
e,event_mag1_1day_00001_1,event_mag1_1day_00001,,1,,ElapsedTime,100,SummonEnemy,e_mag_00301_1d1c_Normal_Colorless,,1,0,None,,None,,None,,None,,,,,Default,Normal,2,0.4,1,,0,,None,,202511010
e,event_mag1_1day_00001_2,event_mag1_1day_00001,,2,,ElapsedTime,500,SummonEnemy,e_mag_00301_1d1c_Normal_Colorless,,2,400,None,,None,,None,,None,,,,,Default,Normal,2,0.4,1,,0,,None,,202511010
e,event_mag1_charaget01_00001_1,event_mag1_charaget01_00001,,1,,ElapsedTime,300,SummonEnemy,e_mag_00301_siget_Normal_Colorless,,5,350,None,,None,,None,,None,,,,,Default,Normal,0.6,0.35,1,,0,,None,,202511010
e,event_mag1_charaget01_00002_1,event_mag1_charaget01_00002,,1,,ElapsedTime,300,SummonEnemy,e_mag_00301_siget_Normal_Yellow,,5,600,None,,None,,None,,None,,,,,Default,Normal,0.8,0.7,1,,0,,None,,202511010
e,event_mag1_charaget01_00002_2,event_mag1_charaget01_00002,,2,,OutpostHpPercentage,99,SummonEnemy,e_mag_00301_siget_Normal_Yellow,,3,200,None,,None,,None,,None,,,,,Default,Normal,0.8,0.7,1,,0,,None,,202511010
e,event_mag1_charaget01_00003_1,event_mag1_charaget01_00003,,1,,InitialSummon,1,SummonEnemy,e_mag_00301_siget_Normal_Yellow,,1,0,None,1.2,ElapsedTime,500,None,,None,,,,,Default,Normal,0.8,0.7,1,,0,,None,,202511010
e,event_mag1_charaget01_00003_2,event_mag1_charaget01_00003,,2,,InitialSummon,1,SummonEnemy,e_mag_00301_siget_Normal_Yellow,,1,0,None,1.4,ElapsedTime,500,None,,None,,,,,Default,Normal,0.8,0.7,1,,0,,None,,202511010
e,event_mag1_charaget01_00003_3,event_mag1_charaget01_00003,,3,,InitialSummon,1,SummonEnemy,e_mag_00301_siget_Normal_Yellow,,1,0,None,1.6,ElapsedTime,500,None,,None,,,,,Default,Normal,0.8,0.7,1,,0,,None,,202511010
e,event_mag1_charaget01_00003_4,event_mag1_charaget01_00003,,4,,OutpostHpPercentage,99,SummonEnemy,e_mag_00301_siget_Normal_Yellow,,10,400,None,,None,,None,,None,,,,,Default,Normal,0.8,0.7,1,,0,50,None,,202511010
e,event_mag1_charaget01_00003_5,event_mag1_charaget01_00003,,5,,OutpostHpPercentage,99,SummonEnemy,e_mag_00201_siget_Boss_Colorless,,1,0,None,,None,,None,,None,,,,,Default,Normal,1.8,3,1,,0,,None,,202511010
e,event_mag1_charaget01_00004_1,event_mag1_charaget01_00004,,1,,InitialSummon,1,SummonEnemy,e_mag_00301_siget_Normal_Yellow,,1,0,None,0.7,ElapsedTime,600,None,,None,,,,,Default,Normal,0.8,0.7,1,,0,,None,,202511010
e,event_mag1_charaget01_00004_2,event_mag1_charaget01_00004,,2,,InitialSummon,1,SummonEnemy,e_mag_00301_siget_Normal_Yellow,,1,0,None,1.2,ElapsedTime,500,None,,None,,,,,Default,Normal,0.8,0.7,1,,0,,None,,202511010
e,event_mag1_charaget01_00004_3,event_mag1_charaget01_00004,,3,,InitialSummon,1,SummonEnemy,e_mag_00301_siget_Normal_Yellow,,1,0,None,1.4,ElapsedTime,400,None,,None,,,,,Default,Normal,0.8,0.7,1,,0,,None,,202511010
e,event_mag1_charaget01_00004_4,event_mag1_charaget01_00004,,4,,EnterTargetKomaIndex,3,SummonEnemy,e_mag_00301_siget_Normal_Yellow,,10,800,None,,None,,None,,None,,,,,Default,Normal,0.8,0.7,1,,0,50,None,,202511010
e,event_mag1_charaget01_00004_5,event_mag1_charaget01_00004,,5,,EnterTargetKomaIndex,3,SummonEnemy,e_mag_00201_siget_Boss_Colorless,,1,0,None,,None,,None,,None,,,,,Default,Normal,2,3,1,,0,,None,,202511010
e,event_mag1_charaget01_00005_1,event_mag1_charaget01_00005,,1,,ElapsedTime,200,SummonEnemy,c_mag_00301_siget_Boss_Yellow,,1,0,None,,None,,None,,None,,,,,Default,Normal,2,1.25,1,,0,,None,,202511010
e,event_mag1_charaget01_00006_1,event_mag1_charaget01_00006,,1,,ElapsedTime,500,SummonEnemy,e_mag_00401_siget_Boss_Yellow,,1,0,None,,None,,None,,None,,,,,Default,Normal,2.33,1.25,1,,0,,None,,202511010
e,event_mag1_charaget01_00007_1,event_mag1_charaget01_00007,,1,,ElapsedTime,150,SummonEnemy,e_glo_00001_savage_Normal_Yellow,,2,50,None,,None,,None,,None,,,,,Default,Normal,0.8,0.6,1,,0,,None,,202511010
e,event_mag1_charaget01_00007_2,event_mag1_charaget01_00007,,2,,ElapsedTime,250,SummonEnemy,e_glo_00001_savage_Normal_Yellow,,1,0,None,,None,,None,,None,,,,,Default,Normal,0.8,0.6,1,,0,,None,,202511010
e,event_mag1_charaget01_00007_3,event_mag1_charaget01_00007,,3,,OutpostHpPercentage,99,SummonEnemy,e_mag_00401_siget_Boss_Yellow,,1,0,None,,None,,None,,None,,,,,Default,Normal,2,0.8,1,,0,,None,,202511010
e,event_mag1_charaget01_00007_4,event_mag1_charaget01_00007,,4,,OutpostHpPercentage,99,SummonEnemy,e_glo_00001_savage_Normal_Yellow,,5,300,None,,None,,None,,None,,,,,Default,Normal,0.8,0.6,1,,0,20,None,,202511010
e,event_mag1_charaget01_00008_1,event_mag1_charaget01_00008,,1,,EnterTargetKomaIndex,1,SummonEnemy,e_mag_00401_siget_Boss_Yellow,,1,0,None,,None,,None,,None,,,,,Default,Normal,1.5,0.9,1,,0,,None,,202511010
e,event_mag1_charaget01_00008_2,event_mag1_charaget01_00008,,2,,ElapsedTime,300,SummonEnemy,e_glo_00001_savage_Normal_Yellow,,20,350,None,,None,,None,,None,,,,,Default,Normal,1,0.6,1,,0,,None,,202511010
e,event_mag1_charaget01_00008_3,event_mag1_charaget01_00008,,3,,FriendUnitDead,1,SummonEnemy,e_mag_00401_siget_Boss_Yellow,,1,0,None,,None,,None,,None,,,,,Default,Normal,2.25,0.9,1,,0,150,None,,202511010
e,event_mag1_charaget01_00008_4,event_mag1_charaget01_00008,,4,,FriendUnitDead,1,SummonEnemy,e_glo_00001_savage_Normal_Yellow,,5,300,None,,None,,None,,None,,,,,Default,Normal,1,0.6,1,,0,,None,,202511010
e,event_mag1_charaget02_00001_1,event_mag1_charaget02_00001,,1,,EnterTargetKomaIndex,1,SummonEnemy,e_mag_00301_siget_Normal_Colorless,,6,300,None,,None,,None,,None,,,,,Default,Normal,0.6,0.35,1,,0,,None,,202511010
e,event_mag1_charaget02_00002_1,event_mag1_charaget02_00002,,1,,ElapsedTime,400,SummonEnemy,e_mag_00301_aknget_Normal_Green,,4,500,None,,None,,None,,None,,,,,Default,Normal,0.8,0.7,1,,0,,None,,202511010
