ENABLE,id,group_id,resource_type,resource_id,resource_amount,weight,pickup,release_key
e,Pickup_mag_001_1,Pickup_mag_001,Unit,chara_mag_00201,1,351,1,202511010
e,Pickup_mag_001_2,Pickup_mag_001,Unit,chara_spy_00101,1,81,0,202511010
e,Pickup_mag_001_3,Pickup_mag_001,Unit,chara_spy_00201,1,81,0,202511010
e,Pickup_mag_001_4,Pickup_mag_001,Unit,chara_spy_00001,1,81,0,202511010
e,Pickup_mag_001_5,Pickup_mag_001,Unit,chara_dan_00002,1,81,0,202511010
e,Pickup_mag_001_6,Pickup_mag_001,Unit,chara_gom_00001,1,81,0,202511010
e,Pickup_mag_001_7,Pickup_mag_001,Unit,chara_chi_00002,1,81,0,202511010
e,Pickup_mag_001_8,Pickup_mag_001,Unit,chara_kai_00002,1,81,0,202511010
e,Pickup_mag_001_9,Pickup_mag_001,Unit,chara_yuw_00001,1,81,0,202511010
e,Pickup_mag_001_10,Pickup_mag_001,Unit,chara_yuw_00101,1,81,0,202511010
e,Pickup_mag_001_11,Pickup_mag_001,Unit,chara_sur_00101,1,81,0,202511010
e,Pickup_mag_001_12,Pickup_mag_001,Unit,chara_jig_00001,1,81,0,202511010
e,Pickup_mag_001_13,Pickup_mag_001,Unit,chara_mag_00001,1,81,0,202511010
e,Pickup_mag_001_14,Pickup_mag_001,Unit,chara_sum_00101,1,81,0,202511010
e,Pickup_mag_001_15,Pickup_mag_001,Unit,chara_mag_00301,1,702,1,202511010
e,Pickup_mag_001_16,Pickup_mag_001,Unit,chara_chi_00201,1,442,0,202511010
e,Pickup_mag_001_17,Pickup_mag_001,Unit,chara_chi_00301,1,442,0,202511010
e,Pickup_mag_001_18,Pickup_mag_001,Unit,chara_kai_00301,1,442,0,202511010
e,Pickup_mag_001_19,Pickup_mag_001,Unit,chara_ron_00001,1,442,0,202511010
e,Pickup_mag_001_20,Pickup_mag_001,Unit,chara_aha_00101,1,442,0,202511010
e,Pickup_mag_001_21,Pickup_mag_001,Unit,chara_jig_00101,1,442,0,202511010
e,Pickup_mag_001_22,Pickup_mag_001,Unit,chara_dan_00101,1,442,0,202511010
e,Pickup_mag_001_23,Pickup_mag_001,Unit,chara_dos_00001,1,442,0,202511010
e,Pickup_mag_001_24,Pickup_mag_001,Unit,chara_dos_00101,1,442,0,202511010
e,Pickup_mag_001_25,Pickup_mag_001,Unit,chara_gom_00101,1,1638,0,202511010
e,Pickup_mag_001_26,Pickup_mag_001,Unit,chara_bat_00001,1,1638,0,202511010
